DateTime,AddedIPs,RemovedIPs
1598459676,536,0
1598546097,531,0
1598632218,499,0
1598718639,448,0
1598805060,392,0
1598891482,471,53
1598977903,460,0
1599064324,468,0
1599150744,511,0
1599237165,409,0
1599323585,414,0
1599410005,342,0
1599496427,428,0
1599582847,222,6834
1599669269,597,0
1599755689,538,0
1599841811,478,0
1599928233,498,0
1600014653,441,0
1600101073,527,0
1600187494,501,0
1600273915,527,0
1600360335,458,0
1600446666,472,0
1600533086,449,0
1600619508,351,0
1600705929,490,0
1600792351,589,0
1600878773,554,0
1600965194,510,0
1601051616,168,8154
1601138036,529,0
1601224457,494,2
1601310879,540,0
1601397001,541,0
1601483423,527,0
1601569845,584,1
1601656267,465,0
1601742690,449,0
1601829111,375,0
1601915532,497,0
1602001953,487,0
1602088374,447,0
1602174796,479,0
1602261216,110,6761
1602347638,502,170
1602434059,484,0
1602520480,488,0
1602606602,516,0
1602693024,640,0
1602779446,692,0
1602865868,682,0
1602952289,489,0
1603038711,507,0
1603125133,496,0
1603211555,527,0
1603297976,557,4
1603384397,692,9
1603470818,452,7118
1603557241,460,405
1603643664,484,0
1603730085,555,0
1603816208,629,0
1603902631,541,0
1603989053,507,0
1604075477,525,0
1604161901,478,0
1604248324,432,0
1604334745,555,0
1604421167,505,0
1604507588,482,0
1604593877,527,0
1604680300,518,0
1604766723,405,7176
1604853146,529,0
1604939570,611,0
1605025993,533,0
1605112417,76,2327
1605198841,630,0
1605285264,575,76
1605371687,531,0
1605457810,516,0
1605544234,562,0
1605630657,596,0
1605717079,605,0
1605803502,539,0
1605889926,516,0
1605976349,470,0
1606062771,504,0
1606149195,597,0
1606235617,38,6580
1606322040,754,0
1606408462,636,0
1606494886,589,93
1606581007,497,0
1606667430,430,0
1606753853,624,0
1606840276,632,0
1606926699,665,0
1607013124,624,0
1607099546,555,5202
1607185969,645,143
1607272391,438,0
1607358814,679,0
1607445237,696,0
1607531659,638,0
1607617860,614,1
1607704283,575,0
1607790706,488,0
1607877129,421,0
1607963553,465,2
1608049976,473,0
1608136399,440,200
1608222823,464,0
1608309246,364,7198
1608395458,545,0
1608481881,434,0
1608568304,541,174
1608654728,564,0
1608741153,446,0
1608827576,440,0
1608913999,420,0
1609000422,429,0
1609086846,406,0
1609173270,488,0
1609259694,468,2
1609345817,412,0
1609432240,389,0
1609518662,411,0
1609605084,385,0
1609691508,373,180
1609777931,251,7378
1609864353,597,0
1609950774,576,0
1610037195,142,1476
1610123618,643,0
1610210040,577,0
1610296462,547,0
1610382884,611,0
1610469007,582,0
1610555430,587,0
1610641852,563,0
1610728274,546,0
1610814696,470,0
1610901119,429,0
1610987541,503,0
1611073963,559,0
1611160385,513,0
1611246807,420,0
1611333229,487,0
1611419651,474,6
1611506073,401,8396
1611592495,617,0
1611678616,630,187
1611765037,590,0
1611851460,630,0
1611937881,566,0
1612024304,529,0
1612110725,431,0
1612197147,527,0
1612283570,498,0
1612369994,523,0
1612456417,563,0
1612542839,528,0
1612629261,451,0
1612715684,457,2
1612801806,500,174
1612888229,527,0
1612974651,501,0
1613061072,469,22
1613147493,418,170
1613233915,386,9830
1613320338,507,2
1613406761,546,0
1613493183,517,0
1613579605,548,0
1613666026,509,0
1613752448,508,0
1613838700,449,0
1613925122,397,0
1614011542,513,0
1614097963,519,0
1614184383,548,0
1614270804,591,189
1614357226,415,2
1614443647,164,6753
1614530068,576,0
1614616489,605,0
1614702610,594,0
1614789032,547,0
1614875453,615,0
1614961873,594,0
1615048294,553,0
1615134716,425,0
1615221137,627,150
1615307558,659,0
1615393979,609,0
1615480400,560,2
1615566822,616,241
1615653243,458,5
1615739665,425,2
1615826086,539,0
1615912208,234,8953
1615998629,722,2
1616085051,682,0
1616171473,626,0
1616257895,541,0
1616344316,516,0
1616430738,613,0
1616517160,665,0
1616603581,839,0
1616690003,752,0
1616776425,602,117
1617359470,847,6572
1618076042,4559,46
1618162464,365,0
1618421428,1188,58
1618507850,226,0
1618594271,270,0
1618680692,265,0
1618767113,101,7479
1618853534,506,0
1618939956,380,208
1619026377,331,0
1619112798,331,0
1619199220,350,0
1619285643,297,0
1619372064,282,0
1619458485,297,0
1619544607,307,0
1619631028,272,0
1619717449,279,0
1619803871,272,0
1619890291,227,0
1619976713,230,0
1620063134,292,0
1620149556,317,0
1620235977,275,0
1620322398,266,21
1620408820,235,0
1620495241,246,0
1620581662,210,2
1620668084,250,180
1620754205,296,0
1620840627,225,0
1620927049,170,4583
1621013471,307,171
1621099892,294,0
1621186315,300,0
1621272736,291,0
1621359157,330,0
1621445580,259,0
1621532001,284,0
1621618423,331,0
1621704845,286,0
1621791267,246,0
1621877688,273,0
1621963809,306,0
1622050231,254,0
1622136653,280,0
1622223074,255,48
1622309495,208,2
1622395917,210,0
1622482339,218,2
1622568761,209,0
1622655183,138,7322
1622741604,293,0
1622828025,274,0
1622914446,309,0
1623000867,148,966
1623087289,338,0
1623173410,269,0
1623259832,273,0
1623389464,413,0
1623475885,260,0
1623562306,226,0
1623648728,192,0
1623735150,221,0
1623821571,165,0
1623907993,189,0
1623994415,174,0
1624080837,167,0
1624167258,192,0
1624253679,169,0
1624340101,217,0
1624426222,213,0
1624512643,227,0
1624599065,196,0
1624685487,162,0
1624771909,158,0
1624858330,170,82
1624944752,172,0
1625031174,169,0
1625117596,153,0
1625204018,139,0
1625290439,165,0
1625376863,148,0
1625463284,142,0
1625549405,181,0
1625635826,173,208
1625722247,156,227
1625808669,192,82
1625895091,168,0
1625981513,163,0
1626067935,160,0
1626154356,145,0
1626240778,181,0
1626327199,179,0
1626413622,148,0
1626500044,167,0
1626586466,142,0
1626672888,152,0
1626759010,174,0
1626845432,153,0
1626931854,74,7957
1627018275,303,0
1627104696,252,0
1627191117,228,0
1627277539,192,0
1627363961,204,0
1627450383,218,0
1627536805,214,0
1627623226,229,0
1627709649,199,2
1627796071,209,0
1627882494,185,2141
1627968615,256,0
1628055037,255,0
1628141458,227,0
1628227880,197,0
1628314301,203,0
1628400723,120,1530
1628487145,242,0
1628573566,244,0
1628659989,203,0
1628746411,201,0
1628832833,217,0
1628919254,197,0
1629005675,210,0
1629092097,208,0
1629178218,218,0
1629264640,197,2
1629351061,187,0
1629437484,180,0
1629523905,179,2428
1629653538,329,0
1629739960,97,666
1629826381,287,0
1629912802,241,0
1629999224,200,0
1630128856,310,0
1630215277,210,0
1630301469,210,2
1630387891,212,0
1630474313,184,0
1630560735,175,0
1630647157,172,0
1630733579,164,0
1630820000,149,0
1630906422,197,0
1630992844,201,2
1631079265,182,0
1631165687,170,0
1631251809,169,0
1631338231,177,0
1631424654,172,0
1631511076,161,0
1631597498,188,89
1631683920,233,0
1631770343,184,0
1631856763,179,0
1631943184,149,0
1632029606,190,0
1632116027,69,4935
1632202448,279,0
1632288870,233,0
1632375292,247,0
1632461414,239,0
1632547836,213,0
1632634258,192,0
1632720679,176,0
1632807100,200,0
1632893523,201,2
1632979944,205,0
1633066365,154,0
1633152787,190,0
1633239209,173,0
1633325630,170,0
1633412052,178,0
1633498474,175,0
1633584896,182,0
1633671017,179,0
1633757439,183,0
1633843861,147,0
1633930284,169,0
1634016706,161,0
1634103127,166,0
1634189548,145,0
1634275970,137,0
1634362393,141,0
1634448815,120,0
1634535237,156,0
1634621659,174,0
1634708081,135,0
1634794202,148,0
1634880624,63,5787
1634967046,303,0
1635053469,226,0
1635139892,205,2
1635226314,229,0
1635312736,253,0
1635399158,221,0
1635485580,222,0
1635572002,190,0
1635658424,197,0
1635744845,179,0
1635831267,219,0
1635917688,185,2
1636003810,194,0
1636090232,168,0
1636176654,182,0
1636263076,188,0
1636349497,182,0
1636435919,171,0
1636522340,193,0
1636608762,153,0
1636695184,165,0
1636781606,186,0
1636868028,153,0
1636954449,161,0
1637040870,157,0
1637127291,163,2
1637213414,173,0
1637299836,151,0
1637386257,161,0
1637472678,142,0
1637559100,110,5527
1637645522,284,0
1637731944,262,0
1637818366,203,2
1637904789,199,0
1637991211,207,0
1638077633,222,0
1638164056,174,0
1638250478,196,0
1638336901,182,0
1638423022,190,0
1638509445,154,0
1638595866,216,0
1638682288,174,0
1638768710,161,0
1638855132,169,0
1638941554,185,0
1639027978,160,0
1639114400,174,0
1639200822,164,0
1639287244,173,0
1639373665,144,0
1639460088,185,0
1639546479,177,0
1639632901,183,0
1639719022,78,4879
1639805444,387,0
1639891865,308,0
1639978286,322,0
1640064708,241,0
1640151129,230,0
1640237551,226,0
1640323972,225,0
1640410393,187,0
1640496814,234,0
1640583235,166,0
1640669656,194,0
1640756077,188,0
1640842497,196,0
1640928619,177,0
1641015040,185,0
1641101461,150,3254
1641187882,244,0
1641274304,271,0
1641360725,225,0
1641447147,211,0
1641533568,224,166
1641619989,203,0
1641706410,192,0
1641792832,212,0
1641879254,221,0
1641965675,208,0
1642052098,184,0
1642138219,52,2603
1642224641,270,0
1642311062,248,0
1642397483,231,0
1642483904,248,0
1642570325,245,144
1642656747,224,0
1642743169,243,0
1642829590,212,0
1642916011,191,0
1643002433,206,19
