DateTime,Entries,UniqueIPs
1642644031,6491,6518
1642644750,6490,6517
1642645471,6490,6517
1642646190,6487,6514
1642647149,6484,6511
1642647871,6483,6510
1642648589,6485,6512
1642649308,6489,6516
1642650027,6491,6518
1642650747,6487,6514
1642651470,6486,6513
1642652194,6486,6513
1642653148,6490,6517
1642653869,6488,6515
1642654588,6491,6518
1642655307,6487,6514
1642656032,6486,6513
1642656993,6488,6515
1642657707,6491,6518
1642658442,6483,6510
1642659095,6487,6514
1642659874,6489,6516
1642660588,6489,6516
1642661308,6488,6515
1642662029,6489,6516
1642662748,6492,6519
1642663469,6494,6521
1642664190,6496,6523
1642664907,6497,6524
1642665638,6496,6523
1642666592,6487,6514
1642667309,6484,6511
1642668033,6488,6515
1642668747,6489,6516
1642669468,6486,6513
1642670434,6482,6509
1642671148,6481,6508
1642672114,6480,6507
1642672840,6483,6510
1642673547,6479,6506
1642674269,6479,6506
1642674990,6478,6505
1642675708,6476,6503
1642676434,6478,6505
1642677146,6480,6507
1642677872,6485,6512
1642678831,6484,6511
1642679549,6482,6509
1642680271,6489,6516
1642680990,6485,6512
1642681709,6490,6517
1642682429,6491,6518
1642683150,6485,6512
1642683873,6486,6513
1642684586,6489,6516
1642685307,6488,6515
1642686029,6487,6514
1642686748,6488,6515
1642687472,6486,6513
1642688194,6494,6521
1642688907,6499,6526
1642689869,6499,6526
1642690591,6494,6521
1642691550,6491,6518
1642692268,6490,6517
1642692990,6490,6517
1642693708,6491,6518
1642694437,6490,6517
1642695150,6497,6524
1642695873,6497,6524
1642696591,6499,6526
1642697311,6498,6525
1642698272,6503,6530
1642698989,6496,6523
1642699713,6494,6521
1642700431,6494,6521
1642701153,6492,6519
1642701881,6488,6515
1642702598,6488,6515
1642703310,6489,6516
1642704031,6491,6518
1642704748,6492,6519
1642705468,6496,6523
1642706431,6497,6524
1642707148,6502,6529
1642707872,6508,6535
1642708591,6507,6534
1642709307,6507,6534
1642710031,6508,6535
1642710747,6511,6538
1642711475,6512,6539
1642712187,6511,6538
