DateTime,AddedIPs,RemovedIPs
1642628191,0,2
1642628910,1,4
1642629638,5,2
1642630590,2,5
1642631307,1,3
1642632274,2,1
1642632990,5,2
1642633707,1,0
1642635147,2,0
1642635869,1,5
1642636594,3,1
1642637311,3,2
1642638028,2,2
1642638749,2,1
1642639468,0,5
1642640191,5,2
1642641147,6,2
1642641868,2,3
1642642593,0,1
1642643309,3,5
1642644031,3,3
1642644750,5,2
1642645471,4,4
1642646190,7,8
1642647149,10,10
1642647871,3,7
1642648589,2,8
1642649308,3,10
1642650027,3,4
1642650747,2,4
1642651470,3,3
1642652194,1,4
1642653148,4,3
1642653869,3,7
1642654588,7,4
1642655307,1,3
1642656032,3,1
1642656993,3,3
1642657707,3,0
1642658442,1,2
1642659095,1,0
1642659874,2,0
1642660588,2,1
1642661308,1,4
1642662029,1,0
1642662748,2,1
1642663469,2,0
1642664190,0,5
1642664907,2,0
1642665638,0,1
1642666592,1,2
1642667309,1,0
1642668033,2,0
1642668747,0,1
1642669468,1,2
1642670434,2,1
1642671148,1,0
1642672114,1,2
1642672840,1,1
1642674269,3,9
1642674990,2,4
1642676434,2,0
1642677146,0,2
1642677872,5,2
1642678831,1,1
1642679549,1,3
1642680271,4,0
1642680990,1,0
1642681709,4,0
1642682429,2,2
1642683150,1,3
1642684586,2,1
1642686029,1,0
1642686748,2,4
1642687472,1,4
1642688194,5,0
1642688907,6,1
1642689869,1,3
1642690591,1,0
1642691550,1,1
1642692268,1,2
1642692990,3,3
1642693708,1,0
1642694437,1,0
1642695150,3,1
1642695873,1,1
1642696591,2,2
1642698272,5,3
1642698989,0,1
1642699713,3,1
1642700431,2,0
1642701153,1,1
1642701881,3,2
1642702598,2,1
1642703310,2,5
1642704031,2,2
1642704748,1,1
1642705468,3,0
1642706431,4,4
1642707148,3,1
1642707872,5,1
1642709307,1,4
1642710031,0,3
1642710747,3,2
1642711475,2,1
1642712187,2,3
1642712910,2,2
1642713628,0,3
1642714350,6,3
1642715070,2,5
1642715791,2,2
1642716747,2,1
1642717469,5,2
1642718910,3,3
1642719641,4,3
1642720593,5,2
1642721309,0,4
1642722274,4,2
1642722987,1,0
1642723709,2,3
1642724669,1,4
1642725388,3,2
1642726111,0,2
1642726828,4,4
1642728271,3,1
1642728991,1,2
1642729709,5,4
1642730672,6,2
1642731387,3,4
1642732111,6,3
1642732831,5,13
1642733791,9,5
1642734751,4,10
1642735470,3,5
1642736194,2,7
1642736909,1,2
1642737628,1,3
1642738347,3,3
1642739074,4,6
1642739796,2,3
1642740508,3,3
1642741473,2,3
1642742189,3,5
1642742910,1,0
1642743630,3,1
1642744348,3,1
1642745069,1,4
1642746509,2,2
1642747232,0,1
1642747952,1,2
1642748679,1,2
1642749389,2,1
1642750349,1,2
1642751068,2,2
1642752512,3,2
1642753228,0,1
1642753961,2,1
1642754671,1,1
1642755387,0,3
1642756108,1,0
1642757072,2,6
1642757793,1,2
1642758508,0,1
1642759239,3,0
1642759947,3,0
1642760668,2,2
1642761392,1,5
1642762354,1,3
1642763070,2,0
1642764748,4,3
1642766432,0,3
1642767390,0,1
1642768351,2,2
1642769070,1,1
1642769790,1,2
1642770509,1,1
1642771228,0,2
1642771947,1,2
1642772669,1,2
1642773388,2,1
1642774108,2,2
1642774830,0,2
1642775549,2,4
1642776273,1,2
1642776988,3,1
1642777952,1,4
1642778669,2,1
1642780112,0,5
1642780830,3,4
1642782269,2,3
1642782990,0,1
1642783953,2,2
1642784909,3,7
1642785873,4,2
1642786591,2,4
1642787312,1,0
1642788038,3,2
1642788748,5,4
1642789471,0,1
1642790189,7,1
1642790910,3,1
1642791634,1,1
1642792590,4,3
1642793309,2,1
1642794273,1,0
1642794989,3,0
1642795947,1,0
1642796669,3,2
1642797391,4,2
1642798110,1,2
1642798839,2,1
1642799790,6,3
1642800507,3,0
1642801231,12,2
1642801954,6,6
1642802671,0,1
1642803389,1,2
1642804110,3,1
1642804828,1,2
1642805550,3,2
1642806270,0,4
1642806995,4,3
1642807708,1,2
1642808431,2,1
1642809149,0,3
1642809871,2,0
1642810591,0,3
1642811548,3,5
1642812270,2,4
1642812990,1,1
1642813708,4,1
1642814432,1,4
1642815389,2,0
1642816109,2,2
1642816831,2,5
1642817549,2,2
1642818270,6,6
1642818989,9,7
1642819709,5,5
1642820438,6,9
1642821148,4,10
1642821869,4,8
1642822594,4,3
1642823547,4,6
1642824272,2,3
1642824993,4,3
1642825950,4,7
1642826672,4,4
1642827389,1,2
1642828107,2,1
1642829070,6,4
1642829788,1,0
1642830750,1,4
1642831470,1,0
1642832187,3,2
1642832911,2,0
1642833631,0,1
1642834350,1,2
1642835079,3,3
1642835790,2,0
1642836507,0,2
1642837229,0,1
1642837949,4,3
1642838673,2,3
1642839387,4,0
1642840107,2,3
1642840830,1,6
1642841549,4,0
1642842272,2,0
1642843231,0,2
1642843948,1,2
1642845387,0,1
1642846108,1,3
1642846830,2,1
1642847548,3,1
1642848270,4,1
1642849229,2,2
1642849948,1,0
1642850673,2,1
1642851392,1,1
1642852111,2,0
1642852839,2,1
1642853551,1,2
1642854269,2,6
1642854991,2,3
1642855709,2,0
1642856451,1,1
1642857392,2,1
1642858108,1,1
1642858829,1,3
1642859547,2,0
1642860270,2,6
1642860993,1,0
1642861948,0,3
1642862674,5,4
1642864108,2,0
1642864830,0,7
1642865547,3,4
1642866268,2,2
1642866989,1,1
1642867709,2,0
1642868431,1,2
1642869149,2,1
1642869870,2,1
1642870590,1,1
1642871307,0,6
1642872029,2,1
1642872748,2,2
1642873468,1,0
1642874188,1,1
1642875185,4,3
1642875871,2,1
1642876592,1,1
1642877308,0,1
1642878042,3,0
1642878748,1,1
1642879473,2,1
1642880213,2,3
1642880915,1,1
1642881640,2,1
1642882348,1,3
1642883074,3,1
1642883791,3,0
1642884512,1,3
1642885235,3,2
1642885950,1,5
1642886670,2,3
1642887394,1,5
1642888108,0,1
1642889076,2,9
1642889788,1,0
1642890511,3,6
1642891229,2,0
1642891947,1,1
1642892673,1,0
1642893392,2,0
1642894108,5,2
1642894832,0,1
1642895552,4,0
1642896278,0,3
1642896994,0,4
1642897708,5,0
1642898671,0,10
1642899389,4,2
1642900110,1,0
1642900832,0,3
1642901547,0,1
1642902269,1,2
1642902991,6,1
1642903708,6,1
1642904672,7,14
1642905388,9,7
1642906111,5,5
1642906842,3,10
1642907547,0,16
1642908269,3,1
1642908989,3,0
1642909709,6,10
1642910441,2,0
1642911149,5,6
1642911871,3,2
1642912594,3,8
1642913310,3,4
1642914041,3,1
1642914751,3,2
1642915472,5,2
1642916435,2,3
1642917149,2,0
1642917874,2,0
1642918587,1,0
1642919309,2,0
1642920272,3,1
1642920989,3,2
1642921952,4,2
1642923391,4,0
1642924110,0,1
1642924840,1,0
1642925548,3,2
1642926515,2,0
1642927229,1,0
1642927954,0,2
1642928678,0,1
1642929388,3,1
1642930351,1,1
1642931070,0,2
1642931794,3,2
1642932508,1,1
1642933231,3,0
1642934193,1,1
1642934907,1,4
1642935636,1,0
1642936349,1,4
1642937071,0,4
1642938511,1,4
1642939229,1,4
1642939948,1,0
1642940672,2,2
1642941391,4,0
1642942110,1,2
1642942828,1,0
1642943547,0,1
1642944268,1,1
1642944990,0,1
1642946441,1,1
1642947153,2,2
1642947871,2,2
1642948589,5,2
1642950038,2,3
1642950750,1,3
1642951473,1,1
1642952192,1,0
1642952907,1,2
1642953630,1,1
1642954588,2,1
1642955314,0,4
1642956029,1,4
1642956748,2,1
1642957473,0,1
1642958191,0,2
1642958911,3,1
1642959630,1,0
1642960348,1,0
1642961072,2,2
1642963231,2,1
1642964191,1,4
1642964909,1,0
1642965633,4,2
1642966348,1,0
1642967070,1,1
1642968030,2,4
1642968747,1,0
1642969473,1,1
1642970191,2,2
1642970911,1,0
1642971875,1,3
1642972592,0,3
1642973310,1,2
1642974032,1,3
1642974748,3,2
1642975713,1,3
1642976429,1,1
1642977151,2,2
1642977870,0,1
1642978589,1,1
1642979550,1,1
1642980272,0,1
1642980993,1,1
1642981708,1,2
1642982675,3,0
1642983390,1,4
1642984109,1,2
1642984830,0,4
1642985548,0,1
1642986272,5,0
1642986990,0,4
1642987710,2,0
1642988434,2,5
1642989149,4,5
1642989875,7,0
1642990587,5,6
1642991307,8,5
1642992029,5,13
1642992749,8,6
1642993482,4,8
1642994190,9,11
1642995150,3,1
1642995869,3,6
1642996591,2,8
1642997307,2,1
1642998032,3,8
1642998747,2,2
1642999468,3,0
1643000190,3,3
1643000907,5,5
1643001634,1,2
1643002348,1,2
1643003071,1,2
1643003792,3,1
1643004510,2,0
1643005231,1,0
1643005951,0,1
1643007391,1,3
1643008350,3,0
1643009314,2,1
1643010753,1,2
1643011474,1,1
1643012191,1,2
1643012909,1,0
1643013632,3,1
1643014596,2,2
1643015312,1,1
1643016274,2,0
1643016995,2,1
1643017709,1,1
1643018443,2,2
1643019152,5,1
1643019873,3,1
1643020594,3,6
1643021555,3,1
1643022993,1,2
