DateTime,AddedIPs,RemovedIPs
1642526647,6,0
1642527728,7,7
1642529527,8,43
1642530248,5,1
1642531328,1,20
1642532047,2,0
1642532766,4,5
1642533488,2,0
1642534214,2,3
1642534928,1,4
1642536366,1,6
1642537087,5,0
1642537809,3,5
1642538527,5,2
1642538886,1,0
1642540328,1,3
1642541048,1,0
1642541769,3,7
1642542848,8,0
1642543567,3,5
1642544646,2,0
1642545846,3,9
1642547527,4,2
1642548614,0,29
1642549327,0,2
1642550048,2,0
1642550767,1,7
1642552567,0,901
1642553286,943,0
1642553647,4,1
1642554787,9,3
1642555811,10,4
1642556527,19,3
1642556887,3,0
1642558686,6,5
1642559410,6,2
1642560125,1,0
1642560847,0,1
1642562645,5,5
1642563786,2,6
1642564927,11,6
1642565888,7,0
1642566251,1,1
1642567327,3,3
1642570266,3,3
1642571646,1,0
1642572727,6,3
1642573446,0,2
1642573810,1,9
1642575618,7,3
1642576687,2,1
1642577767,2,11
1642578968,3,1
1642579568,0,6
1642581368,16,3
1642582447,3,0
1642583526,3,6
1642584250,2,2
1642584967,5,6
1642585686,3,0
1642587487,11,8
1642588210,4,7
1642588926,2,1
1642590367,4,2
1642592168,7,3
1642592886,1,0
1642593247,2,1
1642595046,11,6
1642595767,4,9
1642596488,0,2
1642596849,0,1
1642598645,9,2
1642599369,5,10
1642600445,2,0
1642601167,1,3
1642601888,15,0
1642602615,21,1
1642603687,2,3
1642605484,52,6
1642607287,3,3
1642609087,2,1
1642610888,6,11
1642612326,5,6
1642613046,5,0
1642613410,5,14
1642614127,4,2
1642614486,1,1
1642615626,1,5
1642617367,6,9
1642618088,3,7
1642620242,0,1061
1642620613,1044,0
1642621747,3,4
1642623488,2,7
1642624209,3,15
1642624928,2,3
1642625647,2,1
1642626018,0,13
1642627146,2,1
1642627810,3,2
1642628167,0,2
1642629966,3,8
1642632126,76,22
1642633326,28,5
1642633568,4,1
1642635369,20,11
1642636509,10,1
1642637528,6,8
