DateTime,AddedIPs,RemovedIPs
1641187809,0,1
1641195728,0,1
1641196928,12,0
1641203647,0,1
1641204368,1,0
1641209769,0,1
1641212109,1,0
1641214448,1,0
1641217327,1,0
1641237126,0,5
1641238567,1,0
1641241446,0,2
1641243968,1,0
1641249728,0,2
1641250448,2,0
1641252247,1,1
1641254047,1,0
1641256212,0,2
1641259087,3,0
1641263467,0,4
1641274209,0,1
1641277088,0,1
1641282128,5,0
1641283628,1,0
1641288249,1,0
1641290828,1,0
1641292212,0,1
1641295087,2,0
1641298689,0,2
1641300488,2,0
1641301567,0,1
1641303010,2,0
1641305528,1,0
1641307329,6,0
1641310211,0,1
1641313811,0,2
1641317409,0,1
1641319219,3,0
1641326046,1,0
1641327128,1,0
1641328211,1,0
1641331811,2,0
1641344048,1,0
1641346568,1,0
1641349810,0,2
1641351969,1,1
1641375727,0,1
1641382568,1,1
1641385088,0,1
1641386226,0,1
1641396611,0,13
1641398768,11,0
1641400929,1,0
1641404167,1,0
1641406329,1,1
1641408848,1,0
1641413887,0,1
1641422168,0,2
1641423967,1,1
1641429011,0,3
1641439448,3,0
1641440169,1,0
1641446648,1,0
1641447728,1,0
1641450248,1,0
1641451447,3,0
1641452588,1,0
1641454210,0,1
1641454929,2,0
1641457810,0,1
1641460686,2,0
1641461411,0,1
1641463569,1,0
1641470827,0,2
1641472211,0,1
1641474017,0,1
1641481567,0,1
1641483011,0,11
1641486968,0,2
1641490211,1,0
1641495618,1,1
1641497409,0,2
1641501847,1,2
1641504967,1,1
1641506048,1,0
1641511812,4,0
1641513967,0,1
1641515768,0,1
1641516129,1,0
1641520087,1,1
1641522967,1,0
1641529088,2,0
1641531967,0,1
1641534487,1,0
1641536287,2,0
1641538986,1,0
1641541687,1,0
1641544210,1,0
1641546367,1,0
1641551049,12,0
1641551768,0,1
1641554648,1,0
1641566168,1,0
1641566888,10,0
1641569412,0,15
1641574447,0,1
1641577328,0,2
1641578769,1,2
1641579489,1,0
1641592090,1,0
1641593528,0,1
1641596769,2,0
1641601448,1,0
1641604687,1,0
1641605827,2,0
1641607568,0,1
1641609008,0,3
1641612608,0,1
1641616210,0,1
1641617647,1,0
1641618367,1,1
1641619809,0,4
1641620528,1,0
1641620889,1,0
1641622028,0,1
1641627067,0,3
1641630610,0,2
1641631329,10,0
1641634566,1,1
1641644289,2,0
1641646088,2,0
1641648247,1,0
1641648967,1,0
1641656886,1,0
1641657969,1,0
1641658688,2,0
1641659411,1,1
1641661928,1,0
1641663068,1,0
1641663731,1,0
1641665528,0,1
1641673087,1,0
1641674529,0,1
1641675970,0,1
1641680287,1,0
1641681366,0,3
1641685329,0,1
1641688210,0,1
1641689649,1,0
1641693247,1,0
1641697569,1,2
1641704420,1,1
1641706566,0,2
1641708369,0,1
1641711727,0,1
1641712688,1,0
1641714516,1,0
1641717010,0,1
1641720968,0,12
1641722768,1,0
1641725287,0,1
1641731048,3,0
1641735729,1,1
1641736447,3,0
1641739688,1,0
1641742210,0,11
1641742927,1,0
1641748328,1,1
1641749412,0,1
1641755227,1,0
1641756368,1,0
1641762368,0,1
1641764888,2,0
1641765967,0,1
1641767768,0,1
1641769567,0,1
1641774968,0,3
1641783249,1,0
1641785770,1,0
1641788654,1,2
1641789369,1,0
1641791527,1,2
1641793327,0,1
1641795488,4,0
1641796929,2,0
1641800527,0,10
1641802329,1,0
1641809167,1,0
1641811328,1,0
1641813129,1,1
1641814209,0,1
1641815709,1,0
1641816367,0,2
1641818170,1,2
1641827168,2,1
1641828610,0,4
1641830048,3,0
1641831848,1,1
1641833649,1,1
1641834367,0,1
1641837617,1,0
1641843017,0,2
1641850929,0,1
1641853088,1,0
1641859569,2,2
1641860647,1,0
1641863168,0,1
1641863527,2,0
1641864969,0,1
1641866767,0,1
1641873969,0,1
1641876848,1,0
1641880088,1,0
1641882610,0,1
1641884766,0,1
1641893412,0,1
1641898088,1,0
1641900248,0,1
1641900610,0,2
1641904567,0,1
1641907087,0,3
1641910328,3,1
1641911446,2,0
1641913568,0,1
1641914289,1,0
1641916819,0,1
1641922928,1,0
1641925089,1,1
1641926527,1,2
1641928686,1,0
1641931569,1,0
1641936248,2,2
1641939129,1,0
1641943819,1,0
1641944889,3,0
1641949567,3,0
1641953528,0,1
1641954612,0,1
1641958570,0,1
1641960129,0,1
1641965769,0,5
1641966849,1,0
1641967987,1,0
1641971347,0,1
1641975127,2,0
1641979817,0,2
1641982327,1,1
1641988088,2,1
1641993488,1,0
1641996367,0,2
1642000688,1,3
1642001410,1,2
1642001769,1,0
1642003568,0,1
1642008248,0,1
1642008968,1,0
1642013647,1,0
1642029489,1,1
1642030571,0,1
1642034167,0,2
1642045330,0,1
1642052528,3,0
1642053727,1,0
1642059787,1,0
1642061526,1,0
1642064049,1,0
1642065488,1,0
1642067287,2,0
1642068369,1,1
1642070528,1,0
1642079527,0,1
1642080612,0,3
1642084218,0,1
1642087088,1,0
1642088169,0,2
1642094648,2,1
1642095368,0,1
1642096448,1,0
1642098668,1,1
1642100527,0,1
1642103650,1,0
1642105450,2,0
1642106169,0,2
1642110130,1,1
1642112289,1,0
1642113011,1,1
1642113728,0,2
1642116620,0,1
1642120628,0,4
1642124529,1,0
1642129568,1,0
1642137129,1,1
1642145411,0,2
1642148648,1,0
1642152616,0,1
1642155849,2,0
1642158728,0,1
1642161969,0,1
1642170618,0,2
1642171328,0,1
1642173124,3,0
1642179247,3,1
1642183928,0,1
1642188614,1,0
1642194370,1,0
1642198329,1,0
