DateTime,Entries,UniqueIPs
1642516569,939,939
1642518370,953,953
1642519510,967,967
1642520532,964,964
1642521620,961,961
1642522691,962,962
1642524850,964,964
1642525571,948,948
1642526649,949,949
1642527731,949,949
1642529529,913,913
1642530252,917,917
1642531332,899,899
1642532050,901,901
1642532769,900,900
1642533491,902,902
1642534218,901,901
1642534931,897,897
1642536369,893,893
1642537090,897,897
1642537812,895,895
1642538531,898,898
1642538889,899,899
1642540332,897,897
1642541052,898,898
1642541774,894,894
1642542851,902,902
1642543570,900,900
1642544649,902,902
1642545849,896,896
1642547530,898,898
1642548617,869,869
1642549330,868,868
1642550051,870,870
1642551850,885,885
1642552571,895,895
1642553288,906,906
1642553650,909,909
1642554790,916,916
1642555814,922,922
1642556530,938,938
1642556891,941,941
1642558689,942,942
1642559414,946,946
1642560128,947,947
1642560851,946,946
1642562649,946,946
1642563790,942,942
1642564930,947,947
1642565892,953,953
1642566255,953,953
1642567331,954,954
1642570270,954,954
1642571649,955,955
1642572730,959,959
1642573449,957,957
1642573813,950,950
1642575625,954,954
1642576690,955,955
1642577770,946,946
1642578971,947,947
1642579570,941,941
1642581370,954,954
1642582450,957,957
1642583530,955,955
1642584253,955,955
1642584971,954,954
1642585689,957,957
1642587490,961,961
1642588213,959,959
1642588931,960,960
1642590370,962,962
1642592171,966,966
1642592889,967,967
1642593250,968,968
1642595049,972,972
1642596491,965,965
1642596851,964,964
1642598649,971,971
1642599373,969,969
1642600448,971,971
1642601170,969,969
1642601891,984,984
1642602618,1004,1004
1642603691,1002,1002
1642605487,1046,1046
1642607289,1045,1045
1642609090,1046,1046
1642610891,1042,1042
1642612329,1041,1041
1642613049,1046,1046
1642613414,1039,1039
1642614130,1041,1041
1642614489,1041,1041
1642615630,1037,1037
1642617370,1035,1035
1642618092,1031,1031
1642619530,1020,1020
1642620616,1013,1013
1642621751,1012,1012
1642623491,1008,1008
1642624212,996,996
1642624931,996,996
1642625650,997,997
1642626025,984,984
1642627149,985,985
1642627814,986,986
1642628171,984,984
1642629970,979,979
1642632129,1032,1032
1642633330,1055,1055
1642633571,1058,1058
1642635372,1067,1067
1642636512,1075,1075
1642637531,1074,1074
1642638251,1080,1080
1642639389,1080,1080
1642640530,1078,1078
1642641491,1082,1082
1642642215,1080,1080
1642642572,1078,1078
1642644369,1084,1084
1642645091,1086,1086
1642645814,1083,1083
1642646890,1082,1082
1642647251,1084,1084
1642647971,1082,1082
1642648690,1084,1084
1642649416,1079,1079
1642650131,1091,1091
1642650490,1094,1094
1642652292,1093,1093
1642653370,1083,1083
1642653730,1085,1085
1642654450,1093,1093
1642655171,1088,1088
1642656248,1095,1095
1642657329,1101,1101
1642658049,1110,1110
1642658772,1106,1106
1642660571,1101,1101
1642661650,1103,1103
1642663449,1105,1105
1642664527,1104,1104
1642665249,1116,1116
1642666330,1130,1130
1642667413,1127,1127
1642668132,1127,1127
1642670291,1130,1130
1642671018,1166,1166
1642671732,1182,1182
1642674615,1181,1181
1642676771,1185,1185
1642677491,1183,1183
1642678570,1173,1173
1642679288,1176,1176
1642681090,1171,1171
1642681812,1167,1167
1642683250,1186,1186
1642683970,1169,1169
1642684689,1183,1183
1642685413,1165,1165
1642686130,1179,1179
1642687569,1180,1180
1642688291,1179,1179
1642689019,1163,1163
1642690090,1158,1158
1642691890,1155,1155
1642692970,1148,1148
1642694047,1155,1155
1642694770,1152,1152
1642695489,1154,1154
1642696213,1149,1149
1642696931,1158,1158
1642697649,1169,1169
1642699449,1180,1180
1642700170,1194,1194
1642700531,1205,1205
1642702328,1210,1210
1642703771,1208,1208
1642705570,1212,1212
1642705932,1213,1213
1642706653,1213,1213
1642708451,1211,1211
1642709169,1204,1204
1642709891,1205,1205
1642710250,1208,1208
1642711332,1215,1215
1642712050,1216,1216
1642712772,1204,1204
1642713491,1202,1202
1642714569,1201,1201
1642714931,1202,1202
1642716129,1195,1195
1642717816,1199,1199
1642718531,1202,1202
1642720331,1208,1208
1642721058,1209,1209
1642722132,1189,1189
1642722849,1189,1189
1642723931,1167,1167
1642725017,1158,1158
1642725372,1154,1154
1642726450,1156,1156
1642727169,1144,1144
1642727889,1144,1144
1642728613,1134,1134
1642729328,1132,1132
1642730050,1135,1135
1642731850,1137,1137
1642733289,1134,1134
1642735091,1128,1128
1642735819,1116,1116
1642736173,1116,1116
1642737971,1128,1128
1642738691,1130,1130
1642739421,1133,1133
1642740849,1144,1144
1642741569,1149,1149
1642742291,1160,1160
1642742651,1164,1164
1642744449,1164,1164
1642745169,1161,1161
1642745529,1162,1162
1642746249,1166,1166
1642746970,1158,1158
1642748050,1158,1158
1642748944,1155,1155
1642750615,1157,1157
1642750931,1161,1161
1642752370,1159,1159
1642754170,1150,1150
1642754888,1150,1150
1642756689,1141,1141
1642757058,1142,1142
1642758131,1138,1138
1642760289,1135,1135
1642761014,1133,1133
1642761368,1133,1133
1642762512,1137,1137
1642763170,1130,1130
1642764971,1123,1123
1642765689,1124,1124
1642766770,1123,1123
1642768214,1118,1118
1642769291,1113,1113
1642770729,1112,1112
1642771088,1113,1113
1642772172,1089,1089
1642773252,1090,1090
1642774330,1087,1087
1642775053,1088,1088
1642775771,1061,1061
1642776491,1060,1060
1642776850,1062,1062
1642778650,1063,1063
1642779370,1055,1055
1642780825,1053,1053
1642781891,1054,1054
1642783331,1043,1043
1642784049,1051,1051
1642784770,1050,1050
1642785911,1053,1053
1642787049,1049,1049
1642787290,1051,1051
1642788370,1051,1051
1642788731,1052,1052
1642789871,1053,1053
1642790890,1056,1056
1642791970,1054,1054
1642792689,1059,1059
1642793056,1060,1060
1642794130,1058,1058
1642795222,1064,1064
1642795930,1067,1067
1642797013,1069,1069
1642797730,1068,1068
1642798090,1070,1070
1642799170,1069,1069
1642799892,1072,1072
1642801332,1050,1050
1642802050,1054,1054
1642803190,1051,1051
1642804215,1038,1038
1642804571,1033,1033
1642805290,1031,1031
1642807092,1028,1028
1642808890,1011,1011
1642810688,1004,1004
1642811770,990,990
1642812488,998,998
1642813929,1018,1018
1642814649,1024,1024
1642815372,1010,1010
1642816513,1011,1011
1642818670,991,991
1642819329,994,994
1642821130,982,982
1642821849,983,983
1642823050,973,973
1642824191,964,964
1642824730,965,965
1642825823,956,956
1642826531,947,947
1642827249,948,948
1642828329,930,930
1642829048,932,932
1642830850,913,913
1642832650,904,904
1642833369,885,885
1642834089,882,882
1642835889,868,868
1642836613,863,863
1642837691,858,858
1642838769,854,854
1642840570,797,797
1642841288,790,790
1642841649,790,790
1642842369,778,778
1642844169,768,768
1642844889,768,768
1642846689,763,763
1642847413,757,757
1642848489,759,759
1642849569,756,756
1642850289,757,757
1642851014,748,748
1642851729,750,750
1642853529,755,755
1642854612,751,751
1642855329,747,747
1642856829,742,742
1642858929,730,730
1642860128,734,734
1642861089,740,740
1642861457,744,744
1642862530,741,741
1642863729,736,736
1642865771,738,738
1642866130,743,743
1642866849,753,753
1642867569,742,742
1642867928,744,744
1642869729,706,706
1642870449,716,716
1642871531,711,711
1642871889,712,712
1642872970,709,709
1642873330,710,710
1642874527,710,710
1642876930,702,702
1642878430,694,694
1642879089,695,695
1642879821,692,692
1642880530,690,690
1642880888,694,694
1642882689,696,696
1642883413,696,696
1642884489,702,702
1642885569,704,704
1642886291,709,709
1642886650,717,717
1642887369,721,721
1642888449,725,725
1642889170,729,729
1642889892,742,742
1642890613,731,731
1642892428,737,737
1642892777,739,739
1642893491,737,737
1642895289,736,736
1642897088,736,736
1642897815,739,739
1642898169,739,739
1642899249,748,748
1642899970,745,745
1642900689,748,748
1642901413,745,745
1642902490,747,747
1642902849,749,749
1642903928,750,750
1642905013,748,748
1642905729,746,746
1642906450,747,747
1642908613,740,740
1642909329,739,739
1642910050,737,737
1642912216,719,719
1642912929,718,718
1642913652,719,719
1642914369,718,718
1642915088,718,718
1642916169,721,721
1642916890,721,721
1642917250,722,722
1642918691,723,723
1642919413,722,722
1642919771,715,715
1642921569,716,716
1642922288,716,716
1642924449,714,714
1642926248,713,713
1642927690,706,706
1642928770,701,701
1642930214,700,700
1642931290,704,704
1642932368,697,697
1642933511,692,692
1642934169,686,686
1642935248,690,690
1642935971,688,688
1642936690,690,690
1642937417,684,684
1642937770,687,687
1642938490,686,686
1642938849,686,686
1642941013,685,685
1642942822,685,685
1642944251,687,687
1642945330,684,684
1642946051,684,684
1642946770,682,682
1642947129,683,683
1642948217,682,682
1642948931,685,685
1642949648,698,698
1642950369,709,709
1642951090,725,725
1642952889,756,756
1642955049,787,787
1642956490,813,813
1642958289,834,834
1642959011,840,840
1642960449,873,873
1642961169,880,880
1642961530,885,885
1642962972,902,902
1642963690,913,913
1642965490,934,934
1642966219,941,941
1642967291,959,959
1642968370,964,964
1642969090,977,977
1642969450,983,983
1642970170,985,985
1642970889,998,998
1642971624,1009,1009
1642972332,1019,1019
1642973413,1025,1025
1642975570,1037,1037
1642976289,1044,1044
1642977370,1048,1048
1642978089,1054,1054
1642978450,1059,1059
1642979170,1062,1062
1642979891,1066,1066
1642981330,1074,1074
1642982050,1078,1078
1642983850,1059,1059
1642984216,1046,1046
1642984929,1046,1046
1642985290,1048,1048
1642986729,1063,1063
1642987450,1065,1065
1642988169,1060,1060
1642988890,1061,1061
1642989250,1060,1060
1642989970,1056,1056
1642990690,1057,1057
1642991309,1061,1061
1642992130,1067,1067
1642992489,1081,1081
1642993930,1086,1086
1642995062,1084,1084
1642995371,1083,1083
1642996450,1085,1085
1642997530,1080,1080
1642998249,1079,1079
1642998970,1080,1080
1643001850,1075,1075
1643003649,1075,1075
1643005451,1074,1074
1643005814,1073,1073
1643006530,1074,1074
1643007729,1073,1073
1643009770,1073,1073
1643010490,1074,1074
1643010851,1077,1077
1643011572,1079,1079
1643012290,1081,1081
1643013013,1081,1081
1643014088,1084,1084
1643015170,1080,1080
1643015890,1081,1081
1643018051,1071,1071
1643018770,1069,1069
1643019488,1076,1076
1643020215,1071,1071
1643020571,1070,1070
1643021650,1068,1068
