DateTime,AddedIPs,RemovedIPs
1642488842,54,0
1642489564,58,43
1642491004,125,140
1642492443,99,9
1642493163,50,88
1642494243,129,0
1642495442,88,80
1642496582,94,42
1642497483,60,0
1642498925,89,53
1642499284,14,0
1642500363,74,50
1642501806,110,67
1642502884,101,21
1642504024,106,57
1642505042,93,0
1642505763,76,98
1642507563,134,46
1642508282,57,0
1642509363,84,103
1642510082,52,2
1642510443,34,1
1642511523,67,56
1642511883,27,0
1642512963,71,98
1642513684,127,1
1642514042,26,0
1642515483,99,56
1642516563,67,69
1642518364,116,67
1642519504,76,0
1642520524,71,110
1642521608,0,15411
1642522685,15481,0
1642524124,93,112
1642524843,34,0
1642525923,49,73
1642526644,59,0
1642527725,72,109
1642529523,144,120
1642530244,69,0
1642531325,72,155
1642532043,56,0
1642532763,46,71
1642534205,99,95
1642534925,35,21
1642536363,119,96
1642537082,52,0
1642538163,91,108
1642538883,54,6
1642541764,204,180
1642542844,82,0
1642543563,47,72
1642545843,162,134
1642547523,136,63
1642548606,72,130
1642549323,47,22
1642550043,54,0
1642550764,77,92
1642553643,204,121
1642554783,58,68
1642556883,151,97
1642560122,161,177
1642560843,33,0
1642562642,119,62
1642563783,63,86
1642564923,66,61
1642565884,62,0
1642566242,19,0
1642567323,69,112
1642568044,33,0
1642570263,103,123
1642571642,69,15
1642572723,53,60
1642573443,30,0
1642573806,16,138
1642575243,74,22
1642575611,18,57
1642576683,55,0
1642577762,25,15342
1642579564,15309,47
1642581364,99,88
1642583522,129,81
1642584243,40,1
1642584963,59,103
1642585683,20,0
1642587842,97,63
1642588563,31,90
1642589283,34,11
1642590364,92,57
1642591442,50,0
1642592164,30,81
1642592883,32,0
1642593243,18,0
1642594324,181,74
1642595043,48,0
1642595763,27,126
1642596484,36,20
1642596843,12,0
1642598642,79,94
1642599365,33,146
1642600442,81,0
1642601163,33,93
1642601884,42,0
1642602607,55,100
1642603683,71,36
1642605482,0,16214
1642607283,16223,0
1642609083,99,82
1642610884,98,150
1642612323,79,84
1642613043,40,0
1642613406,29,127
1642614482,65,11830
1642615624,11853,63
1642617363,126,128
1642618085,47,23
1642620242,0,16172
1642620605,16139,0
1642621743,70,24
1642624204,141,231
1642624925,47,33
1642625642,49,0
1642626013,23,90
1642627143,58,0
1642628163,73,114
1642629243,71,0
1642629963,54,97
1642632123,228,138
1642633323,131,67
1642633563,19,0
1642635365,147,134
1642636504,82,0
1642637524,73,108
1642638244,74,0
1642639382,92,132
1642640523,77,53
1642641484,70,0
1642642207,41,101
1642642565,18,21
1642644363,139,85
1642645805,122,89
1642646883,58,26
1642647244,22,0
1642647962,52,68
1642648682,43,0
1642650483,146,110
1642653006,143,209
1642653723,50,52
1642654443,60,0
1642655883,88,94
1642656963,68,11512
1642657323,11420,0
1642658043,72,0
1642658764,49,88
1642660563,128,132
1642661644,75,13
1642663443,131,84
1642664524,0,16738
1642665243,16823,0
1642666323,83,99
1642667043,33,0
1642667405,23,107
1642668126,48,33
1642670283,136,63
1642671005,95,125
1642672083,80,30
1642673163,68,95
1642674606,121,122
1642676764,132,114
1642678206,64,125
1642679283,63,27
1642681083,84,95
1642681805,43,95
1642683244,100,44
1642683963,34,155
1642684683,39,0
1642685405,45,118
1642686124,51,16
1642687563,81,79
1642689006,73,95
1642690083,58,32
1642691882,85,55
1642692243,22,0
1642692963,42,104
1642694043,54,1
1642694764,37,73
1642695483,41,0
1642696924,78,139
1642697643,50,0
1642699443,99,72
1642700163,73,133
1642700523,38,0
1642702322,106,94
1642703043,34,0
1642703763,33,110
1642705563,96,86
1642706642,52,0
1642708444,92,129
1642709163,34,109
1642709884,36,0
1642710244,24,0
1642711325,59,151
1642712043,44,1
1642712763,40,88
1642714207,94,92
1642714924,30,21
1642716123,69,112
1642716723,34,0
1642717805,52,110
1642718524,36,41
1642720324,112,82
1642721044,29,0
1642722124,64,158
1642722843,27,0
1642723924,56,115
1642725006,43,101
1642726443,65,41
1642727163,28,86
1642728605,55,105
1642729322,33,18
1642730043,36,0
1642731483,54,83
1642731843,19,0
1642733283,50,140
1642735083,67,75
1642736163,47,124
1642737962,82,67
1642738684,30,0
1642739406,29,86
1642740843,86,24
1642741563,30,54
1642742644,52,0
1642744443,70,76
1642745523,51,52
1642746244,26,0
1642746962,36,88
1642747324,14,7
1642748043,39,0
1642748782,0,16319
1642749484,16314,0
1642750610,58,74
1642750923,13,0
1642751643,61,0
1642752364,33,70
1642753443,39,0
1642754163,35,114
1642754883,27,11
1642757044,88,43
1642758124,54,74
1642760284,82,117
1642761363,6,21140
1642763163,21142,7
1642764242,49,0
1642764963,28,387
1642765683,26,0
1642766763,33,53
1642768205,65,77
1642769284,30,27
1642769643,17,0
1642770723,31,66
1642771083,25,0
1642772166,33,94
1642772884,26,0
1642773244,11,0
1642774323,48,82
1642775043,29,0
1642775764,30,113
1642776484,25,7
1642776843,14,0
1642778643,45,67
1642779363,26,109
1642780083,23,0
1642780815,32,85
1642781523,23,0
1642781884,9,0
1642783324,60,151
1642784043,21,1
1642784763,25,80
1642785903,36,0
1642787042,51,130
1642787284,4,0
1642788363,32,86
1642788724,6,0
1642789863,45,111
1642790883,27,35
1642791963,33,88
1642792684,23,0
1642793044,13,1
1642794123,40,106
1642795212,41,94
1642795924,15,0
1642797006,34,116
1642797724,24,38
1642798084,19,0
1642799164,26,85
1642799884,33,1
1642801325,53,179
1642802044,18,1
1642803183,36,124
1642804206,34,131
1642805283,33,44
1642807084,52,82
1642808884,54,137
1642810682,61,103
1642811763,30,97
1642812483,40,10
1642813923,78,71
1642814643,33,0
1642815364,27,116
1642816505,38,0
1642818664,59,185
1642819323,34,37
1642821123,54,64
1642821843,25,0
1642823043,28,95
1642824183,25,68
1642824723,18,0
1642825805,32,98
1642826523,18,32
1642827243,18,0
1642828323,33,93
1642829043,33,0
1642830843,56,145
1642832644,55,111
1642833363,27,174
1642834082,21,115
1642835883,66,73
1642836605,27,90
1642837683,55,24
1642838763,44,87
1642840563,67,158
1642841283,34,18
1642841644,12,0
1642842362,16,65
1642843444,38,0
1642844163,17,201
1642844883,21,0
1642846684,111,75
1642847405,30,89
1642848484,40,32
1642849562,42,56
1642850643,50,0
1642851723,41,92
1642853523,80,99
1642854605,53,105
1642855322,34,27
1642855683,6,0
1642856823,42,77
1642857123,17,0
1642858922,65,120
1642860123,144,69
1642861443,322,0
1642862524,27,102
1642863723,40,58
1642863962,12,0
1642865763,77,95
1642866124,17,0
1642866843,34,0
1642867922,41,89
1642869723,66,165
1642870443,32,0
1642871523,44,78
1642871883,18,0
1642872964,36,97
1642873323,12,0
1642874522,41,81
1642874763,6,0
1642876923,74,115
1642877283,11,0
1642878423,38,69
1642879806,59,91
1642880882,45,26
1642882683,80,91
1642883405,32,102
1642884483,38,22
1642886284,92,70
1642887363,49,105
1642888442,42,0
1642889163,33,96
1642889883,52,0
1642890605,31,86
1642892414,108,95
1642892766,24,0
1642893484,351,0
1642895282,69,95
1642897083,90,68
1642898163,43,86
1642899964,84,77
1642900683,39,0
1642901405,36,80
1642902483,57,16
1642902843,23,0
1642903922,48,71
1642905005,55,80
1642905723,25,22
1642906443,35,0
1642908605,89,140
1642909323,27,20
1642910042,30,0
1642912205,97,179
1642912922,21,30
1642913643,17,0
1642914363,22,57
1642915806,55,99
1642917244,63,22
1642918322,56,73
1642918683,19,0
1642919405,32,84
1642919764,19,27
1642921563,98,128
1642922643,37,0
1642924444,74,128
1642926242,91,56
1642927684,85,140
1642929842,57,13874
1642930562,13821,55
1642931283,29,0
1642931643,12,0
1642932362,35,91
1642933504,86,0
1642934163,48,153
1642935242,45,17
1642936682,59,72
1642938843,103,124
1642941005,91,158
1642942810,76,95
1642944245,62,0
1642945324,39,115
1642946044,31,0
1642947124,59,90
1642948205,49,71
1642949642,62,43
1642950363,38,73
1642951084,38,0
1642952884,104,110
1642954139,84,73
1642955043,93,0
1642956484,96,121
1642959004,418,165
1642960443,112,25
1642961523,75,58
1642962964,95,97
1642963683,48,23
1642965483,116,52
1642966205,0,14039
1642967285,14093,0
1642968363,77,67
1642969443,72,0
1642970163,44,133
1642970883,48,7
1642971610,40,50
1642972324,56,0
1642973405,55,80
1642975563,108,75
1642976283,44,0
1642977363,59,83
1642978083,35,11
1642978444,19,0
1642979163,35,46
1642979883,33,0
1642981323,55,95
1642982043,42,0
1642984206,122,196
1642984923,44,28
1642985283,24,0
1642988523,175,139
1642989243,40,0
1642990683,76,66
1642991304,38,0
1642992482,81,86
1642993923,89,48
1642995052,59,77
1642995364,9,11
1642996445,52,0
1642997523,49,61
1642998243,37,0
1642998963,30,98
1642999323,6,8
1643000043,29,0
1643001843,62,53
1643003643,67,79
1643005444,81,82
1643005805,23,66
1643006523,45,30
1643007722,55,51
1643008323,24,0
1643009764,62,109
1643010483,58,1
1643010844,16,1
1643011563,110,62
1643013005,79,72
1643014082,48,15
1643016243,148,95
1643018044,67,101
1643018763,29,83
1643019483,44,0
1643020207,29,85
1643020563,15,21
1643021643,46,5
