DateTime,AddedIPs,RemovedIPs
1642228568,0,2
1642229286,1,0
1642230366,1,0
1642232164,1,2
1642234688,1,1
1642236128,3,2
1642237566,1,1
1642239726,0,1
1642241528,1,1
1642246209,1,0
1642248021,1,0
1642250529,0,3
1642252688,1,1
1642255217,0,1
1642258448,0,1
1642263187,2,0
1642268167,0,1
1642270688,1,1
1642272490,0,2
1642275728,0,2
1642278248,1,0
1642279328,1,0
1642280769,0,1
1642282570,1,1
1642284727,2,1
1642287246,1,0
1642287967,1,1
1642289768,0,1
1642292289,1,0
1642294087,0,2
1642296611,0,1
1642298767,0,1
1642300212,0,2
1642307416,0,3
1642308127,1,0
1642311010,0,1
1642312447,1,0
1642314611,0,1
1642316048,1,0
1642316767,1,0
1642321087,0,1
1642321810,0,3
1642325414,0,1
1642329367,0,1
1642331169,1,0
1642332246,1,0
1642335487,1,0
1642338728,1,0
1642341967,1,21
1642342328,1,0
1642343413,0,23
1642347011,0,1
1642349528,0,2
1642350248,1,0
1642352769,1,0
1642357448,0,2
1642358169,0,1
1642362129,1,0
1642364287,1,0
1642365367,0,1
1642366087,1,0
1642369327,2,0
1642371128,1,0
1642372567,2,0
1642374371,1,0
1642375816,1,1
1642376529,0,1
1642377969,0,1
1642379769,1,1
1642380487,1,0
1642382647,2,0
1642383367,1,0
1642386970,0,3
1642389489,0,1
1642390211,0,1
1642392369,0,1
1642394528,0,1
1642396687,1,1
1642398847,1,3
1642401010,0,4
1642404966,0,3
1642407848,1,4
1642411815,0,1
1642413247,0,1
1642415411,1,0
1642416849,1,0
1642419010,0,1
1642427648,1,0
1642428368,1,1
1642431248,1,0
1642433408,0,1
1642434128,1,0
1642440969,0,1
1642443849,1,0
1642448647,2,1
1642449249,1,0
1642449968,1,1
1642451769,5,1
1642452966,3,0
1642453929,2,0
1642454647,3,0
1642455012,1,1
1642456447,0,1
1642457167,4,2
1642457529,1,0
1642459748,0,1
1642460767,2,1
1642462569,2,0
1642463649,1,0
1642465088,1,0
1642465812,1,0
1642467248,1,0
1642472647,1,0
1642473367,2,1
1642475168,1,0
1642479853,1,0
1642482730,1,1
1642486327,2,2
1642487768,1,0
1642489569,1,0
1642490287,1,0
1642491008,1,0
1642492449,2,0
1642493167,1,0
1642493888,2,0
1642495447,1,0
1642496587,2,0
1642497489,1,0
1642499288,1,0
1642500728,1,0
1642501448,1,0
1642501811,0,1
1642504030,1,1
1642505047,2,0
1642505769,1,0
1642507568,1,0
1642508286,1,0
1642509010,0,1
1642510089,1,0
1642511528,3,0
1642512969,1,1
1642513689,2,0
1642514048,1,0
1642515489,1,0
1642516567,5,0
1642518368,8,1
1642519508,5,0
1642520530,5,1
1642521617,4,0
1642522689,6,0
1642524848,8,0
1642525569,1,0
1642525928,1,0
1642526648,2,0
1642529528,8,0
1642531329,9,1
1642532048,6,0
1642532767,2,0
1642533489,4,0
1642534216,7,0
1642534929,7,0
1642536367,9,0
1642537088,4,0
1642537810,2,3
1642538529,3,1
1642538887,2,0
1642540330,5,0
1642541771,5,3
1642544648,3,0
1642545847,1,1
1642547528,3,2
1642548615,4,0
1642550049,1,0
1642550768,4,1
1642552569,0,3
1642554789,1,0
1642555813,2,0
1642556528,1,0
1642558687,3,0
1642560127,0,1
1642562647,2,0
1642567329,2,1
1642570268,2,1
1642572728,2,0
1642575621,3,0
1642577768,1,2
1642578969,1,0
1642581369,1,1
1642582448,2,0
1642583529,2,0
1642584969,1,0
1642587488,2,1
1642588211,0,1
1642588928,1,0
1642590368,1,0
1642592170,1,0
1642592888,2,0
1642593249,1,0
1642595047,24,0
1642596489,1,0
1642598647,0,1
1642599371,1,0
1642600446,1,0
1642601168,1,0
1642601889,2,0
1642603688,1,1
1642605485,1,0
1642607288,2,0
1642609088,5,0
1642610890,3,1
1642612327,3,0
1642613047,1,0
1642613411,2,1
1642614128,1,0
1642615628,5,0
1642617368,4,0
1642618089,4,0
1642619528,4,3
1642620614,3,3
1642621749,3,0
1642623490,6,3
1642624210,1,4
1642624929,6,0
1642626022,4,4
1642627147,1,0
1642627812,0,2
1642628169,1,0
1642629248,1,0
1642629968,1,1
1642632127,3,2
1642633328,7,1
1642635370,3,3
1642636510,3,0
1642637529,1,0
1642640528,3,0
1642641489,1,0
1642642213,1,3
1642645812,3,1
1642646888,3,0
1642649413,1,1
1642650129,1,0
1642652289,1,0
1642653368,3,1
1642653728,0,1
1642654448,2,0
1642657328,1,0
1642658047,1,0
1642660569,1,0
1642663448,2,0
1642664526,0,1
1642665247,1,0
1642667047,1,0
1642667411,1,1
1642668131,1,0
1642670288,1,0
1642671016,1,1
1642671730,1,0
1642673168,1,0
1642674613,0,1
1642676769,1,1
1642678568,2,0
1642681088,1,2
1642681810,1,0
1642683248,1,1
1642685411,0,1
1642687568,3,3
1642688289,1,0
1642689015,0,2
1642691888,2,1
1642692247,1,0
1642692968,1,1
