DateTime,AddedIPs,RemovedIPs
1642533486,20,1
1642534926,34,34
1642536364,53,22
1642537085,17,1
1642538526,51,44
1642538884,10,1
1642540326,43,20
1642541046,27,1
1642541767,21,27
1642542846,30,3
1642543565,28,25
1642544645,32,2
1642545844,41,24
1642547525,51,20
1642548612,31,37
1642549325,18,9
1642550046,26,0
1642550765,22,34
1642552565,57,56
1642553284,19,3
1642553645,10,1
1642554785,22,27
1642555808,32,27
1642556525,15,9
1642556885,17,0
1642558684,41,26
1642559407,16,25
1642560124,16,10
1642560845,19,0
1642562644,49,28
1642563785,32,29
1642564926,33,30
1642565886,29,4
1642566249,12,0
1642567325,37,50
1642568045,17,0
1642570265,47,42
1642570925,16,5
1642571644,27,0
1642572724,30,17
1642573444,23,0
1642573808,9,80
1642575615,52,24
1642576685,25,1
1642577765,28,46
1642578965,28,0
1642579566,24,24
1642581365,53,35
1642583524,90,28
1642584248,25,0
1642584966,40,29
1642585685,13,0
1642587844,42,16
1642588565,16,33
1642589284,15,2
1642590365,22,23
1642591444,30,0
1642592167,15,39
1642592885,18,0
1642593245,12,0
1642595044,41,36
1642596126,20,77
1642596846,27,0
1642598644,35,53
1642599367,24,78
1642600444,44,0
1642601165,22,53
1642601886,19,4
1642602613,24,56
1642603685,26,11
1642606926,68,103
1642607285,10,0
1642609085,48,51
1642610887,47,65
1642612324,31,32
1642613044,18,0
1642614484,54,63
1642615625,35,39
1642617365,72,49
1642618087,22,9
1642620611,95,88
1642621745,26,10
1642623486,30,48
1642624207,26,55
1642624926,12,14
1642625645,29,1
1642626016,17,39
1642627144,27,1
1642627809,25,55
1642628165,8,6
1642629245,36,2
1642629965,24,45
1642632124,81,68
1642633325,57,39
1642633565,11,2
1642635367,73,50
1642636506,52,1
1642637526,42,54
1642638246,41,0
1642639384,50,67
1642640525,48,21
1642641486,46,0
1642642209,22,42
1642642566,8,12
1642644365,95,45
1642645085,57,2
1642645808,34,39
1642646885,40,13
1642647246,14,0
1642647964,34,29
1642648684,26,0
1642649408,39,44
1642650125,35,6
1642650485,13,1
1642652285,61,38
1642653364,40,80
1642653725,18,7
1642654444,39,1
1642655166,27,47
1642656244,50,0
1642657325,46,58
1642658045,40,0
1642658766,28,38
1642660566,78,43
1642661645,37,6
1642663445,84,39
1642665244,204,79
1642666326,39,50
1642667044,26,2
1642667407,12,43
1642668127,24,12
1642670285,86,25
1642671013,37,55
1642671726,27,9
1642672086,14,2
1642673165,40,47
1642674608,87,44
1642676766,61,36
1642677486,22,1
1642678565,33,44
1642680364,75,28
1642681085,25,1
1642681807,26,37
1642683246,47,18
1642683965,18,25
1642684685,17,6
1642685407,27,46
1642686125,22,11
1642687565,40,32
1642688286,16,0
1642689010,24,30
1642690085,44,11
1642691885,55,20
1642692245,10,0
1642692965,27,45
1642694044,25,2
1642694766,20,26
1642695485,24,1
1642696208,21,29
1642696926,20,25
1642697645,24,0
1642699444,48,21
1642700164,31,53
1642700524,21,0
1642702324,54,36
1642703045,16,1
1642703764,14,34
1642705565,49,26
1642705925,9,0
1642706647,19,0
1642708446,42,39
1642709886,37,33
1642710245,10,1
1642711327,32,56
1642712045,22,2
1642712765,28,24
1642713484,27,1
1642714564,31,35
1642714926,13,2
1642716125,38,33
1642716725,17,1
1642717809,31,22
1642718527,18,7
1642720325,62,27
1642721050,18,0
1642722127,26,35
1642722845,12,1
1642723925,28,24
1642725011,27,26
1642725366,9,5
1642726445,26,4
1642727165,17,26
1642727885,14,3
1642728607,20,28
1642729324,21,3
1642730044,18,0
1642731845,41,27
1642733285,27,41
1642735085,36,23
1642735811,23,33
1642736167,10,12
1642737965,46,34
1642738687,17,1
1642739414,16,27
1642740845,31,13
1642741564,14,24
1642742286,20,3
1642742646,5,1
1642744445,47,41
1642745165,20,18
1642745525,10,0
1642746245,13,4
1642746964,18,39
1642747326,9,5
1642748045,24,3
1642749485,24,26
1642750611,17,38
1642750925,5,2
1642751645,39,1
1642752366,12,53
1642753085,14,0
1642754165,21,64
1642754884,20,8
1642756684,34,14
1642757051,12,1
1642758126,26,35
1642760285,42,25
1642761364,17,21
1642762506,23,7
1642763165,28,18
1642764244,36,1
1642764965,19,28
1642765684,14,0
1642766765,17,27
1642768207,30,37
1642769286,21,12
1642769645,10,0
1642770724,20,35
1642771084,14,1
1642772168,21,33
1642772885,14,0
1642773246,5,0
1642774325,30,16
1642775047,14,0
1642775766,18,22
1642776486,15,3
1642776845,7,0
1642778645,29,22
1642779365,11,31
1642780084,8,1
1642780818,19,16
1642781524,6,0
1642781886,3,1
1642783326,28,33
1642784045,9,3
1642784765,10,38
1642785905,23,2
1642787044,33,42
1642787286,3,0
1642788365,16,19
1642788726,4,1
1642789865,26,25
1642790166,5,6
1642790885,7,4
1642791965,22,18
1642792685,9,1
1642793050,6,1
1642794125,22,24
1642795216,22,31
