DateTime,AddedIPs,RemovedIPs
1642331170,1,1
1642336210,0,2
1642340948,0,1
1642341968,0,6
1642345929,6,2
1642352770,0,1
1642354929,1,0
1642360329,2,0
1642362131,1,2
1642364288,1,0
1642365010,1,0
1642366089,1,0
1642372568,0,1
1642375819,1,1
1642385527,1,0
1642386971,0,1
1642389490,0,1
1642390212,0,1
1642396688,1,0
1642404967,0,1
1642409287,0,2
1642415412,0,1
1642419011,1,0
1642425850,4,0
1642427649,19,0
1642428369,14,1
1642429090,7,0
1642430531,1,0
1642431969,2,0
1642432689,1,0
1642433410,4,0
1642434130,2,0
1642435929,6,0
1642436650,2,0
1642437369,3,1
1642438089,2,0
1642439889,3,0
1642440970,7,0
1642441330,2,0
1642442047,3,0
1642443129,3,0
1642443850,2,0
1642444213,3,0
1642446369,16,1
1642447456,5,0
1642448648,5,1
1642449250,1,0
1642449969,2,1
1642451770,6,0
1642452969,4,0
1642453931,2,0
1642454648,3,0
1642456448,6,0
1642457168,2,0
1642458249,9,0
1642458612,1,0
1642459749,7,0
1642460768,5,0
1642462571,12,0
1642463290,2,0
1642465089,8,0
1642465814,2,0
1642467249,4,0
1642468690,10,0
1642470488,10,1
1642470849,2,0
1642472648,3,0
1642473368,3,0
1642474087,3,0
1642474448,4,0
1642475169,2,0
1642476968,8,0
1642478050,3,0
1642478421,3,0
1642479856,4,0
1642480927,3,0
1642482731,3,1
1642483810,7,0
1642484530,4,0
1642486328,6,0
1642487769,1,0
1642489221,4,0
1642489570,1,0
1642490288,3,0
1642491009,3,1
1642492450,4,0
1642493168,3,1
1642493888,1,0
1642494248,1,0
1642495448,4,1
1642496588,4,0
1642497491,2,0
1642499289,6,0
1642500729,4,1
1642501450,1,0
1642502889,4,0
1642504031,4,0
1642505048,1,0
1642505770,3,0
1642507570,4,0
1642508288,2,0
1642509011,2,1
1642510090,2,0
1642510449,3,0
1642511529,1,2
1642511889,2,0
1642512970,1,8
1642513690,2,0
1642514049,1,0
1642514770,1,0
1642515490,5,0
1642516569,4,0
1642518370,7,0
1642519510,2,0
1642520531,3,0
1642521619,4,0
1642522690,1,0
1642524849,6,0
1642526649,2,0
1642527730,1,2
1642529529,4,0
1642530251,2,0
1642531331,1,2
1642532050,2,0
1642532768,1,0
1642534217,2,2
1642534931,1,0
1642536369,4,0
1642537090,1,0
1642537812,3,0
1642538530,2,0
1642540331,2,0
1642541773,0,1
1642542850,5,0
1642545848,2,0
1642547529,4,0
1642548616,2,1
1642549330,2,0
1642550050,1,0
1642550770,1,0
1642552570,5,0
1642553649,3,0
1642554790,3,0
1642555814,1,1
1642556529,1,0
1642556890,2,0
1642558688,1,1
1642559413,1,0
1642560128,1,0
1642560850,2,0
1642562648,2,0
1642563790,2,0
1642564930,4,0
1642565891,2,0
1642566255,1,0
1642567330,2,1
1642568049,1,0
1642570269,2,0
1642572730,3,1
1642573449,2,0
1642573813,1,0
1642575624,6,0
1642576689,1,0
1642578970,6,0
1642579570,1,0
1642581370,2,0
1642582449,2,0
1642583530,2,0
1642584253,1,0
1642585689,1,0
1642588212,2,0
1642588930,1,0
1642590370,1,0
1642592171,1,1
1642592889,1,0
1642595048,4,0
1642595769,1,3
1642596491,2,0
1642596851,2,0
1642598648,1,2
1642599372,0,2
1642600448,1,0
1642601169,3,2
1642601891,1,0
1642602618,1,1
1642603690,1,2
1642605487,1,2
1642607289,5,3
1642609089,2,3
1642610891,4,1
1642612329,1,1
1642613414,0,2
1642614488,1,0
1642615629,2,5
1642617370,1,2
1642618091,0,1
1642619529,4,3
1642620615,0,3
1642621750,1,0
1642623491,5,4
1642624212,2,4
1642624930,0,1
1642625650,1,0
1642626024,2,1
1642627814,1,4
1642628171,1,0
1642629250,3,0
1642629969,1,2
1642632128,4,7
1642633329,2,0
1642633570,2,0
1642635371,4,1
1642637530,8,1
1642638250,5,0
1642639388,7,3
1642640530,3,1
1642641490,3,0
1642642215,1,1
1642642571,0,1
1642644369,6,3
1642645091,4,0
1642645814,4,5
1642646889,4,0
1642647251,2,0
1642647970,1,0
1642648689,3,0
1642649415,5,5
1642650130,3,0
1642650489,1,0
1642652291,4,2
1642653369,1,3
1642653729,2,0
1642654449,4,0
1642655170,2,1
1642656248,4,0
1642657329,1,6
1642658049,3,0
1642658771,2,2
1642660570,4,3
1642661650,2,0
1642663449,3,5
1642664527,11,0
1642665249,3,0
1642666330,4,2
1642667048,4,0
1642667413,1,3
1642668132,5,1
1642670289,4,0
1642671017,2,3
1642671731,5,0
1642672090,1,0
1642673169,3,2
1642674614,3,1
1642676770,6,2
1642678570,2,3
1642679287,2,0
1642681090,2,1
1642681812,2,3
1642683250,6,0
1642683970,3,1
1642684689,2,0
1642685413,1,2
1642687569,3,0
1642688290,1,0
1642689018,1,1
1642690089,1,1
1642691889,4,1
1642692970,3,1
1642694046,2,0
1642694769,2,4
1642696213,3,0
1642696930,2,0
1642697649,2,0
1642699449,4,2
1642700169,1,3
1642700530,2,0
1642702327,2,1
1642703050,1,0
1642703770,0,1
1642705570,3,0
1642705931,1,0
1642706652,1,0
1642708450,2,5
1642709168,0,2
1642709890,1,0
1642711331,0,1
1642712049,2,0
1642712772,2,0
1642714569,1,1
1642716730,1,0
1642720330,4,1
1642721058,2,0
1642723931,0,1
1642725016,2,2
1642727169,1,1
1642727889,1,0
1642728612,1,1
1642730049,1,0
1642731850,2,1
1642733289,4,0
1642735090,2,0
1642735819,2,2
1642736172,2,0
1642737971,2,1
1642739421,1,0
1642741568,1,0
1642742650,1,0
1642745169,2,1
1642746249,3,0
1642746969,0,3
1642748049,2,0
1642748939,2,0
1642750615,0,1
1642750930,1,0
1642752370,1,1
1642754169,0,1
1642754888,1,0
1642756688,1,0
1642758131,2,0
1642760289,1,1
1642761368,1,0
1642764970,2,0
1642765689,1,0
1642766770,1,1
1642769291,3,0
1642769649,1,0
1642772172,1,4
1642772889,2,0
1642773251,2,0
1642774330,3,1
1642775052,1,0
1642775771,1,0
1642776491,1,0
1642776850,1,0
1642780088,1,0
1642780824,1,0
1642781529,1,0
1642781890,1,0
1642783331,2,0
1642785910,1,0
1642787048,1,0
1642788370,1,0
1642791970,1,0
1642797012,0,1
1642797730,1,0
1642801331,1,3
1642803190,1,0
1642808889,1,0
1642810687,0,2
1642811769,0,2
1642812487,1,0
1642815371,0,2
1642818670,0,3
1642819329,0,2
1642821129,1,1
1642823049,1,2
1642824190,0,1
1642825823,1,0
1642828328,0,2
1642829048,1,0
1642830850,1,0
1642833369,1,3
1642834089,0,7
1642836612,0,3
1642837690,1,1
1642838769,0,1
1642842369,0,1
1642844169,1,1
1642847413,1,0
1642849568,0,2
1642851729,1,0
1642853529,1,2
1642854612,2,0
1642855328,0,1
1642858929,0,1
1642860128,0,1
1642862530,0,2
1642863728,0,2
1642865770,1,2
1642867569,0,4
1642869729,0,3
1642872969,2,0
1642876929,1,1
1642878429,1,3
1642879089,1,0
1642879820,0,3
1642880530,0,1
1642882689,0,2
1642884489,0,3
1642886290,0,3
1642887368,1,0
1642889170,1,5
1642889891,1,0
1642890613,0,1
1642892427,2,2
1642892776,1,0
1642893491,1,0
1642895289,0,2
1642897087,0,3
1642898168,0,3
1642899249,0,1
1642899969,1,2
1642901413,0,2
1642902490,0,3
1642902849,1,0
1642903927,1,3
1642905012,0,3
1642905729,0,2
1642908613,2,7
1642912215,2,8
1642912929,0,2
1642913651,1,0
1642914368,2,0
1642916169,1,2
1642917250,1,0
1642918691,4,3
1642919412,2,7
1642921569,3,2
1642924449,0,4
1642926247,1,5
1642927689,1,5
1642928770,0,3
1642930214,0,2
1642931289,2,1
1642932368,2,3
1642934169,1,6
1642935971,2,4
1642937416,1,3
1642937770,2,1
1642938490,1,0
1642941013,1,10
1642942821,0,10
1642944251,2,0
1642945329,0,9
1642946770,1,7
1642948216,6,3
1642948930,1,1
1642949648,1,0
1642950368,1,4
1642951090,1,0
1642952889,0,7
1642955049,5,2
1642956489,1,5
1642958289,0,2
1642959010,23,3
1642960448,1,3
1642961169,1,3
1642961529,3,0
1642962971,2,5
1642963689,1,0
1642965489,1,2
1642966218,0,1
1642967291,1,0
1642968369,1,3
1642969090,1,0
1642970170,1,3
1642970889,3,0
1642971623,0,2
1642972332,2,0
1642973412,0,4
1642975570,4,5
1642976289,1,0
1642977369,0,6
1642979170,1,1
1642979890,1,0
1642981330,0,5
1642982049,2,0
1642983850,1,2
1642984215,0,1
1642984929,2,1
1642986729,1,1
1642988169,1,4
1642988890,1,0
1642992130,1,7
1642993930,2,3
1642995061,0,2
1642996450,1,0
1642997530,2,1
1642998249,2,0
1642998970,1,1
1643000049,3,0
1643001849,5,3
1643003649,3,3
1643005451,3,1
1643005814,0,4
1643006530,1,0
1643007729,2,0
1643008328,1,0
1643009770,3,4
1643010490,1,0
1643011571,0,2
1643013012,3,5
1643014088,3,0
1643015169,2,2
1643016248,2,0
