DateTime,AddedIPs,RemovedIPs
1641974166,41,45
1641976086,42,45
1641978026,46,35
1641980169,42,34
1641982350,38,46
1641984247,48,45
1641986164,54,42
1641988351,36,53
1641990246,41,46
1641992164,39,38
1641994351,42,38
1641996245,36,47
1641998433,40,39
1642000348,43,33
1642004406,38,68
1642006346,29,34
1642008268,40,48
1642010166,39,44
1642012107,40,37
1642014014,34,38
1642015926,29,31
1642017870,30,34
1642019769,33,37
1642021924,45,32
1642023846,41,21
1642025791,41,41
1642027684,38,33
1642029848,37,43
1642031786,37,50
1642033926,38,39
1642036093,31,32
1642038030,41,0
1642039927,40,37
1642042088,28,33
1642045929,33,80
1642047843,34,34
1642049792,32,28
1642051685,33,36
1642053853,41,41
1642056011,40,36
1642057952,40,31
1642059849,50,46
1642061794,41,37
1642063688,37,41
1642065629,43,43
1642069451,43,76
1642071365,42,47
1642073534,43,47
1642075470,48,51
1642077373,45,38
1642079284,45,39
1642081233,39,49
1642085291,44,80
1642087445,46,45
1642089399,37,0
1642091283,52,38
1642093448,39,31
1642095634,38,41
1642099468,36,84
1642101366,24,34
1642103524,43,31
1642105447,36,37
1642107386,43,29
1642109285,37,43
1642111452,35,45
1642113390,34,39
1642115287,33,29
1642117204,41,40
1642119125,33,38
1642121286,33,31
1642123446,34,39
1642125365,32,40
1642127306,38,39
1642129215,30,40
1642131148,42,0
1642134968,29,72
1642136906,41,33
1642138804,42,36
1642140968,52,36
1642142906,45,43
1642144824,41,41
1642146967,46,47
1642149127,41,43
1642151052,45,43
1642152987,52,53
1642154889,39,0
1642156805,55,45
1642158751,40,45
1642160645,44,39
1642162571,51,48
1642164505,40,44
1642166410,40,51
1642168568,45,35
1642170729,42,0
1642172887,39,37
1642174831,42,42
1642176726,36,28
1642178648,41,47
1642180586,35,38
1642182488,32,34
1642184648,29,0
1642186565,30,35
1642188508,20,37
1642190413,30,39
1642192569,33,30
1642194507,39,38
1642196409,40,37
1642198568,36,32
1642200507,44,32
1642202404,45,33
1642204568,40,37
1642206507,40,33
1642210567,38,78
1642212506,36,30
1642214412,32,40
1642218726,36,74
1642220892,43,0
1642222805,42,31
1642224751,31,38
1642226649,32,34
1642228813,45,51
1642230727,35,40
1642232670,45,34
1642236488,38,91
1642238669,42,40
1642240570,49,48
1642242730,43,50
1642244647,44,52
1642246591,45,52
1642248485,44,38
1642250648,37,47
1642252811,44,81
1642254724,51,0
1642256677,44,50
1642258568,54,39
1642260507,49,49
1642262413,36,42
1642264328,35,40
1642266267,33,46
1642268168,41,32
1642270325,38,31
1642272245,40,36
1642274188,27,27
1642276086,36,29
1642278247,30,27
1642280163,29,34
1642282105,32,34
1642284011,35,43
1642286169,30,34
1642288106,34,38
1642290010,33,43
1642291946,45,34
1642293847,39,46
1642295788,24,0
1642297686,34,30
1642299848,35,34
1642301787,33,29
1642303927,38,0
1642305846,30,34
1642307787,35,36
1642309688,34,40
1642311627,28,34
1642313525,39,34
1642315446,42,51
1642319284,36,77
1642321445,43,0
1642323387,46,44
1642325529,44,34
1642327470,37,49
1642331527,40,84
1642333446,33,39
1642335388,42,44
1642337285,39,43
1642341146,36,92
1642343047,36,0
1642344986,41,87
1642346886,37,0
1642350724,41,82
1642352892,39,76
1642355048,37,39
1642357012,44,41
1642358884,33,38
1642361044,41,33
1642362966,32,40
1642364906,38,33
1642366806,32,28
1642368968,31,31
1642371123,37,34
1642373049,39,25
1642374986,44,45
1642376888,41,30
1642378826,39,42
1642380728,31,33
1642382646,38,26
1642384589,31,37
1642386487,23,44
1642388649,35,37
1642390809,32,31
1642392748,34,31
1642394648,34,27
1642398506,33,79
1642400409,38,39
1642402324,41,43
1642404270,50,0
1642406164,46,41
1642408327,45,41
1642410247,47,47
1642412194,37,48
1642414084,46,38
1642416248,51,0
1642418163,33,32
1642420110,40,35
1642422004,41,54
1642424170,40,41
1642426108,38,0
1642428042,39,30
1642432327,35,78
1642434246,42,33
1642436191,38,0
1642438084,33,35
1642440248,32,34
1642442191,48,34
1642444112,28,45
1642446033,35,32
1642447925,36,35
1642450088,29,30
1642452031,31,35
1642453930,38,36
1642455846,41,30
1642457788,48,37
1642459687,36,47
1642461607,38,42
1642463548,40,36
1642465449,41,37
1642467366,36,36
1642469310,44,40
1642471207,38,37
1642473127,38,26
1642475071,25,41
1642476969,39,0
1642479126,36,38
1642481288,24,69
1642483209,32,0
1642485146,34,25
1642487046,30,33
1642488966,50,40
1642490907,43,45
1642492806,44,45
1642494725,49,0
1642496669,48,90
1642498568,42,0
1642500506,40,78
1642504567,36,84
1642506484,51,0
1642508428,38,84
1642510329,46,0
1642514190,34,87
1642516347,40,41
1642518247,32,0
1642520409,34,39
1642522567,40,41
1642524506,34,79
1642526405,38,0
1642528324,30,38
1642530268,37,44
1642532166,35,30
1642534106,30,38
1642536014,35,27
1642538170,43,36
1642540325,33,32
1642542487,43,80
1642544407,38,46
1642546566,31,35
1642548730,38,41
1642550891,34,44
1642552828,36,39
1642558593,39,108
1642560488,38,32
1642562650,42,35
1642564823,35,40
1642566747,32,31
1642568652,39,29
1642570586,28,34
1642572488,31,30
1642574430,50,22
1642576324,36,45
1642578246,33,45
1642580187,41,43
1642582089,41,47
1642584246,42,42
1642586405,43,39
1642588324,50,46
1642590270,44,0
1642592170,41,37
1642594326,46,55
1642596246,48,35
1642598186,39,48
1642600087,28,0
1642602027,39,40
1642603928,41,45
1642605845,34,30
1642607787,34,34
1642609684,30,35
1642611604,32,35
1642613546,38,42
1642615446,22,25
1642617610,45,37
1642619766,35,40
1642621706,33,40
1642623607,43,36
1642625766,37,40
1642627925,35,34
1642630087,34,40
1642632271,32,31
1642636325,37,64
1642638488,35,36
1642640655,39,41
1642642591,45,0
1642644487,37,0
1642646648,33,43
1642648586,32,40
1642650487,37,43
1642652648,31,33
1642654586,38,30
1642656488,36,36
1642658439,40,31
1642660325,38,36
1642662252,54,48
1642664188,46,37
1642666086,51,34
1642668029,47,48
1642669928,43,37
1642672111,39,38
1642675926,41,85
1642677870,49,36
1642679765,47,47
1642681706,40,48
1642683610,39,50
1642685524,41,37
1642687469,34,31
1642689370,39,47
1642691547,34,35
1642693448,29,33
1642697767,29,73
1642699710,32,36
1642701623,32,30
1642703768,34,28
1642705952,37,35
1642707869,37,38
1642709765,33,41
1642711926,37,37
1642713847,36,41
1642715786,36,33
1642717933,39,32
1642720088,23,41
1642722272,35,0
1642724168,40,28
1642726108,31,36
1642728004,40,43
1642730166,35,35
1642732109,28,36
1642734247,36,35
1642736191,43,33
1642738087,26,41
1642740246,34,35
1642742187,36,38
1642744087,38,45
1642746004,49,35
1642747950,48,34
1642749848,43,53
1642751787,40,47
1642753684,45,52
1642755626,43,47
1642757525,50,45
1642759687,47,41
1642761846,39,0
1642763788,48,39
1642765929,54,44
1642767848,43,48
1642769786,42,49
1642771686,43,32
1642773607,35,29
1642775547,37,40
1642777448,32,39
1642779388,38,36
1642781284,35,28
1642783446,40,0
1642785368,35,25
1642787309,40,25
1642789206,43,31
1642791366,38,31
1642793306,32,38
1642795453,39,31
1642797388,49,35
1642799300,32,42
1642801228,41,38
1642803129,35,35
1642805045,39,38
1642806993,43,35
1642808886,28,36
1642811052,33,37
1642812987,30,27
1642814892,38,41
1642816828,37,39
1642818732,39,26
1642820647,28,0
1642824724,36,105
1642826668,34,39
1642828572,36,0
1642830746,35,78
1642834807,43,89
1642836763,49,38
1642838671,31,36
1642840567,42,36
1642842732,41,44
1642844669,35,45
1642848729,45,83
1642850670,45,47
1642852567,37,49
1642854729,44,44
1642856891,41,42
1642860724,38,94
1642862671,42,40
1642864566,39,28
1642866726,38,32
1642868647,41,40
1642870588,32,36
1642872487,33,45
1642874648,22,46
1642876590,28,43
1642878489,33,41
1642880646,39,32
1642882566,36,37
1642884509,33,38
1642886405,41,33
1642888568,39,43
1642890508,32,47
1642894324,29,75
1642898168,33,71
1642900107,21,33
1642902004,33,47
1642904171,35,37
1642906109,33,28
1642908004,31,34
1642909924,37,0
1642911868,25,29
1642913765,22,39
1642915930,36,38
1642917871,22,32
1642919770,38,0
1642921949,34,40
1642923847,45,53
1642926009,46,34
1642927951,42,39
1642929848,43,38
1642931790,34,37
1642933688,35,0
1642935633,37,45
1642937524,37,40
1642939451,42,39
1642941388,44,43
1642943287,41,0
1642945449,27,36
1642947606,30,39
1642949524,36,42
1642951470,45,34
1642953366,30,38
1642955311,32,39
1642957206,40,33
1642959369,43,41
1642961530,34,29
1642963689,50,26
1642965630,38,33
1642967550,38,35
1642969470,33,30
1642971368,37,32
1642975207,35,69
1642977148,36,40
1642979058,23,0
1642980990,29,36
1642983126,35,0
1642985044,35,30
1642986988,31,35
1642988884,27,27
1642990804,30,35
1642992746,37,23
1642994668,34,28
1642996588,36,33
1642998486,35,26
1643000650,31,27
1643002807,29,25
1643004725,43,32
1643006670,40,38
1643008824,46,35
1643010751,34,40
1643014589,38,79
1643016725,44,46
1643018886,40,37
1643021045,39,35
1643022991,35,37
