DateTime,Entries,UniqueIPs
1641974166,8461,8793
1641976086,8467,8799
1641978026,8469,8801
1641980169,8467,8798
1641982350,8473,8804
1641984247,8486,8816
1641986164,8502,8831
1641988351,8508,8837
1641990246,8519,8849
1641992164,8525,8850
1641994351,8534,8858
1641996245,8524,8846
1641998433,8529,8850
1642000348,8533,8855
1642004406,8509,8831
1642006346,8505,8826
1642008268,8520,8838
1642010166,8516,8834
1642012107,8528,8845
1642014014,8530,8848
1642015926,8526,8844
1642017870,8532,8850
1642019769,8528,8849
1642021924,8539,8860
1642023846,8541,8865
1642025791,8538,8861
1642027684,8537,8861
1642029848,8537,8862
1642031786,8555,8880
1642033926,8551,8876
1642036093,8553,8879
1642038030,8556,8886
1642039927,8559,8890
1642042088,8550,8883
1642045929,8534,8871
1642047843,8534,8869
1642049792,8538,8873
1642051685,8560,8896
1642053853,8543,8879
1642056011,8541,8877
1642057952,8534,8870
1642059849,8535,8870
1642061794,8558,8893
1642063688,8560,8891
1642065629,8581,8914
1642069451,8551,8881
1642071365,8554,8884
1642073534,8559,8890
1642075470,8559,8892
1642077373,8545,8878
1642079284,8573,8909
1642081233,8569,8903
1642085291,8537,8869
1642087445,8536,8868
1642089399,8527,8860
1642091283,8532,8866
1642093448,8533,8867
1642095634,8530,8864
1642099468,8515,8848
1642101366,8497,8831
1642103524,8502,8838
1642105447,8503,8839
1642107386,8505,8841
1642109285,8505,8841
1642111452,8512,8848
1642113390,8506,8842
1642115287,8525,8861
1642117204,8528,8865
1642119125,8546,8883
1642121286,8549,8884
1642123446,8545,8880
1642125365,8546,8883
1642127306,8546,8883
1642129215,8547,8885
1642131148,8545,8883
1642134968,8533,8870
1642136906,8540,8878
1642138804,8546,8884
1642140968,8552,8890
1642142906,8556,8894
1642144824,8554,8892
1642146967,8555,8893
1642149127,8554,8889
1642151052,8549,8885
1642152987,8549,8886
1642154889,8544,8881
1642156805,8550,8888
1642158751,8553,8890
1642160645,8552,8888
1642162571,8568,8898
1642164505,8561,8891
1642166410,8557,8885
1642168568,8552,8879
1642170729,8541,8867
1642172887,8533,8859
1642174831,8534,8858
1642176726,8535,8858
1642178648,8546,8869
1642180586,8538,8857
1642182488,8535,8853
1642184648,8529,8848
1642186565,8522,8841
1642188508,8516,8835
1642190413,8516,8836
1642192569,8511,8834
1642194507,8514,8836
1642196409,8514,8837
1642198568,8504,8827
1642200507,8526,8850
1642202404,8538,8863
1642204568,8541,8866
1642206507,8518,8843
1642210567,8515,8838
1642212506,8494,8813
1642214412,8482,8800
1642218726,8473,8792
1642220892,8476,8795
1642222805,8488,8803
1642224751,8481,8795
1642226649,8499,8815
1642228813,8511,8827
1642230727,8528,8845
1642232670,8520,8838
1642236488,8488,8808
1642238669,8492,8812
1642240570,8507,8827
1642242730,8503,8823
1642244647,8507,8830
1642246591,8512,8834
1642248485,8515,8834
1642250648,8521,8840
1642252811,8528,8847
1642254724,8536,8854
1642256677,8543,8861
1642258568,8540,8859
1642260507,8550,8868
1642262413,8542,8860
1642264328,8523,8839
1642266267,8520,8835
1642268168,8517,8834
1642270325,8519,8839
1642272245,8521,8841
1642274188,8520,8840
1642276086,8525,8843
1642278247,8522,8838
1642280163,8523,8837
1642282105,8515,8829
1642284011,8505,8820
1642286169,8507,8823
1642288106,8503,8821
1642290010,8506,8825
1642291946,8519,8837
1642293847,8527,8842
1642295788,8513,8827
1642297686,8511,8823
1642299848,8512,8823
1642301787,8521,8832
1642303927,8526,8835
1642305846,8522,8831
1642307787,8517,8827
1642309688,8518,8825
1642311627,8506,8814
1642313525,8530,8838
1642315446,8553,8862
1642319284,8526,8832
1642321445,8524,8827
1642323387,8511,8810
1642325529,8497,8792
1642327470,8499,8795
1642331527,8467,8765
1642333446,8458,8756
1642335388,8464,8762
1642337285,8456,8755
1642341146,8452,8751
1642343047,8454,8754
1642344986,8456,8755
1642346886,8447,8747
1642350724,8430,8728
1642352892,8418,8716
1642355048,8412,8712
1642357012,8419,8722
1642358884,8434,8737
1642361044,8441,8745
1642362966,8447,8750
1642364906,8450,8752
1642366806,8466,8770
1642368968,8458,8762
1642371123,8453,8755
1642373049,8445,8745
1642374986,8453,8752
1642376888,8445,8747
1642378826,8428,8731
1642380728,8424,8725
1642382646,8419,8720
1642384589,8421,8722
1642386487,8410,8711
1642388649,8406,8705
1642390809,8408,8706
1642392748,8394,8691
1642394648,8400,8699
1642398506,8369,8667
1642400409,8372,8665
1642402324,8377,8670
1642404270,8378,8674
1642406164,8376,8673
1642408327,8367,8666
1642410247,8366,8667
1642412194,8388,8689
1642414084,8386,8688
1642416248,8387,8689
1642418163,8381,8682
1642420110,8387,8688
1642422004,8391,8692
1642424170,8388,8689
1642426108,8380,8681
1642428042,8387,8687
1642432327,8355,8655
1642434246,8357,8657
1642436191,8361,8662
1642438084,8346,8647
1642440248,8363,8665
1642442191,8371,8673
1642444112,8377,8677
1642446033,8384,8682
1642447925,8387,8684
1642450088,8379,8675
1642452031,8373,8667
1642453930,8367,8661
1642455846,8362,8656
1642457788,8376,8671
1642459687,8375,8670
1642461607,8376,8670
1642463548,8385,8682
1642465449,8392,8686
1642467366,8395,8689
1642469310,8393,8688
1642471207,8387,8682
1642473127,8394,8689
1642475071,8392,8687
1642476969,8387,8682
1642479126,8383,8677
1642481288,8387,8680
1642483209,8383,8677
1642485146,8389,8683
1642487046,8395,8687
1642488966,8396,8690
1642490907,8417,8712
1642492806,8422,8717
1642494725,8419,8713
1642496669,8419,8714
1642498568,8420,8713
1642500506,8412,8706
1642504567,8386,8680
1642506484,8381,8675
1642508428,8374,8667
1642510329,8373,8665
1642514190,8336,8628
1642516347,8326,8617
1642518247,8326,8617
1642520409,8317,8607
1642522567,8330,8620
1642524506,8324,8614
1642526405,8323,8616
1642528324,8319,8612
1642530268,8320,8614
1642532166,8317,8609
1642534106,8316,8609
1642536014,8316,8611
1642538170,8320,8614
1642540325,8314,8610
1642542487,8327,8624
1642544407,8328,8624
1642546566,8327,8622
1642548730,8326,8624
1642550891,8314,8612
1642552828,8317,8615
1642558593,8303,8600
1642560488,8311,8611
1642562650,8312,8612
1642564823,8306,8605
1642566747,8304,8607
1642568652,8308,8612
1642570586,8307,8611
1642572488,8307,8611
1642574430,8316,8623
1642576324,8321,8625
1642578246,8312,8617
1642580187,8319,8626
1642582089,8321,8628
1642584246,8315,8623
1642586405,8323,8632
1642588324,8332,8642
1642590270,8332,8642
1642592170,8333,8645
1642594326,8331,8643
1642596246,8334,8649
1642598186,8334,8644
1642600087,8328,8638
1642602027,8331,8642
1642603928,8336,8646
1642605845,8338,8645
1642607787,8355,8663
1642609684,8347,8656
1642611604,8344,8652
1642613546,8338,8643
1642615446,8319,8622
1642617610,8315,8618
1642619766,8311,8614
1642621706,8315,8616
1642623607,8322,8623
1642625766,8335,8636
1642627925,8322,8624
1642630087,8311,8610
1642632271,8305,8603
1642636325,8289,8586
1642638488,8290,8589
1642640655,8294,8594
1642642591,8292,8592
1642644487,8302,8602
1642646648,8293,8594
1642648586,8297,8599
1642650487,8317,8621
1642652648,8298,8601
1642654586,8318,8622
1642656488,8300,8603
1642658439,8321,8624
1642660325,8324,8626
1642662252,8331,8633
1642664188,8333,8637
1642666086,8339,8642
1642668029,8346,8649
1642669928,8347,8651
1642672111,8348,8651
1642675926,8354,8653
1642677870,8354,8651
1642679765,8357,8655
1642681706,8347,8646
1642683610,8338,8637
1642685524,8330,8625
1642687469,8331,8625
1642689370,8355,8650
1642691547,8348,8645
1642693448,8343,8638
1642697767,8311,8606
1642699710,8309,8605
1642701623,8308,8605
1642703768,8322,8620
1642705952,8321,8621
1642707869,8321,8623
1642709765,8311,8613
1642711926,8317,8618
1642713847,8317,8617
1642715786,8316,8617
1642717933,8325,8628
1642720088,8303,8605
1642722272,8305,8608
1642724168,8315,8618
1642726108,8315,8619
1642728004,8338,8643
1642730166,8325,8627
1642732109,8321,8624
1642734247,8330,8632
1642736191,8337,8641
1642738087,8351,8655
1642740246,8354,8657
1642742187,8352,8655
1642744087,8355,8658
1642746004,8351,8654
1642747950,8353,8659
1642749848,8364,8668
1642751787,8357,8661
1642753684,8388,8693
1642755626,8385,8689
1642757525,8384,8690
1642759687,8380,8689
1642761846,8337,8646
1642763788,8331,8643
1642765929,8347,8661
1642767848,8348,8663
1642769786,8340,8657
1642771686,8344,8661
1642773607,8344,8661
1642775547,8346,8662
1642777448,8359,8679
1642779388,8356,8676
1642781284,8353,8672
1642783446,8352,8672
1642785368,8347,8665
1642787309,8343,8661
1642789206,8372,8690
1642791366,8351,8669
1642793306,8377,8695
1642795453,8372,8692
1642797388,8384,8706
1642799300,8402,8725
