DateTime,AddedIPs,RemovedIPs
1641974166,71,68
1641976086,68,72
1641978026,64,67
1641980169,63,63
1641982350,57,67
1641984247,70,52
1641986164,73,75
1641988351,64,69
1641990246,55,66
1641992164,64,55
1641994351,72,63
1641996245,61,74
1641998433,66,60
1642000348,66,65
1642004406,59,65
1642006346,62,57
1642008268,66,65
1642010166,59,66
1642012107,71,60
1642014014,58,69
1642015926,60,60
1642017870,59,52
1642019769,62,65
1642021924,60,62
1642023846,64,61
1642025791,68,63
1642027684,63,69
1642029848,62,59
1642031786,63,62
1642033926,62,67
1642036093,54,49
1642038030,63,65
1642039927,62,61
1642042088,60,61
1642045929,59,60
1642047843,63,62
1642049792,50,64
1642051685,60,50
1642053853,61,62
1642056011,61,57
1642057952,64,67
1642059849,75,61
1642061794,62,75
1642063688,62,61
1642065629,68,61
1642069451,71,72
1642071365,61,66
1642073534,61,64
1642075470,67,59
1642077373,67,71
1642079284,62,66
1642081233,59,62
1642085291,66,58
1642087445,66,65
1642089399,58,68
1642091283,68,55
1642093448,65,71
1642095634,56,59
1642099468,68,62
1642101366,55,69
1642103524,67,53
1642105447,59,65
1642107386,66,60
1642109285,64,66
1642111452,67,62
1642113390,62,69
1642115287,56,54
1642117204,64,61
1642119125,60,65
1642121286,63,63
1642123446,62,60
1642125365,57,63
1642127306,64,58
1642129215,57,64
1642131148,65,56
1642134968,58,66
1642136906,63,58
1642138804,59,60
1642140968,76,64
1642142906,72,75
1642144824,63,71
1642146967,68,65
1642149127,62,69
1642151052,75,63
1642152987,67,68
1642154889,58,69
1642156805,72,60
1642158751,65,72
1642160645,63,66
1642162571,69,62
1642164505,60,69
1642166410,67,62
1642168568,70,66
1642170729,66,68
1642172887,65,68
1642174831,61,63
1642176726,61,60
1642178648,62,59
1642180586,65,64
1642182488,58,60
1642184648,54,57
1642186565,54,62
1642188508,44,51
1642190413,57,46
1642192569,57,55
1642194507,66,59
1642196409,68,63
1642198568,58,69
1642200507,70,61
1642202404,73,69
1642204568,59,71
1642206507,70,63
1642210567,64,70
1642212506,52,55
1642214412,58,53
1642218726,58,63
1642220892,59,62
1642222805,71,59
1642224751,68,70
1642226649,55,53
1642228813,77,70
1642230727,59,75
1642232670,67,61
1642236488,66,66
1642238669,60,63
1642240570,64,63
1642242730,67,63
1642244647,68,70
1642246591,68,67
1642248485,63,68
1642250648,61,60
1642252811,60,63
1642254724,73,62
1642256677,72,73
1642258568,71,69
1642260507,75,74
1642262413,61,72
1642264328,56,61
1642266267,63,54
1642268168,63,65
1642270325,65,62
1642272245,61,62
1642274188,52,64
1642276086,57,52
1642278247,53,56
1642280163,50,53
1642282105,58,51
1642284011,59,56
1642286169,58,59
1642288106,49,46
1642290010,55,61
1642291946,64,52
1642293847,63,67
1642295788,55,64
1642297686,60,57
1642299848,63,60
1642301787,66,61
1642303927,57,64
1642305846,52,45
1642307787,58,64
1642309688,51,53
1642311627,60,60
1642313525,68,59
1642315446,67,68
1642319284,63,65
1642321445,68,67
1642323387,73,70
1642325529,66,69
1642327470,63,67
1642331527,68,65
1642333446,57,67
1642335388,70,55
1642337285,64,73
1642341146,64,61
1642343047,60,66
1642344986,66,59
1642346886,58,65
1642350724,63,60
1642352892,51,61
1642355048,60,53
1642357012,71,60
1642358884,54,69
1642361044,66,53
1642362966,56,64
1642364906,64,58
1642366806,66,67
1642368968,59,63
1642371123,64,57
1642373049,61,66
1642374986,67,64
1642376888,64,66
1642378826,61,64
1642380728,59,56
1642382646,69,62
1642384589,60,64
1642386487,51,66
1642388649,57,46
1642390809,57,63
1642392748,55,58
1642394648,61,53
1642398506,54,60
1642400409,58,56
1642402324,66,60
1642404270,63,63
1642406164,66,63
1642408327,64,68
1642410247,69,64
1642412194,54,69
1642414084,65,53
1642416248,69,65
1642418163,59,68
1642420110,63,60
1642422004,59,62
1642424170,61,61
1642426108,62,61
1642428042,67,61
1642432327,56,66
1642434246,61,58
1642436191,60,63
1642438084,56,57
1642440248,57,56
1642442191,71,57
1642444112,57,72
1642446033,65,59
1642447925,59,62
1642450088,53,50
1642452031,55,58
1642453930,59,56
1642455846,72,62
1642457788,64,73
1642459687,54,63
1642461607,64,55
1642463548,62,64
1642465449,60,61
1642467366,62,62
1642469310,67,59
1642471207,63,68
1642473127,63,62
1642475071,45,51
1642476969,59,54
1642479126,58,62
1642481288,54,54
1642483209,52,55
1642485146,48,52
1642487046,47,53
1642488966,70,45
1642490907,64,70
1642492806,72,66
1642494725,74,74
1642496669,70,73
1642498568,64,68
1642500506,63,65
1642504567,59,61
1642506484,72,60
1642508428,57,73
1642510329,68,52
1642514190,58,69
