DateTime,AddedIPs,RemovedIPs
1606495933,500,500
1606496482,405,380
1606586888,498,500
1606587373,484,439
1606678401,784,994
1606769290,824,987
1606848488,896,975
1606882355,843,2
1606973291,905,836
1606975452,939,3
1607065956,810,858
1607157366,568,919
1607248334,836,975
1607339053,875,792
1607429559,994,828
1607520487,500,855
1607520966,449,879
1607611928,822,1833
1607703612,848,822
1607794573,895,567
1607885804,830,829
1607976786,911,879
1608068194,999,993
1608160098,883,941
1608250568,885,829
1608341289,935,834
1608432516,836,866
1608523238,890,837
1608614444,912,904
1608705853,893,1005
1608797290,938,879
1608888492,864,889
1608979691,943,930
1609070695,912,830
1609161399,849,911
1609252331,894,915
1609343808,841,917
1609435225,819,936
1609526413,759,866
1609617365,822,929
1609708339,776,907
1609798651,982,837
1609889770,836,867
1609980731,804,775
1610071695,717,797
1610163129,799,753
1610253416,738,804
1610345334,846,794
1610436732,877,957
1610527953,677,848
1610619369,776,836
1610711768,821,758
1610802972,995,842
1610894410,801,741
1610986334,821,841
1611078046,827,897
1611169030,940,677
1611260410,786,794
1611351918,805,833
1611443528,799,982
1611534735,790,797
1611627166,815,807
1611719054,797,800
1611810972,787,918
1611902430,748,766
1611993654,791,789
1612084650,864,779
1612176295,744,761
1612267930,500,500
1612268460,311,310
1612358928,500,363
1612359369,478,442
1612451114,826,783
1612530258,795,776
1612621685,500,401
1612622209,300,398
1612713128,500,500
1612713391,320,336
1612804807,737,750
1612895929,913,810
1612987934,815,975
1613078926,843,816
1613170368,889,818
1613261567,836,840
1613352732,965,872
1613444171,850,760
1613535892,941,912
1613627572,838,793
1613718029,879,860
1613809707,875,881
1613901164,935,852
1613992849,889,965
1614084544,823,843
1614176219,929,944
1614267850,830,893
1614358859,853,862
1614450252,838,869
1614541690,801,943
1614634128,840,887
1614724601,941,845
1614816735,894,956
1614908440,857,845
1614999431,850,823
1615092282,867,834
1615186110,871,814
1615278731,845,847
1615370702,967,958
1615461376,446,918
1615553529,492,846
1615644970,443,848
1615735935,482,871
1615827856,477,907
1615918589,430,837
1616009307,450,981
1616100485,441,441
1616192171,438,482
1616283130,482,439
1616375058,409,479
1616466253,434,477
1616557687,442,426
1616616783,464,441
1616658252,471,3
1616662343,465,1
1616665224,420,4
1616667626,381,2
1616669065,430,6
1616671222,449,1
1616673387,383,5
1616675544,450,2
1616677705,455,2
1616679384,365,1
1616681542,432,11
1616683706,393,2
1616775609,454,415
1618055288,442,8204
1618329367,1407,1
1618420810,469,2
1618512010,421,4
1618603224,459,5
1618695128,435,465
1618787549,433,450
1618879210,470,437
1618971148,485,470
1619062327,431,459
1619154043,451,423
1619245210,434,467
1619335469,250,204
1619336651,222,237
1619427145,250,216
1619428114,227,205
1619519068,250,249
1619519527,233,223
1619610725,250,250
1619611236,214,226
1619702411,250,212
1619703386,232,223
1619794089,250,241
1619794859,224,214
1619886024,208,192
1619898005,250,250
1619977949,215,218
1619990407,250,250
1620069391,224,229
1620081630,250,250
1620160085,220,227
1620172334,250,250
1620252255,213,219
1620264008,250,250
1620343213,215,223
1620354989,250,250
1620435149,216,210
1620446186,250,250
1620527048,212,232
1620537608,250,250
1620618733,217,214
1620629309,250,250
1620710165,221,225
1620721458,250,250
1620802089,214,220
1620812903,250,250
1620893292,217,206
1620904810,250,250
1620984013,220,204
1620996739,250,250
1621075927,224,217
1621089370,250,250
1621168352,213,213
1621181553,250,250
1621259529,223,216
1621272727,250,250
1621350967,220,228
1621363712,250,250
1621455155,461,471
1621547054,459,472
1621640414,423,458
1621734036,400,478
1621826173,427,462
