DateTime,AddedIPs,RemovedIPs
1585690350,2,2
1585777449,1,1
1585864600,3,3
1585951711,1,1
1586038823,3,3
1586125932,2,2
1586213061,2,2
1586300172,1,1
1586387299,2,2
1586561542,1,1
1586648648,1,1
1586735778,1,1
1586822901,1,1
1586910009,5,5
1586997131,1,1
1587084247,2,2
1587171364,1,1
1587258492,1,1
1587345628,1,1
1587432731,1,1
1587519853,1,1
1587606966,1,1
1587694110,2,2
1587781217,2,2
1588042571,1,1
1588129703,1,1
1588217054,3,3
1588304179,2,2
1588391297,3,3
1588478411,3,3
1588565553,1,1
1588652661,3,3
1588739770,1,1
1588826896,3,3
1588914021,3,3
1589001141,1,1
1589088253,3,3
1589175379,1,1
1589262496,1,1
1589349609,2,2
1589436730,3,3
1589523853,1,1
1589610973,1,1
1589698341,2,2
1589785703,1,1
1589872807,1,1
1589959946,1,1
1590047069,1,1
1590134170,3,3
1590221296,2,2
1590308406,3,3
1590395541,3,3
1590482666,2,2
1590569781,2,2
1590656920,3,3
1590744022,2,2
1590831145,1,1
1590918251,2,2
1591005370,2,2
1591092512,4,4
1591179608,1,1
1591266734,4,4
1591353866,2,2
1591440967,1,1
1591528092,1,1
1591702350,1,1
1591789464,2,2
1591876582,1,1
1591963694,2,2
1592050822,1,1
1592137929,3,3
1592225071,1,1
1592312169,2,2
1592399289,2,2
1592486408,2,2
1592573550,3,3
1592660917,4,4
1592835134,1,1
1593096492,3,3
1593183859,1,1
1593270991,1,1
1593358090,2,2
1593706570,2,2
1593793720,1,1
1593880806,7,7
1593967926,2,2
1594055295,1,1
1594142437,4,4
1594229531,9,9
1594316651,2,2
1594403795,1,1
1594578008,1,1
1594665155,1,1
1594752248,1,1
1594839370,4,4
1594926521,2,2
1595013608,1,1
1595100726,1,1
1595187856,4,4
1595274965,1,1
1595362103,1,1
1595449217,1,20
1595536326,20,1
1595623455,1,1
1595710568,1,1
1595797729,1,1
1595884810,1,1
1595971932,1,1
1596059050,2,2
1596146168,3,3
1596320407,1,1
1596407629,1,1
1596494690,1,1
1596581797,1,20
1596669160,20,1
1596756247,2,2
1596843398,2,2
1596930518,1,1
1597104732,2,2
1597191880,1,1
1597453246,1,1
1597714595,3,3
1597801720,3,3
1597888818,1,1
1597975958,1,1
1598063047,1,1
1598324435,1,1
1598498671,1,1
1598585771,1,1
1598672912,2,2
1598847160,1,1
1598934274,1,1
1599282758,1,1
1599369879,1,1
1599544142,1,1
1599631484,1,1
1600067585,1,1
1600154655,1,1
1600328892,1,1
1600416013,1,1
1600590273,1,1
1600677366,1,1
1600764486,2,2
1600851643,6,6
1601025890,1,1
1601112965,1,1
1601287283,1,1
1601374336,1,1
1601461447,3,3
1601635936,1,1
1601984680,1,1
1602071768,1,1
1602158889,4,4
1602246035,1,1
1602333161,2,2
1602420253,1,1
1602594729,1,1
1602681878,2,2
1602769001,1,1
1602943220,2,2
1603030327,1,1
1603117448,1,1
1603204598,1,1
1603291933,1,1
1603466166,1,1
1603640436,1,1
1603727529,1,1
1603814653,1,1
1603901816,2,2
1603988884,2,2
1604076013,1,1
1604337400,3,3
1604424517,2,2
1604511607,1,1
1604598725,1,1
1604685850,2,2
1604772988,2,2
1605121481,2,2
1605208565,1,1
1605295730,1,1
1605469928,1,1
1605557056,1,1
1605731290,1,1
1605905528,3,3
1605992678,1,1
1606254014,2,2
1606341152,1,1
1606428276,1,1
1606515394,2,2
1606602510,1,1
1606776753,2,2
1606863857,3,3
1607299468,3,3
1607386570,2,2
1607561072,1,1
1607735289,1,1
1607822428,1,1
1607996678,2,2
1608083793,1,1
1608258006,1,1
1608345131,2,2
1608432250,1,1
1608519394,1,1
1608606524,2,2
1608693609,1,1
1608780725,3,3
1608867879,1,1
1609129209,1,1
1609216330,2,2
1609303452,1,1
1609477709,1,1
1609564808,1,1
1609826445,1,1
1609913560,2,2
1610000684,1,1
1610087768,1,1
1610174903,2,2
1610262053,3,3
1610436286,1,1
1610523410,1,1
1610610501,2,2
1610697661,1,1
1610784725,1,1
1611133224,1,1
1611307485,3,3
1611568822,1,1
1611655969,2,2
1611743074,1,1
1611917565,2,2
1612004731,1,1
1612091773,1,1
1612178910,1,1
1612266049,1,1
1612353178,1,1
1612701613,2,2
1612788796,1,1
1612875862,2,2
1612963215,2,2
1613050339,2,2
1613137490,1,1
1613224611,2,2
1613311698,1,1
1613398811,1,1
1613485937,2,2
1613573058,1,1
1613660240,2,2
1613921775,1,1
1614096107,5,5
1614183139,1,1
1614270254,1,1
1614357411,1,1
1614531870,3,3
1614618975,2,2
1614706150,3,3
1614793932,5,5
1614881302,2,2
1614968464,1,1
1615230406,1,1
1615317644,2,2
1615404731,1,1
1615491860,1,1
1615578973,1,1
1615666099,1,1
1615753210,1,1
1615840335,1,1
1616014570,1,1
1616101693,1,1
1616363311,1,1
1616450438,1,1
1616537546,2,2
1616624651,1,1
1616711792,1,1
1616798889,1,1
1617360288,6,6
1618079467,4,4
1618341517,7,7
1618428929,1,1
1618603880,2,2
1618691068,2,2
1618778195,2,2
1618865314,2,2
1618952464,2,2
1619213787,1,1
1619562268,1,1
1619649370,2,2
1619736506,3,3
1619823685,3,3
1619910746,1,1
1619997847,2,2
1620084969,3,3
1620172335,3,3
1620259476,3,3
1620346570,1,1
1620433934,2,2
1620695529,2,2
1620782655,4,4
1620869785,1,1
1620956892,6,6
1621044043,3,3
1621131398,3,3
1621218510,1,1
1621305606,1,1
1621392747,3,3
1621479857,1,1
1621567238,1,1
1621654337,14,14
1621741452,1,1
1621828565,1,1
1622177291,1,1
1622264449,1,1
1622351553,12,12
1622525799,1,1
1622700019,1,1
1622787134,1,1
1622874250,1,1
1623048753,2,2
1623135858,1,1
1623223236,1,1
1623397932,3,3
1623485072,1,1
1623572431,3,3
1623746893,2,2
1623834007,1,1
1623921129,1,1
1624008258,1,1
1624095386,1,1
1624182488,1,1
1624356749,1,1
1624443849,2,2
1624530970,2,2
1624792806,1,1
1625054434,1,1
1625141772,1,1
1625228910,2,2
1625316254,1,1
1625403367,1,1
1625490488,1,1
1625577626,1,1
1625664726,2,2
1625751851,2,2
1625926098,1,1
1626013206,1,1
1626100330,1,1
1626187459,1,1
1626274566,1,1
1626361947,2,2
1626536429,1,1
1626623546,1,1
1626798274,1,1
1626885615,2,2
1626972727,2,2
1627059731,2,2
1627233876,1,1
1627321014,1,1
1627408117,1,1
1627495489,2,2
1627669959,1,1
1627844215,1,1
1627931558,1,1
1628018681,1,1
1628105810,3,3
1628192934,2,2
1628280048,2,2
1628367157,1,1
1628454298,1,1
1628541414,1,1
1628715915,2,2
1628803002,2,2
1629064375,2,2
1629151495,1,1
1629238599,1,1
1629325718,1,1
1629412851,3,3
1629499954,4,4
1629587083,2,2
1629761330,1,1
1629848675,2,2
1629935797,1,1
1630023179,2,2
1630110283,2,2
1630371903,2,2
1630459020,1,1
1630720368,1,1
1630807502,1,1
1630894599,1,1
1630981864,1,1
1631069054,2,2
1631156171,1,1
1631243535,2,2
1631417774,3,3
1631505138,1,1
1631679386,4,4
1631766495,2,2
1631853633,4,4
1631940754,2,2
1632027866,2,2
1632114998,1,1
1632202113,2,2
1632376594,2,2
1632463939,1,1
1632551053,2,2
1632638421,1,1
1632725537,2,2
1632812667,1,1
1632900087,2,2
1632987136,2,2
1633074252,1,1
1633161371,1,1
1633335610,2,2
1633422975,2,2
1633597481,2,2
1633684577,1,1
1633771954,3,3
1633859052,1,1
1633946176,1,1
1634120653,3,3
1634207804,3,3
1634382254,1,1
1634469372,1,1
1634556518,1,1
1634643611,1,1
1634730731,1,1
1634817882,1,1
1634904987,2,2
1634992121,4,4
1635079240,2,2
1635166360,2,2
1635253696,2,2
1635341078,1,1
1635428202,2,2
1635515320,5,5
1635602419,2,2
1635689536,2,2
1635776661,1,1
1635864034,2,2
1635951130,3,3
1636038263,2,2
1636125435,1,1
1636212730,1,1
1636344007,1,1
1636431152,1,1
1636605377,1,1
1636692754,3,3
1636780091,3,3
1636867453,1,1
1636954602,2,2
1637041929,2,2
1637129076,8,8
1637216177,2,2
1637303292,0,20
1637390423,20,0
1637477529,1,1
1637564657,4,4
1637826253,1,1
