DateTime,AddedIPs,RemovedIPs
1601820040,431,341
1601911217,311,931
1602002413,477,500
1602093874,266,870
1602184805,288,627
1602276728,339,1172
1602367958,359,425
1602458887,440,437
1602549612,462,455
1602577451,438,0
1602668408,391,500
1602759852,382,337
1602850841,363,498
1602941532,388,354
1603032730,398,346
1603124170,417,385
1603215610,470,306
1603306333,399,325
1603398036,418,325
1603489447,440,298
1603580500,441,418
1603671610,375,432
1603762358,359,382
1603853527,362,335
1603944729,303,854
1604035953,304,362
1604127161,357,346
1604218355,465,368
1604309287,394,311
1604400249,338,319
1604491216,419,409
1604582408,325,340
1604674115,324,471
1604764570,350,265
1604855799,477,306
1604946258,375,334
1605037210,411,377
1605129397,329,419
1605219876,377,892
1605311557,384,407
1605402756,345,385
1605492971,453,378
1605584408,287,386
1605675370,406,415
1605766357,373,416
1605858249,321,461
1605949237,392,407
1606039930,473,427
1606130912,458,434
1606222330,455,431
1606314294,300,395
1606405703,265,339
1606496482,360,361
1606587373,466,337
1606678401,465,314
1606769290,357,369
1606848488,362,469
1606882355,471,0
1606973291,456,381
1606975452,412,0
1607065956,356,342
1607157366,476,403
1607248334,446,314
1607339053,286,317
1607429559,479,349
1607520966,416,470
1607611928,467,373
1607703612,355,400
1607794573,319,319
1607885804,412,385
1607976786,359,379
1608068194,493,359
1608160098,341,451
1608250568,330,300
1608341289,413,398
1608432516,326,372
1608523238,357,338
1608614444,363,395
1608705853,345,475
1608797290,489,455
1608888492,434,458
1608979691,399,292
1609070695,376,304
1609161399,456,378
1609252331,385,462
1609343808,282,467
1609435225,235,378
1609526413,296,818
1609617365,362,856
1609708339,238,360
1609798651,473,476
1609889770,292,448
1609980731,274,307
1610071695,274,479
1610163129,258,397
1610253416,391,466
1610345334,389,336
1610436732,337,300
1610527953,454,418
1610619369,389,366
1610711768,258,493
1610802972,472,333
1610894410,395,321
1610986334,455,397
1611078046,340,305
1611169030,397,360
1611260410,304,349
1611351918,272,353
1611443528,362,457
1611534735,295,436
1611627166,252,386
1611719054,410,386
1611810972,232,442
1611902430,179,372
1611993654,361,270
1612084650,311,241
1612176295,498,292
1612268460,254,338
1612359369,467,252
1612451114,252,440
1612530258,216,300
1612622209,240,313
1612713391,282,276
1612804807,390,272
1612895929,382,397
1612987934,367,382
1613078926,360,335
1613170368,422,499
1613261567,322,390
1613352732,433,263
1613444171,293,466
1613535892,414,381
1613627572,307,450
1613718029,425,339
1613809707,420,378
1613901164,413,277
1613992849,355,244
1614084544,367,350
1614176219,400,277
1614267850,415,242
1614358859,423,399
1614450252,399,230
1614541690,415,196
1614634128,403,371
1614724601,416,285
1614816735,396,500
1614908440,420,267
1614999431,411,456
1615092282,404,256
1615186110,403,280
1615278731,497,304
1615370702,428,321
1615461376,201,408
1615553529,211,395
1615644970,189,347
1615735935,192,349
1615827856,180,443
1615918589,209,356
1616009307,203,452
1616100485,204,305
1616192171,179,405
1616283130,200,385
1616375058,187,400
1616466253,186,401
1616557687,169,405
1616616783,167,328
1616658252,213,0
1616662343,197,0
1616665224,192,0
1616667626,211,0
1616669065,210,0
1616671222,173,0
1616673387,193,0
1616675544,191,0
1616677705,201,397
1616679384,198,0
1616681542,186,0
1616683706,207,0
1616775609,184,406
1618055288,164,5782
1618329367,630,617
1618420810,212,196
1618512010,186,209
1618603224,191,217
1618695128,215,205
1618787549,187,180
1618879210,206,205
1618971148,198,213
1619062327,198,200
1619154043,167,193
1619245210,205,149
1619336651,205,2498
1619428114,216,221
1619519527,217,0
1619611236,198,0
1619703386,212,0
1619794859,208,0
1619886024,175,0
1619977949,188,0
1620069391,208,0
1620160085,192,0
1620252255,186,0
1620343213,189,0
1620435149,196,0
1620527048,191,0
1620618733,191,0
1620710165,193,174
1620802089,184,200
1620893292,190,185
1620984013,189,195
1621075927,198,196
1621168352,179,180
1621259529,199,194
1621350967,201,220
1621455155,231,169
1621547054,175,202
1621640414,188,199
1621734036,207,196
1621826173,191,174
1621917852,180,181
1622010013,213,185
1622102414,204,204
1622196046,203,200
1622288176,211,198
1622381099,209,207
1622473936,212,187
1622565876,203,193
1622658734,208,186
1622750932,205,201
1622844989,201,392
1622938572,217,183
1623033151,206,201
1623128431,206,195
1623221792,223,194
1623315654,212,208
1623409961,200,192
1623502355,197,195
1623595961,201,192
1623688333,210,199
1623780020,188,180
1623872414,218,202
1623964826,199,201
1624057947,188,232
1624150823,211,187
1624242509,211,198
1624334678,213,211
1624426105,204,199
1624518731,209,191
1624610887,201,214
1624702585,204,212
1624794254,213,207
1624886413,235,213
1624977852,215,213
1625069300,231,205
1625161212,217,214
1625252191,202,208
1625311450,219,0
1625403621,219,204
1625495768,215,204
1625587461,224,200
1625679619,215,207
1625772489,209,215
1625864417,214,225
1625956087,191,201
1626047766,210,189
1626139213,210,201
1626230429,249,204
1626322358,186,201
1626414029,188,188
1626506411,215,234
1626598092,207,202
1626690028,214,206
1626782172,207,218
1626874330,202,211
1626967451,207,211
1627059149,203,206
1627151530,197,207
1627243474,186,204
1627335379,226,217
1627426839,215,205
1627518734,205,241
1627609711,194,222
1627701854,205,236
1627794751,207,213
1627887131,196,209
1627977874,217,205
1628069055,212,192
1628160726,206,221
1628252662,200,210
1628344568,221,217
1628436017,207,212
1628527932,233,205
1628619612,200,175
1628712277,202,212
1628803695,185,207
1628895880,175,249
1628988015,179,180
1629079463,193,198
1629170902,168,206
1629204743,184,208
1629208105,167,0
1629211454,185,0
1629214570,179,0
1629217948,200,0
1629220570,186,0
1629223458,205,0
1629226570,159,0
1629229466,150,0
1629232587,196,0
1629236187,132,0
1629239065,186,0
1629242409,131,0
1629245546,176,0
1629247448,183,0
1629249130,144,0
1629252501,149,0
1629255631,155,0
1629258967,138,0
1629350435,176,186
1629443531,200,192
1629536186,168,199
1629628089,168,197
1629719528,174,181
1629811467,248,184
1629903137,196,186
1629929543,189,205
1629988572,202,0
1630002267,188,0
1630015943,172,0
1630050252,250,206
1630051931,250,0
1630055785,250,0
1630073531,247,0
1630077631,1,0
1630095133,195,0
1630097297,172,0
1630111462,185,202
1630120342,175,0
1630129214,189,0
1630146975,248,0
1630153944,182,0
1630164990,165,0
1630178666,165,0
1630212748,184,182
1630218507,175,0
1630246570,189,0
1630296488,170,195
1630318333,171,0
1630340649,147,0
1630399712,165,198
1630401864,152,0
1630409788,127,0
1630489708,174,183
1630548736,155,0
1630590250,138,200
1630682655,171,192
1630774338,155,194
1630866251,165,183
1630957455,164,204
1631049372,143,191
1631140586,175,213
1631232730,151,152
1631323928,114,174
1631415619,185,140
1631508503,173,138
1631600650,188,169
1631692094,165,171
1631784010,191,135
1631875456,208,3037
1631967851,196,183
1632060507,178,196
1632152187,187,171
1632243386,216,174
1632335778,219,182
1632415448,195,248
1632507372,173,194
1632600518,185,555
1632692668,156,1537
1632772571,200,1309
1632776184,187,0
1632782665,158,0
1632789272,145,0
1632880814,208,592
1632973475,200,539
1633065631,156,504
1633158260,167,383
1633249718,192,158
1633341131,181,171
1633433286,201,177
1633525215,193,198
1633617398,192,196
1633708808,188,172
1633800976,189,185
1633892894,181,182
1633985052,162,167
1634077458,156,210
1634170118,165,193
1634262281,160,216
1634355874,202,177
1634447329,183,204
1634539957,200,215
1634631608,167,202
1634723555,181,190
1634814727,174,176
1634906191,187,219
1634998331,166,218
1635090039,201,185
1635182168,178,183
1635241964,1,168
1635269552,189,0
1635361949,203,158
1635454340,179,694
1635546969,159,204
1635638442,188,213
1635732008,159,163
1635823932,139,160
1635915272,178,193
1636007528,165,187
1636099955,171,201
1636193773,165,197
1636285449,175,182
1636378333,207,188
1636470974,183,197
1636563656,225,184
1636632259,202,178
1636724647,203,175
1636817535,191,168
1636910448,185,160
1637001848,177,202
1637093770,187,163
1637153054,191,203
1637244996,185,178
1637335461,172,192
1637427101,184,171
1637518596,169,184
1637610250,188,172
1637701951,175,219
1637794568,180,171
1637887452,181,188
1637979388,193,204
1638071558,177,189
1638163926,177,178
1638256328,180,188
1638348759,197,165
1638441155,189,189
1638533294,195,195
1638624972,181,193
1638716918,191,202
1638810036,191,201
1638901930,197,216
1638993876,197,231
1639086276,188,220
1639127796,1,0
1639177479,188,183
1639269852,197,157
1639360809,188,169
1639452730,207,163
1639544650,198,159
1639637050,199,164
1639728750,188,166
1639821136,180,182
1639913053,191,165
1640005240,191,165
1640098355,195,177
1640190253,186,168
1640259372,178,174
1640351583,202,175
1640443206,175,178
1640535126,161,178
1640627777,171,187
1640720655,159,188
1640763850,155,180
1640856520,170,184
1640948441,177,195
1641040829,173,203
1641133454,156,196
1641226335,181,178
1641237635,163,0
1641279883,154,0
1641297369,166,0
1641308434,131,0
1641400087,150,188
1641428651,137,191
1641520812,163,206
1641612008,144,200
1641703482,163,187
1641795154,175,175
1641887556,165,177
1641979221,176,189
1642071647,175,210
1642130651,171,0
1642222329,194,191
1642314249,163,182
1642406440,179,177
1642486594,170,167
1642579218,178,164
