DateTime,AddedIPs,RemovedIPs
1610264652,1,0
1610308323,3,0
1610352014,2,0
1610395684,3,0
1610439363,2,0
1610483044,2,0
1610526725,1,0
1610570404,1,0
1610614085,3,0
1610701444,1,0
1610745124,2,0
1610832487,1,0
1610963524,3,0
1611007213,21,0
1611051124,5,0
1611094804,4,0
1611138484,4,0
1611182163,4,0
1611269523,3,0
1611313214,3,0
1611400564,4,0
1611444245,21,0
1611487924,7,0
1611531605,2,0
1611575285,2,0
1611618963,1,0
1611662884,2,0
1611706804,2,0
1611750487,1,0
1611794163,2,0
1611882014,3,0
1611925924,2,0
1612013284,1,0
1612056964,1,0
1612144324,1,0
1612319284,4,0
1612362963,1,0
1612406643,2,0
1612494014,2,0
1612581363,2,0
1612668724,1,0
1612712405,1,0
1612756084,2,0
1612843444,1,0
1612887124,1,0
1613105523,2,0
1613149213,1,0
1613193124,1,0
1613280484,1,0
1613367846,2,0
1613411523,2,0
1613455685,1,0
1613499364,3,0
1613586725,4,0
1613761446,1,0
1613805125,2,0
1613848806,2,0
1613892484,2,0
1613936164,1,0
1613979843,2,0
1614023523,1,0
1614110884,1,0
1614198244,1,0
1614241923,1,0
1614285604,1,0
1614329284,2,0
1614372964,2,0
1614416644,2,0
1614460324,1,0
1614504003,1,0
1614547686,2,0
1614722414,2,0
1614766325,1,0
1614810004,3,0
1614897604,1,0
1614941523,2,0
1614985213,1,0
1615160884,2,0
1615204565,1,0
1615248244,1,0
1615423205,1,0
1615466884,2,0
1615510563,1,0
1615554485,1,0
1615641845,2,0
1615816564,1,0
1615860245,2,0
1615947603,1,0
1616034965,3,0
1616078644,1,0
1616122323,4,0
1616209686,1,0
1616253363,4,0
1616297044,1,0
1616384403,1,0
1616428083,8,0
1616471764,1,0
1616515686,1,0
1616559364,1,0
1616646725,1,0
1616756163,1,0
1616799844,2,0
1617360080,16,0
1617403923,1,0
1618341373,22,0
1618560484,5,0
1618604164,1,0
1618647844,2,0
1618691525,3,0
1618735203,1,0
1618778884,4,0
1618866727,2,0
1618910404,1,0
1618954084,1,0
1618997763,1,0
1619085124,1,0
1619128879,1,0
1619172725,2,0
1619216404,3,0
1619260084,2,0
1619303764,2,0
1619434828,3,0
1619478484,1,0
1619565844,2,0
1619609524,1,0
1619653204,2,0
1619696884,2,0
1619828164,1,0
1619871844,2,0
1619915523,1,0
1619959205,2,0
1620046564,1,0
1620133923,2,0
1620177603,2,0
1620264964,1,0
1620396243,1,0
1620439924,1,0
1620483603,1,0
1620527525,2,0
1620571204,1,0
1620615125,1,0
1620658814,1,0
1620702484,1,0
1620746164,1,0
1620789843,1,0
1620877204,1,0
1620964565,1,0
1621095604,2,0
1621139284,1,0
1621182964,5,0
1621226644,1,0
1621270323,1,0
1621314018,2,0
1621357684,4,0
1621445045,1,0
1621532404,2,0
1621619766,1,0
1621816804,1,0
1621904409,1,0
1621948085,1,0
1621991764,1,0
1622035445,2,0
1622079124,2,0
1622122804,1,0
1622166724,1,0
1622210482,1,0
1622254566,1,0
1622298244,2,0
1622429524,1,0
1622517125,1,0
1622560804,6,0
1622604485,1,0
1622735765,1,0
1622823125,4,0
1622910485,1,0
1622954165,1,0
1622997845,1,0
1623041764,1,0
1623085444,3,0
1623129366,1,0
1623173044,11,0
1623260404,7,0
1623304085,3,0
1623347764,2,0
1623391685,3,0
1623522964,2,0
1623566644,2,0
1623697684,1,0
1623785524,2,0
1623829204,1,0
1623872884,2,0
1624004163,4,0
1624048084,4,0
1624179124,1,0
1624222815,4,0
1624266483,1,0
1624310165,3,0
1624353843,2,0
1624441204,2,0
1624485124,2,0
1624572727,1,0
1624660086,1,0
1624703764,1,0
1624747444,3,0
1624791123,2,0
1624834814,3,0
1624922406,1,0
1625009764,1,0
1625053444,1,0
1625097364,2,0
1625184963,2,0
1625272324,2,0
1625359924,2,0
1625447526,1,0
1625491203,3,0
1625534884,2,0
1625578563,1,0
1625622243,2,0
1625709614,1,0
1625753524,1,0
1625884805,1,0
1625972164,1,0
1626015843,3,0
1626059524,2,0
1626103204,1,0
1626146883,1,0
1626234244,1,0
1626277923,3,0
1626321846,2,0
1626365524,1,0
1626409204,1,0
1626496563,1,0
1626540244,5,0
1626583927,1,0
1626803044,2,0
1626934325,2,0
1626978244,3,0
1627153214,2,0
1627240563,1,0
1627284244,1,0
1627327924,2,0
1627415526,1,0
1627459208,1,0
1627502884,1,0
1627677844,1,0
1627721524,1,0
1627765208,1,0
1627852804,2,0
1627896483,2,0
1627940163,3,0
1628027524,1,0
1628071444,4,0
1628115124,5,0
1628158803,3,0
1628246164,1,0
1628377213,2,0
1628464563,2,0
1628551923,2,0
1628595604,1,0
1628639283,2,0
1628682963,1,0
1628727123,3,0
1628771043,2,0
1628814724,2,0
1628858404,2,0
1628902083,1,0
1628945763,1,0
1628989444,1,0
1629164164,1,0
1629208083,4,0
1629251763,1,0
1629295444,2,0
1629339124,1,0
1629426725,1,0
1629470403,1,0
1629601444,1,0
1629645123,2,0
1629688804,1,0
1629732483,2,0
1629776164,1,0
1629819843,3,0
1629863523,1,0
1629907208,1,0
1629951124,3,0
1629994804,2,0
1630038724,2,0
1630126324,1,0
1630345204,3,0
1630388883,1,0
1630432564,3,0
1630476243,2,0
1630519924,2,0
1630563844,2,0
1630607525,1,0
1630694884,2,0
1630782245,1,0
1630825923,2,0
1630913284,1,0
1630956963,3,0
1631131924,1,0
1631175604,1,0
1631219283,2,0
1631262963,1,0
1631306644,1,0
1631350324,1,0
1631394003,1,0
1631481364,1,0
1631525044,1,0
1631590805,1,0
1631634484,3,0
1631678164,3,0
1631765524,4,0
1631809204,2,0
1631896564,1,0
1631940244,1,0
1631983923,1,0
1632027844,2,0
1632115443,1,0
1632159124,1,0
1632224644,1,0
1632355925,2,0
1632443284,1,0
1632486964,1,0
1632530643,1,0
1632574323,1,0
1632618008,1,0
1632661683,2,0
1632705603,2,0
1632793444,2,0
1632837125,1,0
1632924724,1,0
1632968404,1,0
1633012084,1,0
1633056003,2,0
1633143364,1,0
1633187043,2,0
1633230723,1,0
1633274404,1,0
1633318083,2,0
1633361763,1,0
1633405443,1,0
1633536723,1,0
1633624323,2,0
1633711924,1,0
1633799764,2,0
1633843444,1,0
1633887123,2,0
1633930804,4,0
1633974484,2,0
1634018163,1,0
1634149203,3,0
1634236563,1,0
1634280244,2,0
1634367843,1,0
1634455203,1,0
1634586243,4,0
1634629923,1,0
1634673604,1,0
1634760964,1,0
1634848324,1,0
1634892003,1,0
1634935688,1,0
1634979604,2,0
1635023284,3,0
1635066964,1,0
1635154564,1,0
1635198245,1,0
1635285604,1,0
1635372965,2,0
1635416644,2,0
1635460324,1,0
1635547923,2,0
1635635524,2,0
1635723123,2,0
1635766805,2,0
1635810484,1,0
1635854404,1,0
1635898324,2,0
1635942243,1,0
1635985923,2,0
1636073524,1,0
1636117204,1,0
1636161123,2,0
1636204804,2,0
1636248724,3,0
1636292403,2,0
1636336323,2,0
1636423923,5,0
1636511284,2,0
1636554963,1,0
1636598644,3,0
1636642323,3,0
1636686004,2,0
1636729923,5,0
1636773604,3,0
1636861204,2,0
1636904884,1,0
1636948563,2,0
1637035923,1,0
1637123283,1,0
1637166964,2,0
1637210644,2,0
1637254323,1,0
1637298244,2,0
1637385844,3,0
1637473447,2,0
1637517123,1,0
1637560804,6,0
1637604723,3,0
1637648404,1,0
1637692324,1,0
1637736003,1,0
1637779683,1,0
1637823364,1,0
1637867044,1,0
1637954404,1,0
1637998084,3,0
1638129363,1,0
1638173044,2,0
1638216723,3,0
1638260404,3,0
1638348003,1,0
1638391923,1,0
1638435602,1,0
1638566883,3,0
1638654483,1,0
1638785523,2,0
1638829203,2,0
1638873124,6,0
1638916804,1,0
1638960484,3,0
1639004163,4,0
1639047844,1,0
1639091524,2,0
1639135443,3,0
1639179364,2,0
1639310404,1,0
1639354084,1,0
1639397763,1,0
1639441443,3,0
1639485123,3,0
1639529043,2,0
1639660084,2,0
1639747443,2,0
1639791363,2,0
1639835043,1,0
1639878723,1,0
1639966083,2,0
1640009764,1,0
1640053444,2,0
1640097122,2,0
1640184483,2,0
1640228164,2,0
1640315523,1,0
1640359443,1,0
1640403123,1,0
1640446803,1,0
1640490483,3,0
1640534404,1,0
1640578083,2,0
1640621763,1,0
1640665443,1,0
1640753043,3,0
1640796724,4,0
1640840404,1,0
1640928243,1,0
1640971924,1,0
1641015603,1,0
1641059283,1,0
1641146884,3,0
1641190803,1,0
1641234483,1,0
1641321843,2,0
1641365523,2,0
1641409443,2,0
1641453364,1,0
1641497043,2,0
1641540724,1,0
1641628323,1,0
1641715683,3,0
1641759364,4,0
1641803043,1,0
1641846724,1,0
1641934084,2,0
1641977764,1,0
1642065123,1,0
1642108804,3,0
1642152723,3,0
1642240084,1,0
1642327924,1,0
1642371844,3,0
1642415524,3,0
1642459205,6,0
1642546804,4,0
1642590724,1,0
1642634404,5,0
1642678324,3,0
1642809604,1,0
1642853283,1,0
1642940643,1,0
