DateTime,AddedIPs,RemovedIPs
1614363626,1,0
1614407319,3,0
1614451213,2,0
1614494885,2,0
1614538628,1,0
1614582302,1,0
1614889586,4,0
1614933370,3,0
1614977080,2,0
1615020724,1,0
1615064983,1,0
1615108852,1,0
1615152766,4,0
1615196432,4,0
1615240087,2,0
1615283766,1,0
1615327459,1,0
1615371127,7,0
1615414837,7,0
1615458488,1,0
1615502200,1,0
1615545845,3,0
1615589525,1,0
1615633248,1,0
1615676886,3,0
1615720566,3,0
1615764248,2,0
1615807932,3,0
1615895286,1,0
1615938968,6,0
1615982669,2,0
1616026329,2,0
1616070487,2,0
1616114169,3,0
1616157850,2,0
1616201524,3,0
1616288890,2,0
1616332836,7,0
1616376487,1,0
1616420168,1,0
1616463863,1,0
1616507527,5,0
1616551266,4,0
1616595131,2,0
1616638805,1,0
1616682486,2,0
1616769846,2,0
1617360203,21,0
1617403928,2,0
1618210815,37,0
1618560494,16,0
1618604184,3,0
1618647852,2,0
1618691532,1,0
1618735220,1,0
1618778904,1,0
1618910425,3,0
1618997766,3,0
1619041448,2,0
1619085129,1,0
1619128902,3,0
1619172730,1,0
1619216409,2,0
1619260086,1,0
1619303783,2,0
1619347447,5,0
1619391141,2,0
1619434832,1,0
1619478504,2,0
1619522167,2,0
1619565864,3,0
1619609529,2,0
1619653219,2,0
1619696888,1,0
1619740571,3,0
1619828180,3,0
1619871851,1,0
1619915528,4,0
1619959224,1,0
1620090269,4,0
1620177606,1,0
1620221286,3,0
1620264970,1,0
1620308647,2,0
1620352571,2,0
1620483621,4,0
1620527549,1,0
1620658838,1,0
1620702495,5,0
1620746183,2,0
1620789846,2,0
1620833536,1,0
1620877211,2,0
1620920891,2,0
1620964568,3,0
1621051943,1,0
1621095611,1,0
1621139303,1,0
1621182988,3,0
1621226648,4,0
1621270328,1,0
1621314028,2,0
1621445052,4,0
1621488731,2,0
1621532426,3,0
1621619775,3,0
1621707151,5,0
1621750827,2,0
1621816342,5,0
1621860011,3,0
1621903702,1,1595
1621947390,1,0
1621991301,1,0
1622034986,1,0
1622078664,3,0
1622209701,4,0
1622253372,3,0
1622297056,1,0
