DateTime,Entries,UniqueIPs
1566636243,11339,170805
1566723364,11528,171507
1566810484,11611,172100
1566897614,11859,173115
1566984723,11828,173084
1567071843,11944,173966
1567159214,12022,174044
1567333444,11991,239037
1567420562,12157,305752
1567507732,12221,306580
1567594812,12472,308619
1567681923,12555,308957
1567769043,12628,308776
1567856163,12568,373996
1567943283,12652,374848
1568030644,12706,374902
1568117762,12789,375495
1568204884,12856,376327
1568292004,12843,376314
1568379123,12940,376923
1568466485,12927,376910
1568553845,12919,376647
1568641204,12885,376613
1568728563,13108,377601
1568815686,13139,378143
1568902803,13088,377836
1568989923,13249,379018
1569077061,13234,379003
1569164408,13230,378999
1569251524,13223,378992
1569338643,13519,381589
1569425772,13579,383181
1569512887,13572,383174
1569600009,13686,383670
1569687126,13675,383659
1569774244,13661,383390
1569861610,13826,384072
1569948726,13788,449569
1570036088,13847,449883
1570210326,13808,449334
1570297446,13803,449329
1570384809,13796,449322
1570471927,13787,449313
1570559048,13782,449308
1570646165,13778,449303
1570733309,13775,449300
1570820657,13972,450264
1570907765,13967,450259
1570995126,13956,450248
1571082246,13947,450239
1571169367,10789,568262
1571256488,11021,570281
1571343604,11101,570873
1571430726,11138,570400
1571517845,11215,570987
1571605215,11202,570973
1571692567,2824,347559
1571779691,3127,351181
1571866805,3342,352416
1571953925,3497,353081
1572041045,3478,353318
1572128405,3628,353980
1572215526,3762,354624
1572302654,3826,354307
1572389768,3947,354430
1572564246,4174,357203
1572651367,4276,357050
1572738725,4338,357878
1572826088,4332,357871
1572913205,4597,359156
1573000327,4914,360495
1573087445,5115,360952
1573174565,5246,361083
1573261927,5422,362274
1573349045,5419,362271
1573436167,5414,362266
1573523286,5504,362865
1573610410,5729,363600
1573697530,5649,363010
1573784885,5619,362979
1573872008,5406,231689
1573959126,5251,230766
1574046487,5223,230738
1574133606,5220,231500
1574220732,5525,233590
1574307849,5521,233839
1574438885,5648,234221
1574526003,5710,234539
1574613125,5648,233967
1574700247,5805,234124
1574787608,5876,233955
1574874725,5893,233717
1574962084,5865,234199
1575049205,5914,234503
1575136326,5957,234801
1575223473,5753,167783
1575310562,5793,168078
1575397682,5862,168658
1575484802,5949,169255
1575571922,5800,168596
1575659284,5753,168804
1575746403,5699,168749
1575833523,5626,168675
1575920643,5639,168942
1576007762,5631,168934
1576094884,5630,168933
1576182003,5560,170393
1576269123,5528,170873
1576356242,5505,170850
1576443362,5536,170881
1576530485,5435,169758
1576617603,5419,169494
1576704963,5446,169521
1576792083,5461,170556
1576879216,5330,169150
1576966322,5277,168842
1577053441,5235,168290
1577140562,5116,168171
1577227682,5028,167827
1577314804,5025,167824
1577402162,5074,169022
1577489283,5150,169098
1577576643,5664,170632
1577663763,5644,170612
1577750883,5578,170291
1577838003,5545,104723
1577925121,5544,104722
1578012243,5482,104660
1578099363,5421,104344
1578186484,5416,104084
1578273605,5406,104074
1578360722,5718,105153
1578447843,6036,106746
1578534962,6436,109444
1578622084,6651,109914
1578709202,6896,111181
1578883443,6866,109619
1578970562,6972,109470
1579057695,7206,111747
1579144802,7558,113374
1579231924,7815,114139
1579319043,7867,179720
1579406163,8194,180812
1579493284,8274,180892
1579580402,8343,114086
1579667523,8195,111898
1579754643,8269,111718
1579841762,8302,111751
1579929124,8254,108890
1580016242,8246,109900
1580103362,8022,108785
1580190482,7817,108580
1580277606,7956,109230
1580364722,7820,107564
1580452083,7883,108392
1580539202,7863,107607
1580626323,8175,109196
1580713444,8056,305941
1580800562,7870,304735
1580887683,7995,306391
1580974802,7995,306902
1581061924,7924,306831
1581149044,7865,306771
1581236162,7733,306766
1581323284,7711,306744
1581410402,7682,306974
1581497522,7745,307037
1581584643,7781,307583
1581671762,7652,306426
1581758883,7543,306827
1581846002,7398,307193
1581933122,7444,307494
1582020484,6973,568656
1582107607,6941,569134
1582194723,6868,569826
1582281842,6728,569685
1582368962,6660,569871
1582456084,6582,570047
1582543202,6456,569921
1582630323,6318,568747
1582717443,6243,568416
1582804562,6065,567473
1582891684,5976,569948
1582978813,5868,569330
1583065922,5794,568746
1583153042,5737,568178
1583240162,5494,566658
1583327284,5381,565525
1583414402,5376,565265
1583501522,5202,564068
1583588642,5078,563434
1583675762,5003,563104
1583762882,4881,562216
1583850002,4816,561895
1583937123,4836,561915
1584024243,4671,561239
1584111363,4656,561989
1584198482,4884,562729
1584285602,4965,563575
1584372723,5373,566283
1584459842,5344,565744
1584546963,5743,567928
1592989442,14355,631321
1593076562,14395,631107
1593163683,14585,630533
1593250802,14596,696333
1593337923,14703,696441
1593425043,14798,696537
1593512163,14948,699246
1593599282,15125,699428
1593686404,15292,699596
1593773597,15288,700103
1593860883,15058,962015
1593948002,15072,961775
1594035122,15125,961828
1594122242,15125,962599
1594209363,15233,962708
1594296484,5668,344907
1594383603,6857,346104
1594470722,7176,347700
1594557842,7792,348318
1594644962,8130,479984
1594732324,8486,481104
1594819443,8558,546195
1594906562,8769,546408
1594993682,8924,547329
1595080803,9124,547530
1595167923,9172,547021
1595255042,9496,548109
1595385842,9911,548528
1595472962,9970,613614
1595560323,9926,609728
1595647443,10035,609834
1595734563,9971,609515
1595821684,9936,609479
1595908802,9941,543952
1595995922,10085,544353
1596083044,10073,610126
1596170162,9872,609160
1596257282,9855,609143
1596344411,9863,609150
1596431522,9893,609180
1596518642,9901,674979
1596605762,9869,674946
1596692883,9838,674660
1596780005,9844,674665
1596867122,9842,674666
1596954242,9531,674604
1597041363,9287,673337
1597128482,9077,672873
1597215610,8976,673027
1597302722,8889,672685
1597389843,8893,673485
1597476962,8813,673404
1597564082,8723,673315
1597651204,8980,673320
1597738322,9093,673433
1597825442,9273,673628
1597912563,9416,673771
1597999682,9546,674158
1598086810,9615,674482
1598173925,9741,674864
1598261042,9680,674547
1598348162,9847,674719
1598435764,9947,674805
1598522883,9940,674797
1598610002,9950,674823
1598697604,10050,675179
1598828410,10170,675299
1598915523,10216,675345
1599002680,10166,676057
1599089762,10093,675985
1599176884,10037,676186
1599264009,10029,676940
1599351123,9994,676906
1599438242,10090,676749
1599525362,10196,677622
1599612484,10215,677134
1599699842,10165,676569
1599786963,10197,676602
1599874083,10195,676345
1599961208,10194,675833
1600048337,10250,675887
1600135683,10336,676233
1600222804,10406,676046
1600309949,10387,676282
1600397043,10448,676214
1600484162,10452,676218
1600571282,10506,676271
1600658402,10629,677161
1600745522,10654,676166
1600832642,10775,676032
1600919762,10749,676006
1601007123,10674,675674
1601094242,10687,675564
1601181605,10615,675998
1601268723,10770,675628
1601356324,10798,675912
1601443442,10654,675769
1601530803,10622,675865
1601617922,10549,413645
1601705042,10885,413734
1601792162,10776,413624
1601879283,10767,413358
1601966402,10785,412864
1602053522,10878,413212
1602140643,10511,412843
1602227763,10307,412641
1602314882,10015,413368
1602402005,10002,413357
1602489122,10020,413643
1602576244,10157,413271
1602707044,10335,413448
1611149282,12477,679399
1611236402,12479,548585
1611323524,12596,548701
1611410642,12681,548280
1611497763,12575,548173
1611584883,12280,744229
1611672002,12257,743951
1611759124,12152,743336
1611846242,12119,743302
1611933362,12079,743260
1612020724,11956,743137
1612107843,11939,677585
1612194963,11926,743106
1612282082,11920,743103
1612369443,11990,743175
1612456573,12086,743272
1612543682,12186,743374
1612630814,12290,743477
1612717923,12303,677445
1612805043,12414,743090
1612979522,12389,743314
1613066643,12421,743342
1613851442,12490,748020
1613938563,12451,747728
1614025923,12424,813743
1628827443,8873,474043
1628914562,8840,474010
1629001922,8601,473771
1629089042,8495,473665
1629176162,8404,473574
1629263282,8319,473487
1629350402,8230,473398
1629437522,8146,473314
1629524643,8012,473179
1629655442,7946,473111
1629742562,7900,473066
1629829922,7801,472967
1629917043,7754,472664
1630004162,7697,472607
1630134963,7608,472518
1630222082,7556,472466
1630309202,7519,472174
1630396562,7441,472094
1630483682,7420,472073
1630570802,7330,471982
1630657923,7261,471916
1630745042,7125,471779
1630832162,7611,472265
1630919282,8003,472659
1631006642,8197,472597
1631093762,8461,472864
1631180882,8614,473528
1631268003,8815,539517
1631355122,9041,539744
1631442242,9184,539887
1631529362,9283,408916
1631616482,9482,409626
1631703603,9714,410114
1631790722,9920,410320
1631877842,9973,410374
1631964962,9951,410353
1632052322,9952,409844
1632139443,9891,475573
1632226562,10020,475704
1632313682,9968,479746
1632400803,10004,479781
1632487923,9943,479720
1632575042,9984,479762
1632662163,10036,479816
1632749523,10208,479732
1632836642,10215,479736
1632923762,10164,479685
1633010883,10194,479716
1633098243,10262,480294
1633185363,10246,480279
1633272722,10286,480319
1633359843,10324,480355
1633446962,10245,480276
1633534322,10105,480122
1633621443,9999,480016
1633708562,9887,479904
1633795682,9753,479000
1633882803,9671,478916
1633970163,9615,479369
1634057523,9584,479595
1634144642,9481,479490
1634231762,9413,479422
1634318882,9340,479604
1634406002,9281,479544
1634493122,9223,479486
1634580242,9162,479425
1634667362,9067,479075
1634754482,8977,478729
1634841842,8901,479676
1634928962,8817,479592
1635016083,8719,479494
1635103202,8628,479403
1635190322,8569,479344
1635277443,8512,479288
1635364562,8406,479180
1635451923,8295,479069
1635539042,8224,477977
1635626403,8134,477888
1635713762,8062,477814
1635801122,7947,477698
1635888242,7860,477612
1635975602,7750,477501
1636062962,7662,477413
1636150082,7537,477288
1636237442,7450,477201
1636324562,7385,477136
1636411683,7385,477136
1636498803,7421,477175
1636585922,7408,477162
1636673042,7393,477149
1636760402,7381,476882
1636847522,7343,476844
1636934642,7323,476823
1637021762,7286,476531
1637109122,7235,476479
1637196243,7151,476138
1637283362,7140,476128
1637370722,7114,476100
1637457842,7095,476081
1637544963,7067,476053
1637632082,7054,476040
1637719241,7015,476001
1637806322,6990,475976
1637893441,6967,476207
1637980562,6958,476199
1638067682,6943,476184
1638155043,6923,476161
1638242162,6916,476154
1638329283,6876,476114
1638416402,6873,476111
1638503522,6850,476086
1638590642,6878,475875
1638678002,6726,475722
1638765362,6584,475580
1638852482,6493,475490
1638939650,6364,475360
1639026722,6290,475286
1639113842,6205,475201
1639201202,6043,475038
1639288563,5964,474958
1639375682,5890,474884
