DateTime,AddedIPs,RemovedIPs
1632071441,129,0
1632071746,86,0
1632072040,64,0
1632118240,1,0
1632184247,0,1
1632201037,0,1
1632241241,0,1
1632248145,0,1
1632262839,2,0
1632335137,0,1
1632364536,7,0
1632364840,1,0
1632365148,3,0
1632366942,1,1
1632373545,1,0
1632376239,3,0
1632376846,2,0
1632381639,1,0
1632385538,0,1
1632390645,1,0
1632423647,0,1
1632438050,1,0
1632449142,2,0
1632452137,0,1
1632462641,1,0
1632463246,3,0
1632463840,6,0
1632466846,1,0
1632471038,0,1
1632531643,0,1
1632570038,0,1
1632588671,0,1
1632594644,0,1
1632615339,1,0
1632641738,2,0
1632652543,0,1
1632663643,1,0
1632666641,0,1
1632699044,0,1
1632710440,1,0
1632759037,2,0
1632787841,1,0
1632807045,1,0
1632810939,0,1
1632820840,1,0
1632842149,1,0
1632858939,0,1
1632869146,1,0
1632915045,0,1
1632915338,1,0
1632917743,1,0
1632922242,0,1
1632924639,0,2
1632968440,0,1
1633005338,0,1
1633008340,0,1
1633009842,1,0
1633029041,0,1
1633034440,1,0
1633034745,1,0
1633049439,0,1
1633112150,0,1
1633133438,0,1
1633167041,0,2
1633195841,0,1
1633243846,6,0
1633249539,0,1
1633265446,0,2
1633322748,0,1
1633384243,1,0
1633386337,0,1
1633418439,1,0
1633419338,1,0
1633433140,0,1
1633477837,0,1
1633529439,0,1
1633559739,0,1
1633586137,0,1
1633594237,0,1
1633604138,0,1
1633605041,0,2
1633631737,0,1
1633638644,0,1
1633650042,1,0
1633651841,2,0
1633679445,0,1
1633702545,8,0
1633703737,3,0
1633704642,1,0
1633722343,2,0
1633731038,0,1
1633731940,0,1
1633732248,0,1
1633733149,0,2
1633733443,0,1
1633734044,0,3
1633734946,0,1
1633735261,0,1
1633779948,2,0
1633796440,1,0
1633845944,0,1
1633903546,0,1
1633939838,0,2
1633963241,0,1
1633992939,0,1
1633997440,0,1
1634000137,0,1
1634051440,0,1
1634095850,1,0
1634139044,0,1
1634223944,0,1
1634256639,2,0
1634276137,0,1
1634305546,0,1
1634316039,0,1
1634506252,0,1
1634516146,0,3
1634516438,0,1
1634538040,1,0
1634568040,1,0
1634568938,0,1
1634577038,1,0
1634583647,0,1
1634598638,1,0
1634647846,0,1
1634650539,1,0
1634671239,0,1
1634671848,1,0
1634675138,0,1
1634679340,0,7
1634688943,0,1
1634698246,1,0
1634712041,0,1
1634748644,0,1
1634774137,0,1
1634794540,0,2
1634809239,0,1
1634811040,0,25
