DateTime,AddedIPs,RemovedIPs
1609252236,0,256
1609273848,256,0
1609509731,256,256
1609520821,0,256
1609596320,256,0
1609607219,256,0
1609633116,256,0
1609687837,256,0
1609689640,0,256
1609734654,0,256
1609768940,256,0
1609770636,256,0
1609778738,0,256
1609792243,256,0
1609851779,256,0
1609854334,0,256
1609866282,256,0
1609941771,0,512
1610020871,0,512
1610044240,256,0
1610049035,256,0
1610128803,0,256
1610139711,256,0
1610141432,256,0
1610148636,0,256
1610186403,256,0
1610200994,0,256
1610230550,0,256
1610280232,256,0
1610303450,256,0
1610459177,0,256
1610460359,256,0
1610461846,768,0
1610472657,256,0
1610539268,256,0
1610634711,0,256
1610803002,0,256
1610805660,256,0
1610810158,0,256
1610823694,0,512
1610899571,256,0
1610904661,256,0
1610908265,256,0
1610914503,0,256
1610975749,512,512
1610990161,0,256
1611057653,256,0
1611068459,0,512
1611083974,0,256
1611098532,256,0
1611148595,0,256
1611155799,0,256
1611159396,0,256
1611162054,256,0
1611162903,0,256
1611169259,0,256
1611234082,0,768
1611317998,256,0
1611327667,0,256
1611413214,0,256
1611415420,0,256
1611501412,256,0
1611505035,256,0
1611516753,256,0
1611523960,0,256
1611580675,0,256
1611598673,0,256
1611666628,256,0
1611673267,0,256
1611695816,0,256
1611760647,0,256
1611842494,0,256
1611928879,0,256
1612012808,256,0
1612034718,256,0
1612101685,0,256
1612102503,256,0
1612112455,0,256
1612188093,0,256
1612197055,0,256
1612223174,0,256
1612224085,0,256
1612280258,0,768
1612354548,256,0
1612359953,0,512
1612376446,0,256
1612383702,0,256
1612443693,0,256
1612449057,256,0
1612533697,0,768
1612623656,0,256
1612640770,0,512
1612646523,0,256
1612657807,0,256
1612711187,256,0
1612731668,0,256
1612872092,0,512
1612891248,0,256
1613052090,0,256
1613052956,256,0
1613056819,256,0
1613065559,0,256
1613130385,0,256
1613228459,0,256
1613265401,0,256
1613484950,512,0
1613503804,256,0
1613565991,0,256
1613575273,0,256
1613649700,0,256
1613654386,256,256
1613752263,0,256
1613838012,256,0
1614006055,0,256
1614036685,256,0
1614078954,256,0
1614097394,0,256
1614187580,256,0
1614199596,0,256
1614266489,0,256
1614295803,256,0
1614380478,0,256
1614431863,1280,0
1614448873,0,256
1614619867,256,0
1614693693,0,256
1614773703,256,0
1614781145,0,512
1614820596,0,256
1614866498,0,256
1614964997,256,0
1615129341,0,512
1615324572,0,256
1615648555,256,0
1615652820,0,256
1615734944,512,0
1615764663,256,0
1615817732,256,0
1615818643,256,0
1615901440,256,0
1616083254,0,256
1616243760,256,0
1616246148,0,256
1616248853,0,256
1616260561,0,256
1616262364,0,256
1616331695,0,256
1616336535,256,0
1616340247,256,0
1616343615,256,0
1616347865,256,0
1616372615,256,0
1616415739,256,0
1616542255,1024,0
1616603434,256,0
1616670948,0,512
1616678566,256,0
1616685891,0,256
1617359474,512,1280
1617373897,256,0
1617993393,1280,1024
1618101050,1280,0
1618324751,768,1024
1618425310,0,768
1618438545,0,256
1618493539,1024,256
1618504347,256,0
1618511599,0,256
1618579804,0,256
1618582533,256,0
1618611454,0,256
1618669382,256,0
1618669834,0,256
1618684240,256,0
1618713051,256,0
1618755623,0,256
1618777803,0,256
1618842634,256,256
1618849298,256,0
1618875050,256,0
1618924930,0,256
1619007303,0,256
1619015454,0,512
1619025492,0,256
1619051402,0,256
1619100903,256,0
1619118043,256,0
1619134252,0,512
1619187323,256,0
1619191836,256,0
1619194528,0,256
1619288164,0,256
1619356670,0,256
1619386246,0,256
1619392503,0,512
1619450296,512,0
1619483447,256,0
1619529569,256,0
1619541036,256,0
1619795749,256,0
1619803961,256,0
1619814039,256,0
1619875003,256,0
1619965858,0,256
1619968537,256,0
1619978441,0,256
1619982043,256,0
1619997350,0,1024
1620052236,256,0
1620064843,256,0
1620433803,256,0
1620533755,256,0
1620573304,256,0
1620585942,0,256
1620664238,0,256
1620674207,256,0
1620747938,0,256
1620792913,0,256
1620826256,0,256
1620837036,0,256
1620916238,0,256
1621016388,256,0
1621023787,0,256
1621084679,0,768
1621088320,0,256
1621096202,0,256
1621102846,0,256
1621105254,0,256
1621110393,0,256
1621117802,0,256
1621137879,0,256
1621609240,0,512
1621862152,512,0
1621895084,256,0
1621948558,0,256
1621969246,256,0
1622074556,0,256
1622132403,0,256
1622218784,0,256
1622297735,0,256
1622391529,256,0
1622466945,0,256
1622470503,512,0
1622651442,0,256
1622660446,0,256
1622759029,256,0
1622917175,256,0
1622952357,0,256
1622996292,512,0
1623010777,0,256
1623078036,0,256
1623097398,256,0
1623247263,0,256
1623331019,0,256
1623338219,256,0
1623349098,256,0
1623435341,0,256
1623436243,256,0
1623514503,0,256
1623695439,256,0
1623709180,0,256
1623770152,0,256
1623780942,0,256
1623866695,256,0
1624021258,0,256
1624025119,256,0
1624284359,0,256
1624378530,0,256
1624464321,256,0
1624486545,0,256
1624559438,0,256
1624634139,0,256
1624713099,512,0
1625062503,0,512
1625076938,0,256
1625085042,0,256
1625141744,0,256
1625351437,256,0
1625587242,0,256
1625616903,0,256
1625663702,0,256
1625684439,0,256
1625695336,0,256
1625877050,0,256
1626120903,0,256
1626182103,256,0
1626293832,0,256
1626481133,0,256
1626553840,0,256
1626701441,0,256
1626712234,256,0
1626719437,256,0
1626786902,256,0
1626805842,256,0
1626876633,256,0
1627056103,0,256
1627060503,512,0
1627225856,256,0
1627237833,0,256
1627252230,256,0
1627316133,0,256
1627575153,0,256
1627682281,2560,0
1627780378,2816,0
1627829001,256,0
1627837105,0,256
1627947789,256,0
1627952291,256,0
1628030611,0,256
1628084595,0,256
1628096281,256,0
1628100782,256,0
1628211492,256,0
1628300584,512,0
1628346456,0,256
1628354577,512,0
1628473391,256,0
1628643482,768,0
1628816285,512,0
1628867590,0,256
1628883778,256,0
1629116731,0,256
1629157418,0,256
1629161886,256,0
1629212305,0,256
1629336368,256,0
1629377906,0,256
1629422852,256,0
1629467892,0,256
1629492151,512,0
1629495781,256,0
1629556952,0,256
1629589352,256,0
1629593891,256,0
1629651503,0,256
1629770288,256,0
