DateTime,AddedIPs,RemovedIPs
1592638049,4,1
1592724446,1,2
1592810835,2,4
1592897261,1,2
1592983670,3,2
1593070066,3,2
1593156455,0,2
1593242820,3,1
1593329261,1,4
1593415660,2,2
1593502143,5,1
1593588480,2,4
1593674835,1,0
1593761264,2,2
1593847641,2,3
1593934042,3,2
1594020442,2,4
1594106890,1,2
1594193271,2,0
1594279672,2,1
1594366074,1,3
1594452466,1,0
1594625213,0,1
1594711660,0,3
1594798068,2,2
1594884459,1,1
1594970858,1,1
1595057266,2,2
1595143613,2,1
1595316484,0,1
1595402857,3,1
1595489262,0,3
1595575680,3,1
1595662059,2,1
1595748461,0,2
1595834839,4,2
1595921261,2,1
1596007674,1,3
1596094026,2,4
1596180447,3,0
1596266855,1,1
1596353285,1,2
1596439684,2,2
1596526077,1,2
1596612498,3,2
1596698840,3,3
1596785255,3,1
1596871690,0,2
1596958045,2,3
1597044472,2,2
1597130886,2,1
1597217256,3,3
1597303656,2,0
1597390083,0,1
1597476407,2,3
1597562997,3,1
1597649202,0,3
1597735641,3,1
1597822070,0,1
1597908554,1,2
1597994840,1,1
1598081268,2,0
1598167679,0,1
1598426853,1,0
1598513306,0,1
1598599617,0,1
1598686060,2,2
1598772435,2,2
1598858832,2,0
1598945239,0,1
1599031657,1,1
1599118013,1,2
1599204402,2,2
1599290819,2,2
1599377250,3,2
1599463614,1,1
1599550054,1,2
1599636449,1,0
1599722856,1,1
1599809255,0,2
1599895638,1,1
1599982020,3,2
1600154870,1,2
1600241281,1,0
1600327644,0,1
1600414011,1,3
1600500429,4,1
1600586809,1,2
1600673254,2,0
1600759662,0,1
1600846031,1,1
1600932505,1,0
1601018871,0,2
1601105234,2,2
1601191653,1,1
1601278066,2,0
1601450825,0,1
1601537286,0,2
1601623723,0,1
1601710020,2,0
1601796471,1,2
1601882828,2,0
1601969281,0,1
1602055673,0,1
1602142019,2,0
1602228437,0,2
1602314920,0,1
1602401200,2,1
1602487641,2,0
1602574067,0,1
1602660394,1,1
1602746838,1,1
1602833245,1,2
1602919611,2,1
1603006042,1,0
1603092441,0,2
1603178889,1,3
1603265270,4,0
1603351682,0,1
1603438123,2,3
1603524565,1,1
1603610850,1,1
1603697313,1,1
1603783720,1,2
1603870037,1,1
1603956442,0,2
1604042872,3,2
1604129232,1,1
1604215679,2,1
1604262430,0,1
1604348882,1,0
1604435248,1,1
1604521634,0,2
1604608016,2,1
1604694432,0,1
1604780806,2,2
1604867200,1,1
1604953642,1,0
1605040054,0,1
1605126457,0,2
1605212846,2,2
1605299209,2,2
1605385638,3,1
1605471990,0,2
1605558537,2,1
1605644861,1,1
1605731284,1,0
1605817641,0,1
1605904057,3,2
1605990482,1,3
1606076866,2,0
1606163255,1,0
1606422459,0,1
1606595264,1,1
1606681686,0,1
1606767986,3,1
1606854444,1,7
1606940882,5,1
1607027244,1,2
1607113632,3,0
1607200064,0,3
1607286458,2,2
1607372847,2,1
1607459186,1,0
1607545639,0,1
1607632090,1,2
1607718436,2,1
1607977700,0,2
1608064041,2,0
1608150471,0,4
1608236863,3,0
1608323222,1,2
1608409624,2,2
1608496048,2,1
1608582408,1,2
1608668862,1,2
1608755251,2,1
1608841621,2,3
1608928112,3,3
1609014426,2,1
1609100857,1,0
1609187240,1,1
1609273644,1,0
1609360018,0,1
1609446491,1,1
1609532789,0,2
1609619215,1,0
1609705665,2,0
1609792090,0,1
1609878430,0,1
1609964840,2,0
1610051278,0,2
1610137602,1,0
1610224022,0,2
1610310439,1,0
1610396845,1,1
1610483235,1,1
1610569598,1,1
1610656027,2,0
1610915254,0,2
1611001638,2,1
1611088031,1,1
1611174423,2,3
1611260844,2,2
1611347210,2,0
1611433636,0,1
1611520032,0,1
1611606483,0,1
1611692775,2,1
1611779195,0,2
1611865635,3,1
1611952051,1,0
1612038411,0,3
1612124821,3,0
1612211277,2,1
1612297668,0,1
1612384186,1,2
1612470436,1,2
1612556852,1,3
1612643212,3,0
1612729566,0,2
1612816051,2,2
1612902424,1,2
1612988842,1,0
1613075239,1,0
1613161623,0,1
1613334415,0,1
1613420835,2,1
1613507342,1,2
1613593671,2,0
1613680204,1,1
1613766539,1,1
1613852881,0,1
1613939257,1,1
1614025767,0,4
1614112131,5,0
1614198551,0,3
1614284800,1,1
1614371191,1,0
1614457645,0,1
1614544000,3,0
1614630418,0,3
1614716882,2,0
1614803255,1,0
1614889632,0,1
1614976008,0,3
1615062411,4,1
1615148797,1,1
1615235258,1,0
1615321625,0,2
1615408065,1,2
1615494465,2,1
1615580951,1,1
1615667231,1,0
1615749977,1,3
1615836447,3,2
1615922867,1,0
1616009658,0,1
1616095717,1,1
1616182419,2,4
1616268449,5,0
1616354838,0,2
1616441300,0,3
1616527685,3,0
1616614347,0,8
1616700525,7,1
1616786786,1,2
1617348408,1,0
1618126012,2,4
1618212391,2,1
1618558084,2,2
1618644478,3,2
1618730816,2,2
1618817225,1,4
1618903695,3,2
1618990073,2,0
1619249306,1,4
1619335599,4,0
1619422003,0,3
1619508490,1,2
1619594848,1,2
1619681239,1,2
1619767652,2,1
1619854105,2,2
1619940442,1,1
1620026906,0,1
1620113282,1,2
1620199676,1,0
1620286087,1,0
1620372461,0,2
1620458862,4,1
1620631655,0,1
1620718032,0,2
1620804441,2,0
1620890937,0,1
1620977273,1,0
1621063600,1,1
1621150053,2,0
1621236457,0,2
1621322837,1,1
1621409197,1,2
1621495672,2,1
1621668440,2,1
1621754806,0,1
1621841215,1,1
1621927589,0,3
1622013986,3,0
1622100400,1,1
1622186872,0,1
1622273215,1,0
1622446017,0,2
1622532428,1,0
1622618792,1,0
1622791609,1,0
1622877997,0,3
1622964438,2,1
1623050868,2,1
1623137292,1,2
1623223757,3,2
1623310042,1,3
1623396486,2,1
1623482807,1,0
1623569257,0,2
1623655649,2,1
1623742055,2,1
1623828498,0,1
1623914821,1,2
1624001258,1,1
1624087631,2,0
1624174021,0,3
1624260449,2,0
1624346872,2,0
1624433283,0,3
1624519654,1,0
1624606080,1,1
1624692411,1,0
1624778876,0,1
1624865289,1,0
1624951691,0,1
1625038110,2,0
1625124484,0,2
1625210887,1,1
1625383632,0,2
1625470036,3,0
1625556470,0,1
1625642931,0,2
1625729274,3,0
1625815692,0,1
1625902039,0,1
1625988434,2,1
1626074852,1,3
1626161275,2,0
1626247682,1,2
1626334086,3,0
1626420454,0,1
1626506866,0,1
1626593254,0,1
1626679714,1,0
1626766099,0,1
1626852504,1,0
1626938909,1,0
1627025341,0,1
1627111677,1,1
1627284489,1,0
1627371310,1,2
1627457328,2,1
1627543667,1,1
1627716452,1,1
