DateTime,Entries,UniqueIPs
1579584533,1547,20055522
1579670932,1553,20055528
1579757332,1548,20055522
1579843732,1579,20055553
1580102930,1597,19990804
1580189331,1623,19990830
1580275730,1635,19990842
1580362130,1649,19990856
1580448529,1643,19990850
1580707729,1684,20639054
1580794129,1702,20639072
1580880527,1702,20633972
1580966928,1725,20639096
1581053328,1728,20639099
1581312526,1750,20645487
1581398926,1753,20645490
1581485326,1750,20645487
1581571725,1736,20645473
1581658125,1716,20645453
1581917324,1708,20653637
1582003724,1743,20653672
1582090123,1751,20653680
1582176601,1751,20653680
1582263002,1764,20653693
1582522201,1719,20571731
1582608601,1735,20571747
1582695002,1724,20571736
1582781401,1740,20571752
1582867801,1753,20571765
1583127002,1688,20505913
1583213401,1683,20505910
1583299801,1630,20505856
1583386201,1635,20505861
1583472601,1679,20505909
1583728201,1647,20495902
1583814602,1625,20495880
1583901001,1665,20495921
1583987402,1680,20495936
1584073802,1688,20495944
1584333002,1754,20420749
1584419401,1758,20420753
1584505801,1752,20420744
1584592201,1771,20420764
1584678602,1806,20420799
1584937801,1853,20409333
1585024202,1859,20409337
1585110602,1914,20409393
1585197001,1996,20409476
1585283402,1970,20409450
1585542601,2145,20407328
1585629001,2256,20407439
1585715401,2270,20407451
1585801801,2265,20407447
1585888201,2298,20407478
1586147401,2193,20040812
1586233801,2188,20040807
1586320201,2199,20040817
1586406601,2141,20040760
1586493001,2127,20040746
1586752201,2102,19972116
1586838602,2079,19972094
1586925001,2068,19972081
1587011402,2090,19972104
1587097801,2087,19972100
1587357002,2014,19968190
1587443401,1997,19968174
1587529801,1982,19968159
1587616201,1980,19968157
1587702601,1929,19968106
1587961801,1791,19967966
1588048202,1773,19967949
1588134601,1734,19967908
1588221001,1678,19967852
1588307401,1516,19967690
1588566602,1417,19967590
1588653001,1422,19967595
1588739402,1413,19967587
1588825801,1419,19967593
1588912201,1412,19967586
1589171401,1386,19898699
1589257802,1305,19898620
1589344201,1301,19898617
1589430601,1289,19898604
1589517001,1260,19898575
1589776201,1262,19887319
1589862601,1257,19887313
1589949001,1236,19887293
1590035401,1234,19887292
1590121801,1209,19887265
1590467401,1234,19821753
1590553801,1222,19821744
1590640202,1222,19821741
1590726601,1221,19821741
1590985801,1215,19674282
1591072201,1208,19674275
1591158602,1235,19674303
1591245001,1234,19674301
1591331402,1221,19674288
1591590602,1254,19674319
1591677001,1245,19674311
1591763402,1450,19674517
1591849801,1454,19674520
1591936201,1446,19674512
1592195402,1425,19607931
1592281801,1437,19607943
1592368201,1433,19607940
1592454601,1438,19607944
1592541001,1447,19607954
1592886602,1488,19606460
1592973002,1484,19606457
1593059402,1483,19606457
1593145801,1488,19606461
1593491401,1492,19540932
1593577801,1487,19540929
1593664201,1486,19540928
1593750602,1472,19540914
1593923402,1470,19470258
1594009802,1422,19469957
1594096201,1428,19470214
1594182601,1420,19469695
1594335001,1429,19469704
1594355401,1303,19470087
1594614602,1313,19399443
1594701002,1311,19399444
