DateTime,AddedIPs,RemovedIPs
1579066134,319,296
1579152546,315,344
1579238941,318,342
1579498140,497,436
1579584538,350,323
1579670934,341,419
1579757338,336,314
1579843738,291,355
1580102933,473,453
1580189336,373,331
1580275735,351,304
1580362136,344,338
1580448532,332,326
1580707734,658,480
1580794133,346,401
1580880530,386,441
1580966933,331,367
1581053332,355,424
1581312531,547,457
1581398930,397,337
1581485328,332,334
1581571730,325,301
1581658129,342,344
1581917327,757,452
1582003726,325,580
1582090127,338,384
1582176607,325,327
1582263007,309,310
1582522209,494,457
1582608606,343,326
1582695006,315,351
1582781404,342,342
1582867807,332,363
1583127007,607,492
1583213405,314,323
1583299803,371,314
1583386206,333,311
1583472604,317,349
1583728206,469,457
1583814604,378,426
1583901004,325,340
1583987403,321,312
1584073803,329,353
1584333003,476,433
1584419404,517,322
1584505803,329,317
1584592203,325,328
1584678605,509,300
1584937803,29,9
1585024204,27,8
1585110604,20,7
1585197003,10,0
1585283404,10,15
1585542603,774,1054
1585629003,423,332
1585715405,408,347
1585801804,372,303
1585888204,376,360
1586147408,554,477
1586233805,369,572
1586320204,359,348
1586406604,368,377
1586493003,351,351
1586752204,534,518
1586838605,414,336
1586925003,365,372
1587011406,367,334
1587097804,369,333
1587357006,481,495
1587443404,360,695
1587529803,395,373
1587616203,369,361
1587702603,357,348
1587961804,520,473
1588048205,349,326
1588134603,363,349
1588221003,347,367
1588307403,472,565
1588566605,593,499
1588653004,379,347
1588739404,383,344
1588825803,354,336
1588912209,323,347
1589171403,415,649
1589257811,268,276
1589344202,274,265
1589430605,283,264
1589517004,265,262
1589776203,373,404
1589862603,285,263
1589949004,313,253
1590035403,273,570
1590121806,259,233
1590467403,499,393
1590553805,294,251
1590640204,265,242
1590726604,275,242
1590985804,498,373
1591072204,281,235
1591158605,284,222
1591245003,262,263
1591331404,246,228
1591590604,380,345
1591677004,239,241
1591763404,254,827
1591849803,235,266
1591936203,270,280
1592195404,400,336
1592281804,273,239
1592368203,254,315
1592454603,196,212
1592541004,255,258
1592886604,530,361
1592973006,268,224
1593059405,264,236
1593145804,251,242
1593491405,501,382
1593577805,473,279
1593664204,310,239
1593750605,267,259
1593923404,362,287
1594009805,225,211
1594096205,268,254
1594182603,266,242
1594334970,291,227
1594355403,257,252
1594614604,414,410
1594701004,238,881
1594873805,351,316
1595024247,246,238
1595219405,386,389
1595305804,276,218
1595392207,233,240
1595478603,263,227
1595565005,237,253
1595824203,378,332
1595910604,256,231
1595997005,227,255
1596083404,272,238
1596169804,241,230
1596429003,806,747
1596515404,292,253
1596601803,267,252
1596688204,260,252
1596774605,245,256
1597033804,383,416
1597120204,270,272
1597206603,246,328
1597293004,278,261
1597638603,498,398
1597725004,268,235
1597811403,252,227
1597897804,239,474
1597984204,248,248
1598243403,397,366
1598329804,257,248
1598416203,278,234
1598502603,240,265
1598589015,272,252
1598848211,437,401
1598934624,674,276
1599021003,314,277
1599107403,308,260
1599193807,304,267
1599453004,456,371
1599539408,255,301
1599625805,290,307
1599712208,270,352
