DateTime,AddedIPs,RemovedIPs
1642236488,26,56
1642238669,244,25
1642239903,137,0
1642240570,33,32
1642242730,26,28
1642244647,193,35
1642246591,32,30
1642248485,100,22
1642250648,98,26
1642251603,151,0
1642252811,29,49
1642254724,28,0
1642255202,131,0
1642256677,29,20
1642258568,30,16
1642258802,123,0
1642260507,25,29
1642262413,26,21
1642264328,18,14
1642266267,10,27
1642268168,233,13
1642270325,105,19
1642272245,25,19
1642274188,14,16
1642276086,275,13
1642278247,20,9
1642280163,18,14
1642282105,204,18
1642282202,119,0
1642284011,16,33
1642286169,108,20
1642286702,104,0
1642288106,20,15
1642290010,14,24
1642291233,44,0
1642291946,25,18
1642293847,25,21
1642293902,208,4012
1642295788,14,0
1642297686,48,17
1642298403,123,0
1642299848,22,24
1642301787,23,21
1642302002,109,0
1642302968,38,79
1642303927,23,0
1642305846,96,22
1642307787,79,20
1642309688,189,28
1642310651,47,48
1642311627,21,22
1642313525,27,18
1642314249,460,443
1642315446,30,25
1642317302,325,0
1642319284,26,44
1642320902,113,0
1642321445,27,0
1642323387,30,26
1642324502,144,0
1642325529,33,25
1642327470,22,32
1642331527,20,47
1642333446,203,26
1642333503,127,0
1642335388,27,26
1642337285,66,19
1642341146,124,52
1642343047,27,0
1642343402,192,0
1642344986,25,52
1642346886,26,0
1642349047,99,51
1642350724,24,47
1642352892,20,36
1642353302,303,0
1642355048,21,18
1642357012,51,21
1642358884,59,24
1642359603,100,0
1642361044,29,11
1642362966,21,23
1642364906,82,18
1642366806,72,17
1642368968,167,12
1642371123,44,19
1642373049,102,12
1642374986,23,25
1642376171,41,45
1642376888,19,10
1642377603,243,3654
1642378826,28,20
1642380728,24,19
1642381202,113,0
1642382646,23,16
1642384589,18,19
1642386487,13,18
1642387927,45,0
1642388649,26,27
1642390809,281,20
1642392002,160,0
1642392748,20,18
1642394648,17,18
1642395621,49,45
1642398506,21,52
1642399203,274,0
1642400409,23,28
1642402324,32,26
1642402803,160,0
1642404270,31,0
1642406164,27,28
1642406440,441,427
1642408327,215,23
1642410247,37,25
1642412194,24,30
1642414084,228,18
1642416248,29,0
1642418163,17,19
1642419002,406,0
1642420110,21,20
1642422004,27,34
1642422602,185,0
1642424170,24,26
1642426108,22,0
1642426202,203,0
1642428042,21,14
1642429803,162,0
1642430647,13,0
1642432327,25,51
1642434246,23,21
1642436191,30,0
1642438084,215,20
1642440248,21,16
1642442191,331,17
1642444112,17,23
1642446033,19,16
1642447925,18,29
1642450088,330,16
1642452031,19,18
1642452302,161,0
1642453930,26,18
1642455846,26,15
1642457788,27,18
1642459687,19,28
1642460402,407,0
1642461607,63,65
1642463548,25,15
1642464902,196,3094
1642465449,23,24
1642467366,25,23
1642469310,69,23
1642471207,141,20
1642473127,140,49
