DateTime,AddedIPs,RemovedIPs
1599262222,35,30
1599348622,49,43
1599435023,46,44
1599521424,78,36
1599607822,53,97
1599694233,57,57
1599780622,55,28
1599867023,35,51
1599953424,39,32
1600039823,42,45
1600126222,44,36
1600212623,32,39
1600299023,52,50
1600385424,54,60
1600471824,54,58
1600558241,152,99
1600644622,271,56
1600731025,69,36
1600817423,72,44
1600903823,49,66
1600990223,53,99
1601076623,39,46
1601163022,43,58
1601249423,52,40
1601335823,40,50
1601422224,36,146
1601508623,32,268
1601595023,72,59
1601681451,75,49
1601767834,85,57
1601854238,121,53
1601940623,99,39
1602027023,108,45
1602113424,61,55
1602199824,75,46
1602286224,153,41
1602372623,88,30
1602459022,141,69
1602545423,123,71
1602631823,168,63
1602718223,194,98
1602778845,12993773,0
1602804634,109,89
1602891023,230,108
1602977423,63,70
1603063823,57,91
1603150222,54,165
1603236624,28,89
1603323023,44,136
1603409423,41,122
1603495823,53,164
1603582223,34,176
1603668623,45,110
1603755023,44,229
1603841425,34,63
1603927823,39,55
1604014223,43,36
1604100624,37,28
1604187024,38,38
1604273424,35,41
1604359823,34,47
1604446223,26,38
1604532623,22,48
1604619023,39,42
1604705422,36,34
1605141019,41,262
1605227421,114,43
1605313819,92,30
1605400219,61,33
1605486618,79,41
1605573021,35,41
1605659417,37,19
1605745817,28,0
1605832218,59,0
1605918621,29,0
1606005018,18,14
1606091418,25,59
1606177817,22,56
1606264217,27,63
1606350619,35,39
1606437017,76,41
1606523425,19,28
1606609821,16,47
1606696216,26,56
1606780818,16,26
1606867220,11,22
1606953616,24,64
1607040017,108,25
1607126417,37,25
1607212819,31,36
1607299224,28,80
1607385622,18,18
1607472032,36,13
1607558424,29,27
1607644824,31,19
1607731225,26,10
1607817625,24,20
1607904025,29,60
1607990424,21,25
1608076825,19,25
1608163224,55,28
1608249623,48,18
1608336029,27,32
1608422424,26,30
1608508827,14,31
1608595224,24,24
1608681626,30,24
1608768024,27,25
1608854424,13,21
1608940827,37,21
1609027225,38,60
1609113623,18,47
1609200025,17,30
1609286424,25,25
1609372826,50,19
1609459224,68,24
1609545623,13,29
1609632025,27,21
1609718425,9,15
1609804824,18,28
1609891224,24,44
1609977624,34,23
1610064023,11,17
1610150424,34,26
1610236825,26,31
1610323224,20,36
1610409625,25,11
1610496026,32,33
1610582428,18,11
1610668828,22,21
1610755230,19,28
1610841626,23,21
1610928041,21,11
1611014427,21,34
1611100841,72,20
1611187234,17,16
1611273626,16,21
1611360027,15,29
1611446426,31,17
1611532826,21,26
1611619227,12,14
1611705631,10,24
1611792027,32,22
1611878427,20,18
1611964827,25,72
1612051227,19,20
1612137629,20,20
1612224031,12,14
1612310425,16,26
1612396825,27,29
1612483224,12,13
1612569624,27,14
1612656025,18,37
1612742425,16,23
1612828826,18,28
1612915228,55,18
1613001626,268,52
1613088027,47,24
1613174425,33,25
1613260825,15,24
1613347225,21,12
1613433626,23,25
1613520025,39,18
1613606425,467,15
1613692824,88,19
1613779225,15,57
1613865625,38,272
1613952025,55,22
1614038428,216,25
1614124826,20,16
1614211226,26,21
1614297630,18,18
1614384025,12,33
1614470426,21,465
1614556825,13,88
1614643229,43,17
1614729627,100,31
1614816025,23,51
1614902426,25,213
1614988826,29,21
1615075226,20,64
1615161627,18,16
1615248027,16,9
1615334430,19,13
1615420827,22,12
1615507228,18,78
1615593629,50,114
1615675447,9568716,53248
1615680026,32,44
1615766428,11,23
1615852826,28,32
1615939238,16,18
1616025633,81,16
1616112030,25,11
1616198429,23,21
1616284827,11,39
1616371228,62,14
1616428803,256,0
1616457629,31,12
1616544025,59,21
1616630427,33,19
1616716828,32,37
1617359427,295,217
1618077631,294,352
1618596027,166,130
1618682428,17,33
1618768827,30,41
1618855231,147,37
1618941627,46,22
1619028027,17,33
1619114437,106,20
1619200828,60,35
1619287229,52,31
1619373627,16,28
1619460027,13,41
1619546429,15,17
1619632825,25,35
1619719228,23,154
1619805627,14,56
1619892031,29,15
1619978426,33,103
1620064831,9,17
1620151229,19,46
1620237629,11,15
1620324027,23,18
1620410429,32,10
1620496827,50,50
1620583228,20,62
1620669627,17,14
1620756028,24,51
1620842428,25,37
1620928830,30,8
1621015228,74,20
1621101626,19,14
1621188028,28,27
1621274427,24,36
1621360828,17,48
1621447226,66,22
1621533626,43,17
1621620028,10,24
1621706426,17,22
1621792827,11,81
1621879229,35,31
1621965629,51,17
1622052030,82,21
1622138427,50,21
1622224829,14,10
1622311228,7,59
1622397625,13,27
1622484027,12,15
1622570427,10,15
1622656827,18,21
1622743227,215,62
1622829627,20,39
1622916026,19,72
1623002428,22,52
1623088835,22,16
1623175228,53,7
1623261629,42,10
1623348029,154,23
1623434426,101,16
1623520827,16,21
1623607226,37,49
1623693626,13,24
1623780031,20,19
1623866430,24,18
1623952828,63,31
1624039227,45,47
1624125633,35,12
1624212028,25,303
1624298430,37,107
1624384829,33,37
1624471227,47,40
1624557628,23,40
1624644030,230,23
1624730427,46,28
1624816828,104,38
1624903229,60,49
1624989627,52,54
1625076030,124,20
1625162431,57,32
1625248830,39,29
1625335229,25,44
1625421630,156,26
1625508028,94,271
1625594433,93,58
1625680833,31,101
1625767229,33,56
1625853639,42,53
1625940039,51,102
1626026428,257,54
1626112827,30,40
1626199226,93,24
1626220804,96062422,0
1626285628,32,133
1626372042,32,65
1626458431,26,42
1626544836,36,33
1626631234,20,29
1626717628,15,29
1626804028,31,42
1626890443,48,259
1626976833,32,28
1627063229,28,47
1627149630,23,32
1627236028,17,37
1627322429,243,29
1627329602,0,96062187
1627408842,83,105
1627495229,69,37
1627581631,25,35
1627668035,58,39
1627754429,18,47
1627840827,28,32
1627927228,16,29
1628013632,34,21
1628100028,35,21
1628186431,43,46
1628272829,35,106
1628359227,35,73
1628445632,39,30
1628532032,48,33
1628618428,64,19
1628704829,52,24
1628791227,58,19
1628877631,24,33
1628964029,30,74
1629050427,27,234
1629064372,1024,0
1629136836,32,35
1629223233,204,60
1629309630,46,29
1629396030,28,54
1629482430,57,21
1629568835,28,26
1629655228,16,62
1629741629,28,29
1629828029,35,26
1629914428,28,24
1630000827,26,30
1630130436,36,249
1630216856,25,42
1630303235,32,28
1630389632,111,31
1630476033,123,17
1630546129,8191,0
1630562460,62,21
1630648841,63,35
1630735260,29,35
1630821632,20,78
1630908034,31,23
1630994438,36,28
1631080870,123,26
1631167233,28,28
1631253648,29,109
1631340039,42,151
1631426435,35,26
1631505136,67584,0
1631512833,26,43
1631599246,31,25
1631685635,30,18
1631772051,57,32
1631858429,45,56
1631944836,16,96
1632031240,20,29
1632117652,24,28
1632204041,37,25
1632290445,59,16
1632376837,56,32
1632463934,3118,41
1632549633,57,42
1632636051,203,62
1632722438,38,32
1632808840,76,19
1632895236,50,23
1632900083,2560,0
1632981629,78,49
1633068034,41,40
1633074250,132096,0
1633154441,23,54
1633240874,41,53
1633327253,38,47
1633335609,65535,0
1633413627,35,81
1633500031,69,210
1633586433,36,34
1633672849,37,71
1633712403,254,0
1633759247,43,53
1633845649,28,50
1633932036,40,43
1633946175,65461,0
1634018429,47,21
1634104837,45,74
1634191240,28,38
1634277634,38,28
1634364053,295,75
1634450434,28,32
1634536833,25,33
1634623237,64,28
1634709663,28,21
1634796033,17,30
1634882433,60,47
1634968835,24,48
1634992120,32767,0
1635055354,19,28
1635141636,14,35
1635228051,57,291
1635314435,24,18
1635400839,31,20
1635487228,56,53
1635573636,17,26
1635660040,483,19
1635746461,212,26
1635832838,64,24
1635919253,141,20
1636005638,41,37
1636092038,34,32
1636178436,33,25
1636264878,18,39
1636351241,16,32
1636437634,27,18
1636524033,23,498
1636610496,41,208
1636696840,57,65
1636783274,21,138
1636869652,21,38
1636956177,39,73
1637042475,31,29
1637128835,20,37
1637215240,33,34
1637301732,17,59
1637388033,19,23
1637474445,14,42
1637477528,1279,32768
1637560851,18,37
1637647243,43,21
1637733655,40,24
1637820054,40,70
1637906442,23,30
1637992849,24,25
1638079240,17,32
1638165645,41,19
1638252043,31,19
1638338455,21,15
1638424841,21,19
1638511317,24,43
1638597643,13,41
1638684041,20,37
1638770433,21,24
1638856850,19,25
1638943263,33,12
1639029635,64,36
1639116034,38,30
1639202450,25,19
1639288840,23,23
1639375254,29,30
1639461643,40,15
1639548051,34,18
1639634447,24,19
1639720841,28,18
1639807237,20,41
1639893651,10,32
1639980035,22,32
1640066460,57,24
1640152864,24,24
1640239247,96,34
1640325650,39,33
1640412048,159,31
1640422803,16,0
1640498434,12,23
1640584841,217,33
1640671240,254,20
1640757651,249,12
1640844061,109,23
1640930453,23,56
1640964250,164864,0
1641016831,22,22
1641103260,25,58
1641189646,15,40
1641276031,22,162
1641362432,21,16
1641448848,25,216
1641578429,147,374
1641664832,46,215
1641751231,56,31
1641837631,19,23
1641924030,25,22
1642010432,29,15
1642096834,19,25
1642183230,20,19
1642269629,53,21
1642356030,21,51
1642442435,70,116
1642528834,18,48
1642615230,22,57
1642701630,52,21
1642788031,22,48
1642874434,24,24
1642960831,34,21
