DateTime,Entries,UniqueIPs
1599262222,1923,34672543
1599348622,1929,34672549
1599435023,1935,34672551
1599521424,1958,34672593
1599607822,1917,34672549
1599694233,1911,34672549
1599780622,1936,34672576
1599867023,1927,34672560
1599953424,1934,34672567
1600039823,1933,34672564
1600126222,1945,34672572
1600212623,1937,34672565
1600299023,1939,34672567
1600385424,1937,34672561
1600471824,1937,34672557
1600558241,2019,34672610
1600644622,2211,34672825
1600731025,2239,34672858
1600817423,2231,34672886
1600903823,2212,34672869
1600990223,2159,34672823
1601076623,2151,34672816
1601163022,2141,34672801
1601249423,2153,34672813
1601335823,2149,34672803
1601422224,2056,34672693
1601508623,1836,34672457
1601595023,1848,34672470
1601681451,1872,34672496
1601767834,1902,34672524
1601854238,1960,34672592
1601940623,2011,34672652
1602027023,2059,34672715
1602113424,2055,34672721
1602199824,2077,34672750
1602286224,2185,34672862
1602372623,2243,34672920
1602459022,2314,34672992
1602545423,2366,34673044
1602631823,2470,34673149
1602718223,2574,34673245
1602778845,2581,47667018
1602804634,2608,47667038
1602891023,2726,47667160
1602977423,2713,47667153
1603063823,2686,47667119
1603150222,2572,47667008
1603236624,2511,47666947
1603323023,2421,47666855
1603409423,2345,47666774
1603495823,2244,47666663
1603582223,2106,47666521
1603668623,2045,47666456
1603755023,1870,47666271
1603841425,1843,47666242
1603927823,1826,47666226
1604014223,1834,47666233
1604100624,1842,47666242
1604187024,1842,47666242
1604273424,1838,47666236
1604359823,1826,47666223
1604446223,1813,47666211
1604532623,1785,47666185
1604619023,1781,47666182
1604705422,1786,47666184
1605141019,1604,47665963
1605227421,1674,47666034
1605313819,1697,47666096
1605400219,1724,47666124
1605486618,1752,47666162
1605573021,1755,47666156
1605659417,1765,47666174
1605745817,1793,47666202
1605832218,1846,47666261
1605918621,1874,47666290
1606005018,1883,47666294
1606091418,1857,47666260
1606177817,1818,47666226
1606264217,1781,47666190
1606350619,1778,47666186
1606437017,1815,47666221
1606523425,1813,47666212
1606609821,1809,47666181
1606696216,1785,47666151
1606780818,1776,47666141
1606867220,1768,47666130
1606953616,1746,47666090
1607040017,1798,47666173
1607126417,1785,47666185
1607212819,1779,47666180
1607299224,1726,47666128
1607385622,1726,47666128
1607472032,1744,47666151
1607558424,1744,47666153
1607644824,1755,47666165
1607731225,1772,47666181
1607817625,1776,47666185
