DateTime,AddedIPs,RemovedIPs
1594385403,2048,8704
1594471803,559104,17408
1594558204,4608,12288
1594644605,512,1024
1594731004,1536,5376
1594817403,1024,14592
1594903803,6144,14592
1594990204,2048,11520
1595076607,3072,13056
1595163008,2048,12800
1595335803,256,6400
1595422203,1024,8960
1595508603,4608,20224
1595595003,1024,18432
1595681403,1024,14592
1595767803,2048,10240
1595940603,0,4864
1596027003,3584,16640
1596113403,7936,17408
1596199811,3584,21504
1596286203,2048,47872
1596372603,3328,41216
1596459003,256,0
1596545403,564480,5120
1596631803,0,47104
1596718204,26368,19968
1596804604,2048,30208
1596891003,1792,15616
1596977403,2816,17408
1597063803,512,0
1597150203,1280,8960
1597236607,1024,20736
1597323003,6400,17152
1597409409,5120,21248
1597495803,6656,23296
1597582203,3072,17920
1597755003,1536,2816
1597841403,256,31232
1597927803,5376,38656
1598014203,0,3072
1598100602,0,2816
1598187003,768,0
1598359803,256,4096
1598446203,1024,5888
1598532603,0,4864
1598619002,0,1536
1598705403,0,2048
1598791803,512,0
1598878202,3328,0
1598964606,512,2816
1599051003,3584,2816
1599137403,1024,6400
1599223803,0,5632
1599310203,0,4864
1599396603,2048,0
1599569403,1536,2816
1599655804,1536,7424
1599742203,2560,1792
1599828603,0,4352
1599915003,0,6144
1600001403,2560,0
1600087803,256,0
1600174203,256,3840
1600260603,512,3840
1600347003,6656,7680
1600433403,8192,8448
1600519803,0,19968
1600606203,768,0
1600692603,512,0
1600779003,1024,11264
1600865403,1536,3584
1600951803,2048,7936
1601038203,0,6400
1601124603,0,8192
1601211003,0,512
1601297403,256,0
1601383803,1024,9216
1601470203,0,4096
1601556603,5120,9216
1601643003,0,5632
1601729403,0,5888
1601815803,2304,0
1601902203,2048,0
1601988603,256,3072
1602075003,0,5376
1602161404,1024,7168
1602247803,1024,5376
1602334204,0,3584
1602507003,2560,0
1602593403,512,5376
1602679803,1024,4864
1602766203,0,2048
1602852603,512,7424
1602939003,0,8192
1603025402,256,0
1603111803,7424,0
1603198203,0,8192
1603284604,1792,5376
1603371003,14080,7168
1603457403,3840,5376
1603543803,0,6144
1603630203,0,3840
1603716603,1024,0
1603803003,0,2816
1603889403,512,8704
1603975803,2304,4864
1604062203,0,3072
1604148603,0,4864
1604407803,1280,2048
1604494203,768,6144
1604580603,1536,7424
1604667003,0,4352
1604753403,0,14592
1604839803,10240,0
1604926203,768,0
1605012603,0,4352
1605099003,0,4608
1605185403,4096,5888
1605271803,0,3840
1605358203,0,6144
1605531003,512,0
1605617403,256,3584
1605703803,0,4864
1605790203,3328,7424
1605876603,0,6656
1605963003,0,2304
1606049403,1536,0
1606222203,0,6656
1606308603,512,12544
1606395003,512,8704
1606481403,0,5120
1606567803,0,8192
1606740603,5376,0
1606827003,0,3840
1606913403,10752,4608
1606999803,2816,17408
1607086204,1024,4096
1607172603,0,8192
1607259003,512,0
1607345403,1280,0
1607431803,1280,9728
1607518203,9472,2816
1607604603,0,8704
1607691003,0,11520
1607777403,0,4864
1607863803,256,0
1607950203,2048,0
1608036603,1792,9728
1608123003,0,12288
1608209403,7168,9728
1608295803,0,3840
1608382203,0,4864
1608468603,256,0
1608641403,0,12032
1608727803,512,3072
1608814203,2304,5120
1608900603,0,2560
1608987003,0,1024
1609073404,2048,1536
1609159803,2304,3584
1609246203,2048,2560
1609332603,1280,7424
1609419003,2304,6912
1609505403,20480,2304
1609591803,0,11776
1609678203,512,4352
1609764603,512,4608
1609851003,7936,4608
1609937404,7424,11776
1610023803,21248,12288
1610110203,13568,14336
1610196603,0,10752
1610283003,5632,13568
1610369403,1280,0
1610455803,512,4608
1610542203,9216,7168
1610628603,3072,9472
1610715003,0,4864
1610801403,0,4864
1611060603,0,9984
1611147004,512,2304
1611233403,11776,2048
1611319803,0,11520
1611406203,256,2816
1611492603,768,0
1611579003,2048,0
1611665403,1024,5376
1611751803,256,4608
1611838203,1024,3584
1611924603,0,3584
1612011003,0,9728
1612097403,8192,0
1612183803,1536,0
1612270203,1280,2560
1612356603,3328,2816
1612443003,5888,7936
1612529403,90112,7168
1612615804,1024,96512
1612745403,768,0
1612831803,256,4096
1612918203,512,8704
1613004606,768,6912
1613091003,0,14080
1613177403,256,3840
1613263803,256,0
1613350202,768,0
1613436603,256,8192
1613523003,768,3840
1613609403,4608,7680
1613695806,0,5120
1613782203,0,8192
1613868603,768,512
1613955003,2304,4096
1614041403,1536,7424
1614127803,0,5120
1614214203,1536,3328
1614300603,0,7168
1614387003,0,15104
1614473403,21248,0
1614559803,256,0
1614646203,1536,5632
1614732603,2048,5376
1614819003,6144,9472
1614905403,0,15616
1614991803,0,5888
1615078203,512,0
1615164603,256,2048
1615251003,1024,2304
1615337403,0,4352
1615423803,1792,11520
1615510203,0,7168
1615596603,0,4864
1615683003,34048,1280
1615855803,256,4608
1615942203,117760,61952
1616676603,49408,177664
1616763003,0,12032
1617353403,26624,36864
1618073403,768,54272
1618591803,14592,27136
1618678203,0,3328
1618764602,1280,0
