DateTime,AddedIPs,RemovedIPs
1642031787,15,42
1642033927,703,0
1642036093,23,21
1642038031,18,20
1642039928,9,19
1642042089,14,13
1642044029,24,53
1642045929,15,20
1642047844,14,19
1642049792,18,24
1642051686,19,15
1642053854,24,24
1642056012,43,31
1642057953,52,31
1642059849,43,30
1642061795,58,51
1642063689,41,37
1642065630,38,58
1642067528,33,38
1642069452,36,38
1642071366,35,43
1642073535,43,1400
1642075471,644,0
1642077373,50,44
1642079284,39,28
1642081233,52,23
1642083126,29,20
1642085292,26,27
1642087445,35,21
1642089399,20,34
1642091284,26,21
1642093449,29,16
1642095635,31,28
1642097526,28,10
1642099469,26,27
1642101367,33,23
1642103525,28,27
1642105448,31,29
1642107387,28,30
1642109286,24,40
1642111453,30,31
1642113391,30,15
1642115288,23,27
1642117205,29,32
1642119126,515,0
1642121287,19,33
1642123447,44,24
1642125366,39,30
1642127307,24,24
1642129215,40,17
1642131149,43,23
1642133049,36,26
1642134969,54,21
1642136907,28,10
1642138805,26,20
1642140969,30,15
1642142907,20,24
1642144825,46,17
1642146968,35,29
1642149128,40,29
1642151053,39,26
1642152988,25,36
1642154890,27,26
1642156805,23,13
1642158752,38,1265
1642160646,33,59
1642162572,741,0
1642164506,28,22
1642166410,29,27
1642168568,35,16
1642170730,36,12
1642172887,27,22
1642174832,28,15
1642176727,35,18
1642178648,25,22
1642180587,30,16
1642182488,31,19
1642184649,30,17
1642186565,32,81
1642188508,21,50
1642190414,33,51
1642192570,40,44
1642194508,21,37
1642196410,37,33
1642198569,27,45
1642200508,26,36
1642202405,21,44
1642204569,38,75
1642206507,659,0
1642208417,20,29
1642210568,23,14
1642212506,14,12
1642214412,27,8
1642216566,24,17
1642218726,12,17
1642220892,20,14
1642222806,13,15
1642224752,17,19
1642226650,15,13
1642228813,26,40
1642230727,14,66
1642232671,23,38
1642234566,15,36
1642236489,17,40
1642238670,31,28
1642240570,19,32
1642242731,31,39
1642244647,21,1559
1642246591,28,43
1642248486,731,0
1642250649,33,18
1642252811,29,43
1642254725,26,28
1642256678,37,14
1642258569,30,32
1642260508,22,36
1642262414,31,33
1642264329,46,42
1642266267,27,34
1642268169,32,22
1642270326,31,29
1642272246,25,20
1642274188,34,36
1642276087,34,34
1642278247,43,46
1642280164,39,34
1642282106,26,36
1642284012,55,28
1642286170,76,36
1642288107,57,33
1642290010,48,30
1642291946,622,0
1642293848,21,13
1642295789,25,25
1642297687,22,28
1642299848,43,15
1642301788,30,25
1642303928,28,33
1642305846,26,21
1642307788,69,35
1642309689,68,28
1642311627,75,49
1642313526,33,17
1642315447,51,13
1642317386,47,29
1642319285,32,28
1642321446,30,38
1642323388,19,30
1642325530,13,39
1642327471,26,20
1642329367,18,29
1642331527,29,1160
1642333447,44,15
1642335388,499,0
1642337286,26,17
1642339204,29,20
1642341147,45,26
1642343048,35,20
1642344987,47,33
1642346887,39,16
1642348814,52,17
1642350725,25,20
1642352893,27,22
1642355049,34,15
1642357013,26,19
1642358885,20,13
1642361045,24,24
1642362967,31,32
1642364906,18,10
1642366807,19,19
1642368968,32,25
1642371124,30,23
1642373050,20,22
1642374987,22,20
1642376889,17,17
1642378827,407,0
1642380728,22,17
1642382646,12,14
1642384590,25,16
1642386487,18,22
1642388650,26,28
1642390810,18,15
1642392748,27,9
1642394648,16,16
1642396564,19,17
1642398506,27,11
1642400410,20,15
1642402325,30,14
1642404270,25,17
1642406164,29,30
1642408328,37,11
1642410248,12,13
1642412194,25,21
1642414085,25,27
1642416248,30,21
1642418164,27,1547
1642420111,49,49
1642422005,917,0
1642424171,42,33
1642426108,35,26
1642428043,50,19
1642430169,49,35
1642432328,34,29
1642434246,35,26
1642436192,34,39
1642438085,43,33
1642440248,31,53
1642442191,31,66
1642444113,35,44
1642446034,25,74
1642447925,29,42
1642450089,85,54
1642452032,71,31
1642453930,47,35
1642455847,27,34
1642457789,39,39
1642459688,32,28
1642461607,42,53
1642463549,36,45
1642465450,786,0
1642467367,17,22
1642469311,22,17
1642471208,33,14
1642473127,26,29
1642475072,21,26
1642476970,37,24
1642479126,27,29
1642481289,28,29
1642483210,26,49
1642485147,29,51
1642487047,31,40
1642488966,21,64
1642490907,25,39
1642492807,34,40
1642494726,44,31
1642496670,30,23
1642498569,42,26
1642500507,21,28
1642502407,17,21
1642504567,45,1321
1642506485,46,41
1642508428,616,0
1642510330,53,23
1642512245,46,15
1642514191,50,38
1642516347,56,17
1642518248,21,21
1642520410,59,33
1642522568,38,20
1642524507,34,21
1642526406,45,21
1642528325,38,44
1642530269,27,19
1642532166,31,29
1642534107,33,20
1642536015,42,29
1642538171,37,33
1642540326,37,22
1642542487,30,14
1642544408,26,26
1642546567,43,30
1642548730,20,43
1642550892,487,0
1642552829,16,16
1642554730,9,15
1642556645,27,14
1642558594,20,34
1642560489,17,15
1642562651,16,15
1642564824,27,19
1642566747,24,13
1642568653,18,20
1642570587,32,33
1642572489,21,28
1642574431,16,14
1642576325,26,19
1642578247,19,23
1642580187,27,24
1642582090,28,21
1642584247,75,20
1642586406,67,20
1642588325,73,27
1642590271,45,1488
1642592170,67,34
1642594327,709,0
1642596247,43,23
1642598187,51,30
1642600088,53,30
1642602028,48,43
1642603929,32,20
1642605846,41,22
1642607787,40,32
1642609685,35,26
1642611605,39,25
1642613547,16,27
1642615447,26,25
1642617611,40,35
1642619766,38,35
1642621707,31,30
1642623607,36,27
1642625767,29,44
1642627926,31,32
1642630088,25,29
1642632272,21,21
1642634167,22,31
1642636326,19,32
1642638488,578,0
1642641607,37,31
1642643767,27,38
1642645926,38,30
1642647869,29,16
1642649769,14,30
1642651923,30,22
1642653868,28,26
1642655763,29,19
1642657705,25,23
1642659608,20,27
1642661770,33,24
1642663932,32,38
1642666086,36,49
1642668030,39,36
1642669929,18,26
1642672112,31,34
1642674006,73,17
1642675926,33,17
1642677870,20,1417
1642679765,44,59
1642681707,699,0
1642683611,31,11
1642685525,53,20
1642687469,41,29
1642689371,35,25
1642691548,35,22
1642693449,33,21
1642695606,28,33
1642697767,48,28
1642699711,23,27
1642701624,47,27
1642703769,42,22
1642705953,42,28
1642707870,20,24
1642709766,25,21
1642711926,42,38
1642713848,57,30
1642715787,34,36
1642717933,25,55
1642720089,31,46
1642722273,33,57
1642724169,589,0
1642726109,15,7
1642728005,17,8
1642730166,35,32
1642732110,20,17
1642734248,16,24
1642736192,20,18
1642738087,22,19
1642740247,20,28
1642742187,20,22
1642744087,23,24
1642746005,15,15
1642747951,22,21
1642749849,39,24
1642751788,36,21
1642753685,38,17
1642755627,33,41
1642757525,40,27
1642759688,38,38
1642761847,28,40
1642763789,25,1697
1642765930,36,45
1642767848,804,0
1642769787,25,21
1642771687,31,31
1642773608,25,23
1642775547,31,44
1642777449,26,27
1642779389,37,24
1642781284,34,29
1642783447,33,38
1642785368,33,31
1642787310,35,32
1642789207,20,28
1642791367,31,42
1642793307,23,31
1642795453,45,33
1642797389,31,43
1642799300,25,28
1642801229,33,32
1642803130,23,66
1642805046,21,47
1642806993,12,25
1642808887,30,24
1642811053,665,0
1642812988,31,19
1642814893,13,26
1642816829,15,23
1642818733,15,36
1642820647,18,19
1642822591,15,22
1642824725,17,31
1642826669,25,28
1642828573,71,24
1642830747,73,30
1642832646,38,27
1642834808,54,32
1642836764,38,32
1642838672,45,26
1642840568,45,42
1642842733,41,29
1642844670,38,25
1642846566,30,86
1642848730,32,31
1642850671,33,1458
1642852568,41,40
1642854730,729,0
1642856892,43,20
1642858827,45,39
1642860724,30,22
1642862672,29,23
1642864566,46,20
1642866727,28,14
1642868647,32,32
1642870588,44,32
1642872488,30,18
1642874649,28,28
1642876590,26,17
1642878489,18,34
1642880646,25,40
1642882567,23,49
1642884510,17,26
1642886406,13,36
1642888568,31,62
1642890509,21,30
1642892405,28,27
1642894324,22,31
1642896276,592,18
1642898169,19,21
1642900108,10,14
1642902005,21,25
1642904172,30,25
1642906109,16,17
1642908005,14,17
1642909925,12,13
1642911869,15,30
1642913766,15,26
1642915931,21,20
1642917871,16,22
1642919770,22,15
1642921950,15,33
1642923848,15,32
1642926010,26,51
1642927952,14,21
1642929849,14,42
1642931791,16,50
1642933689,28,29
1642935633,35,1501
1642937525,32,51
1642939451,813,0
1642941389,37,36
1642943288,48,29
1642945450,21,25
1642947607,38,25
1642949524,50,32
1642951471,45,20
1642953367,50,25
1642955312,58,20
1642957207,40,17
1642959370,75,42
1642961531,63,43
1642963689,40,39
1642965631,36,36
1642967551,25,31
1642969471,31,35
1642971369,46,40
1642973308,28,36
1642975208,34,27
1642977149,20,25
1642979059,34,28
1642980990,87,44
1642983127,584,0
1642985045,20,18
1642986988,36,22
1642988885,23,10
1642990805,19,13
1642992747,30,23
1642994669,23,16
1642996589,18,21
1642998486,23,18
1643000650,20,17
1643002808,20,28
1643004725,33,40
1643006670,24,24
1643008825,24,37
1643010751,28,29
1643012648,34,23
1643014590,22,36
1643016726,28,37
1643018887,38,25
1643021046,23,27
1643022991,42,1171
