DateTime,Entries,UniqueIPs
1642031787,2611,2611
1642033927,3314,3314
1642036093,3316,3316
1642038031,3314,3314
1642039928,3304,3304
1642042089,3305,3305
1642044029,3276,3276
1642045929,3271,3271
1642047844,3266,3266
1642049792,3260,3260
1642051686,3264,3264
1642053854,3264,3264
1642056012,3276,3276
1642057953,3297,3297
1642059849,3310,3310
1642061795,3317,3317
1642063689,3321,3321
1642065630,3301,3301
1642067528,3296,3296
1642069452,3294,3294
1642071366,3286,3286
1642073535,1929,1929
1642075471,2573,2573
1642077373,2579,2579
1642079284,2590,2590
1642081233,2619,2619
1642083126,2628,2628
1642085292,2627,2627
1642087445,2641,2641
1642089399,2627,2627
1642091284,2632,2632
1642093449,2645,2645
1642095635,2648,2648
1642097526,2666,2666
1642099469,2665,2665
1642101367,2675,2675
1642103525,2676,2676
1642105448,2678,2678
1642107387,2676,2676
1642109286,2660,2660
1642111453,2659,2659
1642113391,2674,2674
1642115288,2670,2670
1642117205,2667,2667
1642119126,3182,3182
1642121287,3168,3168
1642123447,3188,3188
1642125366,3197,3197
1642127307,3197,3197
1642129215,3220,3220
1642131149,3240,3240
1642133049,3250,3250
1642134969,3283,3283
1642136907,3301,3301
1642138805,3307,3307
1642140969,3322,3322
1642142907,3318,3318
1642144825,3347,3347
1642146968,3353,3353
1642149128,3364,3364
1642151053,3377,3377
1642152988,3366,3366
1642154890,3367,3367
1642156805,3377,3377
1642158752,2150,2150
1642160646,2124,2124
1642162572,2865,2865
1642164506,2871,2871
1642166410,2873,2873
1642168568,2892,2892
1642170730,2916,2916
1642172887,2921,2921
1642174832,2934,2934
1642176727,2951,2951
1642178648,2954,2954
1642180587,2968,2968
1642182488,2980,2980
1642184649,2993,2993
1642186565,2944,2944
1642188508,2915,2915
1642190414,2897,2897
1642192570,2893,2893
1642194508,2877,2877
1642196410,2881,2881
1642198569,2863,2863
1642200508,2853,2853
1642202405,2830,2830
1642204569,2793,2793
1642206507,3452,3452
1642208417,3443,3443
1642210568,3452,3452
1642212506,3454,3454
1642214412,3473,3473
1642216566,3480,3480
1642218726,3475,3475
1642220892,3481,3481
1642222806,3479,3479
1642224752,3477,3477
1642226650,3479,3479
1642228813,3465,3465
1642230727,3413,3413
1642232671,3398,3398
1642234566,3377,3377
1642236489,3354,3354
1642238670,3357,3357
1642240570,3344,3344
1642242731,3336,3336
1642244647,1798,1798
1642246591,1783,1783
1642248486,2514,2514
1642250649,2529,2529
1642252811,2515,2515
1642254725,2513,2513
1642256678,2536,2536
1642258569,2534,2534
1642260508,2520,2520
1642262414,2518,2518
1642264329,2522,2522
1642266267,2515,2515
1642268169,2525,2525
1642270326,2527,2527
1642272246,2532,2532
1642274188,2530,2530
1642276087,2530,2530
1642278247,2527,2527
1642280164,2532,2532
1642282106,2522,2522
1642284012,2549,2549
1642286170,2589,2589
1642288107,2613,2613
1642290010,2631,2631
1642291946,3253,3253
1642293848,3261,3261
1642295789,3261,3261
1642297687,3255,3255
1642299848,3283,3283
1642301788,3288,3288
1642303928,3283,3283
1642305846,3288,3288
1642307788,3322,3322
1642309689,3362,3362
1642311627,3388,3388
1642313526,3404,3404
1642315447,3442,3442
1642317386,3460,3460
1642319285,3464,3464
1642321446,3456,3456
1642323388,3445,3445
1642325530,3419,3419
1642327471,3425,3425
1642329367,3414,3414
1642331527,2283,2283
1642333447,2312,2312
1642335388,2811,2811
1642337286,2820,2820
1642339204,2829,2829
1642341147,2848,2848
1642343048,2863,2863
1642344987,2877,2877
1642346887,2900,2900
1642348814,2935,2935
1642350725,2940,2940
1642352893,2945,2945
1642355049,2964,2964
1642357013,2971,2971
1642358885,2978,2978
1642361045,2978,2978
1642362967,2977,2977
1642364906,2985,2985
1642366807,2985,2985
1642368968,2992,2992
1642371124,2999,2999
1642373050,2997,2997
1642374987,2999,2999
1642376889,2999,2999
1642378827,3406,3406
1642380728,3411,3411
1642382646,3409,3409
1642384590,3418,3418
1642386487,3414,3414
1642388650,3412,3412
1642390810,3415,3415
1642392748,3433,3433
1642394648,3433,3433
1642396564,3435,3435
1642398506,3451,3451
1642400410,3456,3456
1642402325,3472,3472
1642404270,3480,3480
1642406164,3479,3479
1642408328,3505,3505
1642410248,3504,3504
1642412194,3508,3508
1642414085,3506,3506
1642416248,3515,3515
1642418164,1995,1995
1642420111,1995,1995
1642422005,2912,2912
1642424171,2921,2921
1642426108,2930,2930
1642428043,2961,2961
1642430169,2975,2975
1642432328,2980,2980
1642434246,2989,2989
1642436192,2984,2984
1642438085,2994,2994
1642440248,2972,2972
1642442191,2937,2937
1642444113,2928,2928
1642446034,2879,2879
1642447925,2866,2866
1642450089,2897,2897
1642452032,2937,2937
1642453930,2949,2949
1642455847,2942,2942
1642457789,2942,2942
1642459688,2946,2946
1642461607,2935,2935
1642463549,2926,2926
1642465450,3712,3712
1642467367,3707,3707
1642469311,3712,3712
1642471208,3731,3731
1642473127,3728,3728
1642475072,3723,3723
1642476970,3736,3736
1642479126,3734,3734
1642481289,3733,3733
1642483210,3710,3710
1642485147,3688,3688
1642487047,3679,3679
1642488966,3636,3636
1642490907,3622,3622
1642492807,3616,3616
1642494726,3629,3629
1642496670,3636,3636
1642498569,3652,3652
1642500507,3645,3645
1642502407,3641,3641
1642504567,2365,2365
1642506485,2370,2370
1642508428,2986,2986
1642510330,3016,3016
1642512245,3047,3047
1642514191,3059,3059
1642516347,3098,3098
1642518248,3098,3098
1642520410,3124,3124
1642522568,3142,3142
1642524507,3155,3155
1642526406,3179,3179
1642528325,3173,3173
1642530269,3181,3181
1642532166,3183,3183
1642534107,3196,3196
1642536015,3209,3209
1642538171,3213,3213
1642540326,3228,3228
1642542487,3244,3244
1642544408,3244,3244
1642546567,3257,3257
1642548730,3234,3234
1642550892,3721,3721
1642552829,3721,3721
1642554730,3715,3715
1642556645,3728,3728
1642558594,3714,3714
1642560489,3716,3716
1642562651,3717,3717
1642564824,3725,3725
1642566747,3736,3736
1642568653,3734,3734
1642570587,3733,3733
1642572489,3726,3726
1642574431,3728,3728
1642576325,3735,3735
1642578247,3731,3731
1642580187,3734,3734
1642582090,3741,3741
1642584247,3796,3796
1642586406,3843,3843
1642588325,3889,3889
1642590271,2446,2446
1642592170,2479,2479
1642594327,3188,3188
1642596247,3208,3208
1642598187,3229,3229
1642600088,3252,3252
1642602028,3257,3257
1642603929,3269,3269
1642605846,3288,3288
1642607787,3296,3296
1642609685,3305,3305
1642611605,3319,3319
1642613547,3308,3308
1642615447,3309,3309
1642617611,3314,3314
1642619766,3317,3317
1642621707,3318,3318
1642623607,3327,3327
1642625767,3312,3312
1642627926,3311,3311
1642630088,3307,3307
1642632272,3307,3307
1642634167,3298,3298
1642636326,3285,3285
1642638488,3863,3863
1642641607,3869,3869
1642643767,3858,3858
1642645926,3866,3866
1642647869,3879,3879
1642649769,3863,3863
1642651923,3871,3871
1642653868,3873,3873
1642655763,3883,3883
1642657705,3885,3885
1642659608,3878,3878
1642661770,3887,3887
1642663932,3881,3881
1642666086,3868,3868
1642668030,3871,3871
1642669929,3863,3863
1642672112,3860,3860
1642674006,3916,3916
1642675926,3932,3932
1642677870,2535,2535
1642679765,2520,2520
1642681707,3219,3219
1642683611,3239,3239
1642685525,3272,3272
1642687469,3284,3284
