DateTime,AddedIPs,RemovedIPs
1635665308,1,17
1635679927,3,8
1635694588,6,7
1635709721,3,5
1635724325,1,5
1635738965,0,7
1635753604,3,6
1635768508,2,9
1635783573,5,9
1635798243,6,11
1635812908,3,6
1635827527,4,6
1635842169,4,7
1635856828,2,17
1635871698,3,10
1635886565,7,5
1635901231,5,18
1635915868,2,14
1635930485,3,16
1635945373,3,6
1635960309,2,7
1635975124,8,15
1635989791,5,14
1636004674,1,13
1636019285,3,6
1636034165,4,5
1636048799,1,4
1636063447,0,10
1636078089,1,12
1636092750,2,10
1636107386,3,17
1636122005,0,8
1636136917,8,11
1636151754,5,6
1636166412,4,8
1636181048,2,6
1636195706,3,9
1636210325,1,14
1636224965,2,14
1636239621,1,20
1636254247,1,9
1636268890,4,12
1636283793,1,13
1636313045,8,30
1636327707,1,12
1636342347,4,9
1636356971,5,13
1636371576,7,9
1636386245,0,7
1636401189,1,12
1636415765,3,20
1636430428,0,13
1636445067,1,15
1636459924,1,9
1636474866,3,11
1636489446,0,13
1636504109,2,6
1636518724,1,6
1636533388,1,3
1636548004,0,22
1636563188,3,16
1636577765,2,10
1636592415,3,21
1636607060,3,11
1636621686,1,17
1636636323,0,16
1636650986,2,11
1636665631,4,10
1636680268,4,10
1636695127,1,15
1636709770,3,8
1636724429,0,11
1636739071,3,9
1636753683,2,7
1636768565,1,8
1636783212,10,8
1636797870,4,6
1636812748,0,6
1636827364,4,7
1636842026,5,8
1636856646,4,8
1636871287,3,9
1636885925,0,9
1636900568,2,5
1636915206,5,6
1636929870,0,7
1636944506,4,5
1636959151,0,12
1636973769,2,8
1636988417,4,12
1637003068,3,10
1637017924,2,6
1637032568,4,6
1637047226,0,9
1637061856,0,5
1637076507,1,7
1637091146,1,3
1637106008,0,4
1637120648,4,0
1637135528,0,3
1637150187,25,2
1637164846,1,6
1637179448,1,5
1637194106,2,3
1637208747,4,6
1637223391,3,8
1637238009,1,6
1637252648,3,5
1637267308,1,7
1637281945,6,6
1637296572,3,7
1637311230,0,8
1637325845,2,7
1637340507,0,6
1637355141,3,8
1637369766,0,6
1637384413,3,15
1637399047,0,8
1637413684,2,13
1637428346,2,9
1637442985,2,11
1637457847,2,17
1637472517,2,8
1637487146,4,5
1637501790,3,4
1637516430,1,5
1637531051,0,4
1637545709,0,6
1637560346,2,4
1637574968,11,7
1637589615,2,4
1637604271,2,4
1637619124,0,14
1637633786,1,2
1637648414,3,3
1637663046,3,6
1637677946,0,8
1637692567,2,7
1637707204,7,3
1637721845,4,14
1637736506,1,8
1637751147,2,5
1637765787,2,13
1637780410,1,5
1637795287,1,9
1637809924,1,7
1637824566,4,5
1637839205,3,9
1637853846,27,4
1637868729,5,5
1637883611,5,5
1637898249,1,8
1637913127,4,7
1637927766,2,6
1637942439,1,4
1637957286,0,7
1637971927,1,9
1637986567,2,3
1638001205,0,6
1638015848,3,22
1638030507,1,9
1638045124,3,15
1638059787,2,7
1638074428,5,18
1638089044,3,11
1638103712,1,5
1638118326,2,10
1638132965,5,12
1638147652,4,10
1638162247,1,3
1638177127,1,8
1638191789,2,12
1638206426,2,9
1638221046,3,9
1638235685,0,9
1638250325,3,7
1638264969,1,19
1638279626,0,12
1638294272,6,14
1638308907,1,35
1638323556,0,7
1638338186,1,19
1638353048,2,12
1638367952,18,21
1638382584,2,17
1638397206,3,25
1638411846,2,10
1638426489,1,16
1638441149,3,6
1638455789,1,19
1638470427,7,15
1638485069,4,25
1638499930,7,20
1638514814,2,13
1638529451,11,15
1638544329,1,23
1638559229,2,22
1638573849,1,22
1638588485,3,17
1638603370,3,17
1638618007,0,13
1638632907,2,13
1638647548,2,11
1638662166,1,18
1638677047,0,18
1638691927,27,15
1638706586,2,21
1638721469,3,17
1638736324,0,13
1638751210,1,12
1638766088,1,10
1638780968,7,12
1638795570,3,25
1638810493,0,11
1638825368,2,14
1638840005,4,32
1638854644,2,18
1638869528,2,18
1638884191,1,24
1638898811,2,31
1638913688,1,27
1638928325,4,30
1638942966,2,18
1638957630,1,21
1638972488,1,24
1638987130,1,16
1639001765,1,20
1639016407,3,18
1639031046,1,17
1639045708,4,10
1639060324,3,14
1639075211,1,28
1639089868,3,19
1639104747,2,11
1639119365,2,20
1639134009,3,14
1639148646,1,16
1639163526,5,20
1639178188,5,16
1639192827,2,16
1639207448,5,16
1639222328,2,19
1639236969,0,21
1639251850,1,18
1639266730,5,19
1639281365,2,14
1639296013,3,25
1639310648,1,14
1639325547,2,17
1639340165,1,20
1639355069,2,12
1639369947,2,18
1639384591,4,16
1639399228,4,18
1639413846,0,15
1639428730,1,23
1639443390,0,21
1639458018,2,17
1639472668,3,34
1639487527,1,21
1639502167,0,18
1639516830,2,20
1639531447,1,18
1639546324,1,15
1639560969,24,11
1639575607,0,19
1639590245,2,18
1639604885,2,12
1639619523,4,27
1639634166,1,18
1639648804,0,16
1639663446,1,20
1639678108,2,20
1639692726,4,20
1639707387,3,15
1639722003,4,19
1639736668,2,17
1639751305,3,12
1639765928,2,11
1639780568,2,15
1639795205,3,7
1639809868,2,18
1639824486,2,11
1639839124,2,10
1639853786,2,15
1639868611,1,16
1639883526,3,20
1639898188,3,12
1639913050,0,11
