DateTime,AddedIPs,RemovedIPs
1598182945,32,552
1598269445,552,23
1598355907,23,928
1598442413,928,339
1598528839,339,416
1598615455,416,77
1598701880,77,637
1598788421,637,402
1598874987,402,405
1598961586,405,26
1599048003,26,29
1599134463,29,71
1599220986,71,5235
1599307445,5235,2716
1599393904,2715,30
1599480364,31,1081
1599566824,1081,326
1599653283,326,36
1599739743,36,68447
1599826203,68446,286
1599912663,287,49
1599999123,49,3108
1600085584,3108,1127
1600172044,1126,310
1600258502,311,2529
1600344963,2529,700
1600431493,700,65
1600518004,65,127
1600604473,127,1526
1600690974,1526,599
1600777402,599,533
1600863862,533,1804
1600950312,1804,288
1601036860,288,32
1601123447,32,1064
1601209872,1063,861
1601296361,862,363
1601382845,347,304
1601469559,320,401
1601556066,401,479
1601642567,479,308
1601729108,308,4208
1601815566,4208,1386
1601902035,1386,39
1601988508,39,4169
1602075013,4169,28
1602161471,27,2855
1602247968,2856,343
1602334472,343,16872
1602420961,16872,1660
1602507512,1404,907
1602593953,1163,14
1602680406,14,5432
1602766862,5432,309
1602853323,309,1555
1602939803,1555,7095
1603026259,7095,4265
1603112706,4265,2244
1603199233,2244,801
1603285718,801,29901
1603372174,29901,1037
1603458672,1037,600
1603545125,600,17783
1603631592,17783,616
1603718116,616,2878
1603804600,2878,2169
1603891071,2169,4154
1603977604,4154,631
1604064077,631,11277
1604150550,11277,858
1604237036,858,8984
1604323488,8984,1763
1604409912,1763,16274
1604496370,16274,64
1604669472,64,3406
1604755928,3406,2502
1604842534,2502,2330
1604928990,2330,8552
1605015508,8552,4577
1605101975,4577,1110
1605188404,1110,2287
1605274872,2287,1505
1605361449,1505,1235
1605447902,1235,17
1605534375,17,16848
1605620886,16848,34410
1605707350,34410,266
1605793809,266,575
1605880272,575,377
1605966768,377,305
1606053244,305,1295
1606139723,1295,275
1606226347,275,34
1606312803,34,980
1606399266,980,8721
1606485734,8721,15172
1606572187,15172,2376
1606658686,2376,4889
1606745138,4889,5453
1606831618,5453,718
1606918030,718,152
1607004528,152,868
1607090955,868,88
1607177477,88,667
1607264005,667,268
1607350464,268,12386
1607436902,12385,410
1607523433,411,1247
1607609887,1247,1310
1607696407,1310,906
1607782878,906,573
1607869513,573,400
1607956018,400,39
1608042448,39,630
1608129002,630,799
1608215472,798,2094
1608301924,2095,4372
1608388386,4372,80
1608474854,80,582
1608561379,582,591
1608647964,591,277
1608734407,277,395
1608820881,394,3379
1608907539,3380,27195
1608993975,27195,3293
1609080472,3293,88
1609167034,88,5455
1609253478,5455,852
1609340056,852,880
1609426547,877,3231
1609512964,3234,8253
1609599540,8253,2711
1609685946,2711,362
1609772402,362,444
1609858863,444,3882
1609945322,3882,1115
1610031782,1115,902
1610118246,902,553
1610204702,553,1688
1610291162,1688,881
1610377623,881,407
1610464082,407,571
1610550566,571,1890
1610637002,1890,328
1610723462,328,20828
1610809922,20828,308
1610896382,308,86
1610982842,86,264
1611069302,264,121
1611155762,121,67290
1611242291,67290,4403
1611328758,4403,175
1611415211,175,547
1611501665,547,444
1611588131,444,313
1611674589,313,9134
1611761106,9134,531
1611847801,531,2823
1611934277,2823,636
1612020729,636,16547
1612107484,16547,378
1612193954,378,799
1612280404,799,16147
1612366873,16147,120
