DateTime,AddedIPs,RemovedIPs
1598041835,5668,5668
1598128303,5727,5727
1598215017,4602,4602
1598301428,1492,1492
1598387934,1958,1958
1598474378,1865,1865
1598561066,1574,1574
1598647503,1609,1609
1598734008,1937,1937
1598820585,1930,1930
1598907034,2667,2667
1598993476,2106,2106
1599080159,2051,2051
1599166570,1919,1919
1599253108,2050,2050
1599339590,2095,2095
1599426007,2149,2149
1599512467,1879,1879
1599598989,1871,1871
1599685453,2347,2347
1599771911,2134,2134
1599858407,2101,2101
1599945012,2221,2221
1600031521,2239,2239
1600118023,2266,2266
1600204503,2385,2385
1600291220,2633,2633
1600377759,3209,3209
1600464298,2771,2771
1600550834,3044,3044
1600637286,3121,3121
1600723801,2881,2881
1600810279,3150,3150
1600896726,3132,3132
1600983274,3512,3512
1601069802,3625,3625
1601156262,3536,3536
1601242704,3573,3573
1601329152,4001,4001
1601415604,4012,4012
1601502250,3942,3942
1601588702,4112,4112
1601675206,6020,6020
1601761693,4085,4085
1601848144,4454,4454
1601934661,4782,4782
1602021206,4638,4638
1602107692,4663,4663
1602194188,9649,9649
1602280668,9732,9732
1602367101,4562,4562
1602453590,4473,4473
1602540008,4171,4171
1602626464,4080,4080
1602712931,3761,3761
1602799391,3763,3763
1602885846,4080,4080
1602972360,4599,4599
1603058833,4666,4666
1603145319,4375,4375
1603231830,4429,4429
1603318285,4250,4250
1603404779,4521,4521
1603491256,4756,4756
1603577702,4653,4653
1603664587,4246,4246
1603751318,4227,4227
1603838089,4506,4506
1603924697,4944,4944
1604011147,4918,4918
1604097606,4947,4947
1604184223,5017,5017
1604270702,4929,4929
1604357220,4771,4771
1604443878,4804,4804
1604530388,5179,5179
1604616867,5404,5404
1604703488,5277,5277
1604789955,5132,5132
1604876403,5091,5091
1604962866,5201,5201
1605049328,5399,5399
1605135792,5266,5266
1605222396,5201,5201
1605308852,5317,5317
1605395293,5264,5264
1605481824,5166,5166
1605568304,5191,5191
1605654722,5007,5007
1605741227,4843,4843
1605827651,4714,4714
1605914102,4435,4435
1606000611,4330,4330
1606087065,4436,4436
1606173492,4465,4465
1606259969,4586,4586
1606346423,4191,4191
1606432942,3048,3048
1606519399,3117,3117
1606606198,2626,2626
1606692603,2357,2357
1606779101,2493,2493
1606865887,2860,2860
1606952386,2692,2692
1607038857,2497,2497
1607125265,2243,2243
1607211781,1931,1931
1607298302,1911,1911
1607384802,1841,1841
1607471242,2119,2119
1607557688,2156,2156
1607644299,1969,1969
1607730823,1898,1898
1607817475,1876,1876
1607903962,2240,2240
1607990404,2003,2003
1608076864,2156,2156
1608163323,2000,2000
1608249818,2030,2030
1608336442,2176,2176
1608422932,2428,2428
1608509379,2370,2370
1608595927,2019,2019
1608682474,1988,1988
1608768903,2047,2047
