DateTime,AddedIPs,RemovedIPs
1598364167,78308,3013
1598450596,3013,1736
1598537100,1736,1113
1598623514,1113,5678
1598709997,5678,2454
1598796559,2454,1504
1598883076,1504,11720
1598969715,11720,863
1599056223,863,13098
1599142688,13098,1609
1599229208,1609,768
1599315704,768,153720
1599402230,153720,1461
1599488655,1461,75737
1599575397,75737,66448
1599661812,66448,131756
1599748355,131756,5592
1599834950,5592,148693
1599921475,148693,75249
1600007892,75249,9028
1600094360,9028,131808
1600180810,66272,119467
1600267312,185003,131928
1600353905,131928,72544
1600440393,72544,198900
1600526835,198900,66477
1600613288,66477,1044
1600699773,1044,17473
1600786215,17473,66184
1600872881,66184,68601
1600959394,68601,200033
1601045837,200033,1672
1601132287,1672,4453
1601218809,4453,134641
1601305318,134641,142184
1601391779,142184,66256
1601478264,66256,15089
1601564714,15089,132856
1601651211,132856,3313
1601737627,3313,66705
1601824285,66705,76700
1601910727,76700,713
1601997185,713,132222
1602083693,132222,132760
1602170106,132760,66624
1602256625,66624,197488
1602343085,197488,5036
1602429545,5036,2292
1602516007,2292,1120
1602602465,1120,67588
1602688925,67588,2752
1602775385,2752,74041
1602861905,74041,7760
1602948365,7760,131457
1603034885,131457,68230
1603121348,68230,65744
1603207807,65744,733
1603294311,733,10961
1603380785,10961,71536
1603467246,71536,6801
1603553705,6801,69500
1603640225,69500,66397
1603726686,66397,2830
1603813146,2830,5846
1603899608,5846,67332
1603986125,67332,1404
1604072585,1404,64180
1604159059,64180,889
1604245505,889,131832
1604331965,131832,66676
1604418429,66676,1763
1604504886,1763,83336
1604591346,83336,69720
1604677818,69720,673
1604764325,673,66952
1604850845,66952,66286
1604937305,66286,2357
1605023807,2357,3061
1605110226,3061,698
1605196713,698,2653
1605283214,2653,68505
1605369727,68505,3492
1605456246,3492,199085
1605542716,199085,331706
1605629322,331706,66572
1605715815,66572,1845
1605802306,1845,1337
1605888729,1337,134812
1605975243,134812,9520
1606148217,9520,9857
1606234683,9857,593
1606321153,593,74465
1606407612,74465,66721
1606494135,66721,776
1606580611,776,67721
1606667058,67721,8813
1606753610,8813,66736
1606840205,66736,99504
1606926691,99504,132668
1607013224,132668,6332
1607099658,6332,83440
1607186262,83440,66619
1607272716,66619,64564
1607359208,64564,4993
1607445746,4993,132793
1607532310,132793,677
1607618809,677,66248
1607705347,66248,1981
1607792065,1981,67372
1607878549,67372,43138
1607964996,43138,43408
1608051496,43408,1418
1608138006,1418,70605
1608224500,70605,872
1608310937,872,1484
1608397395,1484,12068
1608483879,12068,2124
1608570336,2124,640
1608656767,640,66244
1608743270,66244,119425
1608829929,119425,131992
1608916422,131992,1909
1609002888,1909,3475
1609089364,3475,1685
1609175903,1685,133628
1609262351,133628,12701
1609348988,12701,65998
1609435462,65998,199265
1609522208,199265,132456
1609608701,132456,21700
1609695255,21700,2277
1609782124,2277,66269
1609868650,66269,1556
1609955135,1556,66628
1610041613,66628,1904
1610128150,1904,67160
1610214875,67160,133568
1610301400,133568,3372
1610387826,3372,5162
1610474351,5162,74034
1610560808,74034,66476
1610647370,66476,496
1610733960,496,4597
1610820377,4597,108726
1610906864,108726,268417
1610993319,268417,733
1611079748,733,66384
1611166275,66384,9511
1611252725,9511,6116
1611339378,6116,66160
1611425895,66160,1117
1611512354,1117,451964
1611598808,451964,68488
1611685498,68488,131863
1611772096,131863,83338
1611858740,83338,66908
1611945261,66908,6081
1612031791,6081,69213
1612118301,69213,2244
1612204788,2244,2587
1612291210,2587,133936
1612377904,133936,67788
1612464424,67788,67310
1612550918,67310,2364
1612637347,2364,66685
1612723908,66685,2013
1612810412,2013,70497
1612896943,70497,1617
1612983370,1617,34372
1613070011,34372,86936
1613156471,86936,34848
1613243171,34848,4450
1613329673,4450,82345
1613416101,82345,411538
1613502669,411538,972
1613589125,972,139577
1613675940,139577,9468
1613762397,9468,2556
1613848808,2556,53321
1613935429,53321,7157
1614022029,7157,222396
1614108516,222396,67006
1614195009,67006,2833
1614281497,2833,133338
1614367964,133338,1755
1614454611,1755,890
1614541046,890,132573
1614627485,132573,66169
1614714010,66169,11219
1614800623,11219,68216
1614887052,68216,67376
1614973539,67376,1868
1615059986,1868,68556
1615146426,68556,2233
1615232946,2233,2784
1615319430,2784,149679
1615405996,149679,66896
1615492517,66896,5188
1615579165,5188,1969
1615665610,1969,65872
1615752077,65872,70472
1615838529,70472,1132
1615925158,1132,1568
1616011583,1568,66008
1616098104,66008,135410
1616184648,135410,4161
1616271066,4161,66024
1616357525,66024,829
1616444012,829,134192
1616530605,134192,408
1616617050,408,68713
1616703565,68713,397752
1616790008,397752,4512
1617309524,4512,70604
1618001409,70604,66261
1618087880,66261,260
1618174347,260,68568
1618260983,68568,67150
1618520405,67150,66481
1618606886,66481,13072
1618693339,13072,1133
1618779833,1133,71013
1618866385,71013,708
1618952989,708,65929
1619039409,65929,66924
1619125926,66924,69972
1619212418,69972,135360
1619298847,135360,135388
1619385349,135388,8895
1619471869,8895,71832
1619558350,71832,6016
1619644810,6016,131892
1619731365,131892,66530
1619817887,66530,132788
1619904404,132788,68048
1619991046,68048,85345
1620077498,85345,66856
1620163926,66856,3448
1620250465,3448,1786
1620337075,1786,68013
1620423518,68013,66476
1620510008,66476,66852
1620596479,66852,131840
1620683010,131840,9340
1620769533,9340,4312
1620856080,4312,66652
1620942589,66652,2436
1621029130,2436,72404
1621115884,72404,67028
1621202357,67028,133692
1621288846,133692,12920
1621375270,12920,205
1621461789,205,66616
1621548284,66616,70020
1621721179,70020,67832
1621807631,67832,66512
1621894217,66512,175
1621980704,175,197706
1622067126,197706,32931
1622153608,32931,2513
1622240106,2513,9104
1622326690,9104,68936
1622413209,68936,67028
1622499784,67028,33788
1622586269,33788,2256
1622672777,2256,134017
1622759305,134017,66936
1622845811,66936,33316
1622932284,33316,2889
1623018792,2889,145
1623105266,145,1850
1623191728,1850,9544
1623278296,9544,2874
1623364795,2874,69489
1623451207,69489,131420
1623537667,131420,2800
1623624204,2800,304808
1623710675,304808,1464
1623797136,1464,66476
1623883595,66476,2820
1623970054,2820,72808
1624056568,72808,1204
1624143008,1204,131716
1624229602,131716,372
1624316205,372,10173
1624402688,10173,27607
1624489150,27607,137587
1624575614,137587,397
1624662247,397,4084
1624748825,4084,66448
1624835359,66448,2173
1624921860,2173,131989
1625008335,131989,8960
1625094805,8960,2229
1625181330,2229,131681
1625267828,131681,1536
1625354419,1536,1188
1625440874,1188,140421
1625527356,140421,131442
1625613791,131442,1489
1625700365,1489,69265
1625787009,69265,10237
1625873485,10237,5424
1625959972,5424,1896
1626046557,1896,68148
1626132985,68148,1736
1626219475,1736,5965
1626306008,5965,2169636
1626392535,2169636,67530
1626479137,67530,1468
1626565596,1468,70829
1626652181,70829,17525
1626738780,17525,73366
1626825303,73366,1039
1626911786,1039,2260
1626998412,2260,6256
1627084876,6256,11229
1627171354,11229,134553
1627257874,134553,1709
1627344384,1709,74252
1627430836,74252,74985
1627517349,74985,16576
1627603854,16576,67668
1627690367,67668,66393
1627776804,66393,131884
1627863294,131884,134036
1627949711,134036,4236
1628036198,4236,198396
1628122750,198396,264132
1628209215,264132,5728
1628295771,5728,393928
1628382317,393928,74972
1628468766,74972,2385
1628555244,2385,37504
1628641833,37504,77868
1628728294,77868,68854
1628815100,68854,66538
1628901551,66538,132260
1628988010,132260,4048
1629074526,4048,66906
1629161104,66906,71976
1629247594,71976,8588
1629334033,8588,66688
1629420549,66688,108892
1629507012,108892,33120
1629593507,33120,1301
1629680254,1301,4120
1629766754,4120,75901
1629853221,75901,75108
1629939669,75108,3151
1630026129,3151,692
1630112589,692,72637
1630199049,72637,131916
1630285509,131916,1254
1630371968,1254,67244
1630458430,67244,70412
1630544891,70412,916
1630631347,916,66112
1630717809,66112,573128
1630804269,573128,66320
1630890725,66320,129336
1630977188,129336,1097
1631063648,1097,553
1631150112,553,488
1631236569,488,2756
1631323028,2756,71549
1631409488,71549,2180
1631495948,2180,2009
1631582408,2009,67665
1631668868,67665,133937
1631755328,133937,132424
1631841788,132424,67128
1631928248,67128,126312
1632014708,126312,165052
1632101168,165052,73080
1632187629,73080,2160
1632274088,2160,99276
1632360549,99276,67280
1632447008,67280,66632
1632533471,66632,1684
1632619929,1684,69417
1632706390,69417,1436
1632792848,1436,72200
1632879309,72200,3309
1632965768,3309,5594
1633052228,5594,67857
1633138688,67857,1808
1633225149,1808,66180
1633311608,66180,1152
1633398069,1152,1213
1633484529,1213,2788
1633570990,2788,201500
1633657448,201500,1044
1633743909,1044,66792
1633830369,66792,7277
1633916828,7277,132764
1634003290,132764,68585
1634089749,68585,70012
1634176209,70012,83132
1634262668,83132,884
1634349130,884,1812
1634435589,1812,132936
1634522049,132936,1842
1634608508,1842,2664
1634694969,2664,132784
1634781431,132784,197240
1634867888,197240,71329
1634954348,71329,3292
1635040820,3292,3096
1635127266,3096,2564
1635213756,2564,9858
1635300185,9858,2405
1635386669,2405,506
1635473122,506,760
1635559626,760,397
1635646089,397,4836
1635732548,4836,67380
1635819008,67380,1824
1635905470,1824,197200
1635991926,197200,340
1636078389,340,593
1636164849,593,2568
1636251312,2568,72314
1636424229,72314,82994
1636510689,82994,67674
1636597148,67674,792
1636683609,792,454
1636770069,454,66893
1636856528,66893,5232
1636942990,5232,1433
1637029450,1433,132768
1637115909,132768,1232
1637202368,1232,1436
1637288829,1436,131704
1637375288,131704,2865
1637461749,2865,945
1637548209,945,65973
1637634672,65973,67281
1637721128,67281,75245
1637807589,75245,130997
1637894049,130997,66776
1637980510,66776,1216
1638066970,1216,1532
1638153429,1532,143847
1638239889,143847,67336
1638326348,67336,67180
1638412809,67180,5294
1638499269,5294,4280
1638585729,4280,5545
1638672188,5545,67334
1638758649,67334,68208
1638845110,68208,65997
1638931568,65997,2704
1639018026,2704,67316
1639104489,67316,739
1639190948,739,81233
1639277409,81233,69401
1639363869,69401,65748
1639450329,65748,263380
1639536789,263380,1628
1639623248,1628,4648
1639709708,4648,9776
1639796168,9776,67316
1639882628,67316,11104
1639969089,11096,272888
1640055549,272896,203213
1640142010,203213,66953
1640228585,66953,8286
1640315110,8286,3328
1640401566,3328,369
1640488028,369,5256
1640574595,5256,264258
1640661033,264258,66440
1640747526,66440,69596
1640834045,69596,1500
1640920512,1500,4621
1641006991,4621,6605
1641093442,6605,70699
1641180008,70699,67901
1641266623,67901,5376
1641353089,5376,98892
1641439566,98892,2085
1641526088,2085,18881
1641612606,18881,36993
1641699074,36993,133404
1641785706,133404,68524
1641872291,68524,67108
1641958752,67108,4048
1642045209,4048,67680
1642131672,67680,36388
1642218130,36388,66908
1642304591,66908,66180
1642391049,66180,5387
1642477519,5387,12536
1642563969,12536,102172
1642650430,102172,69538
1642736899,69538,67428
1642823351,67428,75408
1642909811,75408,66101
1642996270,66101,9080
