DateTime,AddedIPs,RemovedIPs
1598187604,1356,314817
1598274118,314817,65640
1598360567,65640,16604
1598447046,16604,66697
1598533925,66697,33912
1598620445,33912,17392
1598706919,17392,7280
1598793375,7280,17156
1598879823,17156,17372
1598966333,17372,5846097
1599052798,5846097,264572
1599139204,264572,2704
1599225794,2704,16794
1599312308,16794,40145
1599398786,40145,120
1599485253,120,67148
1599571696,67148,21520
1599658206,21520,71768
1599744917,71768,25760
1599831382,25760,131829
1599917940,131829,264132
1600004406,264132,102512
1600090867,102512,95992
1600177391,95992,24300
1600263928,24300,9557
1600350434,9557,53616
1600436897,53616,16972
1600523370,16972,68042
1600610023,68042,3224
1600696525,3224,27258
1600782975,27258,616
1600869423,616,1809
1600955925,1809,5172
1601042351,5172,65688
1601128808,65688,131370
1601215264,131370,2204
1601301747,2204,115852
1601388238,115852,37760
1601474708,37760,525768
1601561179,525760,2704
1601647639,2712,111734
1601734088,111734,3384
1601820613,3384,66132
1601907128,66132,1854
1601993629,1854,197961
1602080048,197961,972
1602166584,972,163984
1602253027,163984,42681
1602339563,42681,2176
1602426004,2176,131753
1602512463,131753,19812
1602598994,19812,8617
1602685448,8617,2416
1602772033,2416,2857
1602858562,2857,267016
1602945005,267016,1733
1603031467,1733,18484
1603117959,18484,33708
1603204471,33708,33392
1603291004,33392,72008
1603377449,72008,82692
1603463942,82692,18778
1603550406,18778,66729
1603636925,66729,80324
1603723397,80324,3900
1603809903,3900,19134
1603896368,19134,61848
1604069343,61848,201000
1604155957,201000,673
1604242453,673,12836
1604329002,12836,4712
1604415510,4712,18652
1604501948,18644,820
1604588403,828,99441
1604674864,99441,35821
1604761327,35821,4608
1604847789,4608,348668
1604934260,348668,140144
1605020704,140144,10392
1605107165,10392,16792
1605193636,16792,1748
1605280121,1748,1481
1605366617,1481,7040
1605453125,7040,132172
1605539608,132172,136
1605626144,136,656
1605712609,656,852
1605799027,852,2460
1605885508,2460,34480
1605971947,34480,43140
1606058404,43140,1136
1606144923,1136,4228528
1606231443,4228528,1670
1606317962,1670,1649
1606404428,1649,197384
1606490947,197384,1128156
1606577408,1128156,249
1606663914,249,13512
1606750324,13512,33745
1606836792,33745,5317
1606923278,5317,12768
1607009733,12768,653
1607096183,653,557951
1607182683,557951,37384
1607269167,37384,19337
1607355604,19337,2976
1607442123,2976,3240
1607528596,3240,1829
1607615102,1829,279356
1607701587,279356,114788
1607788082,114788,156068
1607874549,156068,584
1607961062,584,11816
1608047548,11816,784
1608134043,784,146829
1608220524,146829,33492
1608307022,33460,74273
1608393508,74305,35164
1608479988,35164,7005
1608566409,7005,139808
1608652865,139808,25400
1608739326,25400,41696
1608825790,41696,213364
1608912249,213364,98819
1608998712,98819,805472
1609085187,805472,172264
1609171701,172264,4036
1609258153,4036,1156
1609344605,1156,140973
1609431124,140973,11108
1609517620,11108,9280
1609604104,9280,18761
1609690583,18761,33588
1609777092,33588,9076
1609863548,9076,527016
1609950005,527016,380
1610036602,380,2452
1610123049,2452,11873
1610209674,11865,19064
1610296106,19072,142033
1610382603,142033,3397
1610469079,3397,20880
1610555656,20880,8577
1610642144,8569,83581
1610728575,83589,35511
1610815056,35511,16524
1610901537,16524,21624
1610987947,21624,17188
1611074409,17188,11096
1611160925,11096,9073
1611247502,9073,420
1611334013,420,214140
1611420448,214140,79140
1611506920,79140,4520
1611593350,4520,8716
1611680080,8716,11040
1611766648,11040,9056
1611853133,9056,263774
1611939552,263774,338036
1612026004,338036,23561
1612112468,23561,1745
1612198929,1745,9484
1612285410,9484,17613
1612371851,17613,18640
1612458329,18640,8492
1612544858,8492,397808
1612631304,397808,82532
1612717923,82532,74093
1612804488,74093,66420
1612891149,66420,4754
1612977604,4754,67968
1613064201,67968,98785
1613150645,98785,1244
1613237175,1244,476
1613323720,476,428
1613410176,428,21924
1613496610,21924,924
1613583116,924,329408
1613669773,329408,23460
1613756241,23460,10966
1613842778,10966,568
1613929207,568,181380
1614015723,181380,16568
1614102188,16568,132224
1614188649,132224,68640
1614275133,68640,3453
1614361623,3453,11104
1614448121,11104,262868
1614534545,262868,65061
1614621164,65061,33902
1614707623,33902,4576
1614794089,4576,50389
1614880552,50389,92192
1614967087,92192,4977
1615053549,4977,75048
1615140004,75048,197977
1615226469,197977,203144
1615312932,203144,20353
1615399515,20353,65852
1615485983,65852,2052
1615572486,2052,8308
1615659040,8308,808
1615745524,808,5881000
1615831991,5881000,1488
1615918447,1488,18340
1616004904,18340,1221
1616091375,1221,2640
1616177851,2640,232435
1616264286,232435,10313
1616350770,10313,110196
1616437203,110196,101305
1616523688,101305,16622
1616610147,16622,83096
1616696597,83096,1081
1616783066,1081,66705
1617301805,66705,5784
1617993495,5784,65800
1618252878,65800,1874
1618339323,1874,6012
1618685187,6012,19852
1618771644,19852,27992
1618858088,27992,1505
1618944548,1505,676
1619031022,676,7452
1619117473,7452,640
1619203940,640,422853
1619290391,422853,11152
1619376858,11152,264116
1619463322,264116,4072
1619549777,4072,58400
1619636236,58400,2464
1619722688,2464,176364
1619809154,176364,264044
1619895606,264044,2153
1619982093,2153,4624
1620068533,4624,52192
1620154991,52192,127184
1620241451,127184,2402
1620327911,2402,7744
1620414369,7744,998
1620500827,998,66728
1620587288,66728,69104
1620673747,69104,809686
1620760223,809686,24085
1620846681,24085,17052
1620933126,17052,10088
1621019609,10088,5012
1621106104,5012,1006
1621192805,1006,89017
1621279356,89017,84253
1621365790,84253,270884
1621452282,270884,6533
1621538748,6533,2784
1621625234,2784,1777
1621711807,1777,72195
1621798284,72195,25533
1621884829,25533,67202
1621971428,67202,3312
1622057973,3312,3520
1622144404,3520,6364
1622230923,6364,50574
1622317430,50574,62696
1622403916,62696,30240
1622490365,30240,33308
1622576938,540,342848
1622663344,375616,96284
1622749924,96284,25844
1622836488,25844,8544
1622922954,8544,3000
1623009487,3000,1461
1623095948,1461,50596
1623182403,50596,1768
1623268870,1768,1396
1623355540,1396,197045
1623442014,197045,132510
1623528615,132510,3476
1623615076,3476,102608
1623701525,102608,7401
