DateTime,AddedIPs,RemovedIPs
1538984297,485,526
1539070755,520,489
1539157205,458,623
1539243672,494,495
1539330123,511,455
1539416642,502,511
1539503162,481,485
1539589626,471,448
1539676088,477,524
1539762602,467,446
1539849068,449,445
1539935582,468,488
1540022059,471,468
1540108518,422,479
1540195021,487,431
1540281542,442,494
1540368004,437,419
1540454463,437,448
1540540925,420,413
1540627401,422,477
1540713845,441,433
1540800362,424,408
1540886881,434,441
1540973345,438,457
1541059812,500,441
1541146263,454,432
1541232727,440,417
1541319242,431,453
1541405762,435,414
1541492282,456,424
1542270428,817,908
1542356887,426,406
1542443347,407,404
1542529802,377,418
1542616265,407,427
1542702781,378,402
1542789245,354,368
1542875703,404,439
1542962172,394,387
1543048631,423,402
1543135085,395,394
1543221550,430,394
1543308005,410,404
1543394478,407,429
1543480927,377,387
1543567399,399,398
1543653843,500,405
1543740303,415,393
1543826822,401,404
1543913307,405,442
1543999760,411,408
1544086261,442,419
1544259189,396,407
1544345702,485,418
1544432221,395,414
1544518686,447,464
1544605202,444,432
1544691663,493,459
1544778181,425,455
1544864648,437,416
1544951111,421,471
1545037563,484,441
1545124028,422,467
1545210484,438,424
1545296949,459,417
1545383411,433,410
1545469863,411,424
1545556329,478,468
1545642797,416,439
1545729253,449,478
1545815703,418,452
1545902165,472,417
1545988630,441,446
1546075108,443,478
1546161564,455,452
1546248009,298,574
1546334477,306,323
1546420925,428,309
1546553043,422,392
1546639504,372,352
1546726023,342,341
1546812492,345,322
1546898949,375,335
1546985406,337,352
1547071890,344,358
1547158342,316,355
1547244798,334,337
1547331247,737,364
1547417704,561,497
1547504175,517,554
1547590682,524,534
1547677203,522,544
1547763683,501,557
1547850127,500,523
1547936597,504,507
1548023054,470,454
1548109511,469,483
1548196023,486,491
1548282542,455,483
1548369003,454,446
1548455476,444,434
1548541923,457,490
1548628394,464,457
1548714848,481,462
1548801309,430,443
1548887797,430,448
1548974250,436,437
1549060685,551,473
1549147147,514,456
1549233605,439,454
1549320072,493,466
1549406527,489,460
1549493032,437,491
1549579502,405,436
1549665980,408,387
1549752446,393,469
1549838905,411,416
1549925350,393,435
1550011803,417,374
1550098267,404,448
1550184722,407,449
1550271244,383,393
1550357719,413,415
1550444222,315,364
1550530729,423,415
