DateTime,AddedIPs,RemovedIPs
1597998248,273,8204
1598084709,8204,22
1598171166,22,1520
1598257623,1520,804
1598344089,804,331
1598430549,331,8716
1598517006,8716,4071
1598603463,4071,16
1598689924,16,147
1598776384,147,26
1598862849,26,261
1598949304,261,94
1599035769,94,65
1599122227,65,19
1599208684,19,145
1599295144,145,524
1599381604,524,8199
1599468064,8199,63
1599554523,63,12
1599640989,12,19
1599727449,19,2052
1599813902,2052,2537
1599900364,2537,282
1599986825,282,1034
1600073290,1034,530
1600159744,530,263
1600246206,263,14
1600332668,14,29
1600419124,29,74
1600505582,74,33
1600592050,33,11
1600678509,11,21
1600764962,20,272
1600851437,273,1103
1600937890,1103,268
1601024344,268,270
1601110803,270,2081
1601197262,2081,14
1601283728,14,1134
1601370197,1134,265
1601456648,265,23
1601543106,23,11
1601629572,11,80
1601716023,80,33
1601802492,33,1773
1601888944,1773,13
1601975402,13,1561
1602061864,1561,535
1602148322,535,15
1602234782,15,4117
1602321244,4117,499
1602494162,499,269
1602580625,269,4206
1602667091,4206,3307
1602753546,3307,2132
1602840003,2131,792
1602926467,792,4113
1603012925,4114,523
1603099383,523,634
1603185843,634,41
1603272303,41,345
1603358763,345,773
1603445222,773,169
1603531682,169,294
1603618149,294,4146
1603704603,4146,4144
1603791071,4144,4075
1603877524,4075,416
1603963990,416,560
1604050445,560,1071
1604136907,1071,270
1604223368,270,18
1604309823,18,592
1604396301,592,151
1604482745,151,9
1604569202,8,65
1604655665,66,65564
1604742125,65564,14
1604828582,14,22
1604915047,21,1048
1605001503,1049,110
1605087967,110,278
1605174424,278,523
1605260886,523,8456
1605347346,8456,4620
1605433805,4620,46
1605520265,46,33
1605606732,33,39
1605693183,39,4358
1605779642,4358,105
1605866104,105,794
1605952567,794,140
1606039030,140,9
1606125482,9,8
1606211943,8,150
1606298402,148,4064
1606384863,4066,30
1606471322,30,53
1606557783,53,271
1606644243,271,270
1606730704,270,29
1606817173,29,524
1606903628,524,65
1606990087,65,775
1607076544,775,27
1607163004,27,15
1607249464,15,79
1607335925,79,802
1607422392,802,785
1607508844,785,17
1607595301,17,14
1607681766,14,18
1607768231,17,287
1607854686,288,287
1607941148,287,1576
1608027607,1320,527
1608114070,783,41
1608200526,41,3664
1608286983,3664,273
1608373447,273,904
1608459907,904,266
1608546366,266,9103
1608632830,9103,1034
1608719282,1034,103
1608805752,103,41
1608892202,40,305
1608978664,306,169
1609065123,169,285
1609151591,285,788
1609238045,788,272
1609324509,272,29
1609410969,29,87
1609497426,87,343
1609583882,343,798
1609670347,798,14
1609756802,14,18
1609843262,18,276
1609929723,276,267
1610016184,267,10
1610102650,10,277
1610189103,277,1049
1610275564,1049,6074
1610362023,6074,296
1610448491,296,205
1610534947,189,166
1610621402,182,1042
1610707866,1042,36
1610794329,36,24
1610880788,24,478
1610967246,478,845
1611053712,845,16
1611140163,16,14
1611226630,14,204
1611313083,203,269
1611399544,270,305
1611486002,305,60
1611572462,60,4132
1611658922,4132,1539
1611745384,1539,72
1611831843,72,928
1611918303,928,37
1612004763,36,1040
1612091229,1040,43
1612177682,44,87
1612264144,87,794
1612350604,794,521
1612437062,520,88
1612523523,89,10
1612609982,10,8
1612696443,8,265
1612782902,265,1061
1612869367,1061,377
1612955825,377,51
1613042286,51,83
1613128742,83,9
1613215203,9,2053
1613301666,2053,23
1613388127,22,283
1613474587,284,256
1613561047,256,270
1613647503,270,305
1613733997,305,2284
1613820431,2284,341
1613906884,341,25
1613993351,25,2633
1614079802,2633,556
1614166266,556,279
1614252723,279,14
1614339186,14,274
1614425647,274,279
1614512102,279,660
1614598573,660,285
1614685028,285,27
1614771483,27,168
1614857949,168,524
1614944402,524,31
1615030868,31,270
1615117329,270,522
1615203786,522,23
1615290254,23,391
1615376703,391,282
1615463171,282,138
1615549627,138,715
1615636088,715,2121
1615722548,2121,274
1615809002,274,8282
1615895468,8282,4328
1615981931,4328,59
1616068388,59,32
1616154848,32,46
1616241302,46,44
1616414223,44,556
1616500689,556,79
1616587151,79,277
1616673602,276,299
1616760064,299,25
1617278822,26,591
1618056966,591,14
1618575723,14,285
1618662183,285,268
1618748643,267,304
1618835102,305,6055
1618921562,6055,4349
1619008022,4349,11
1619094485,11,310
1619180964,310,85
1619267403,85,15
1619353875,15,11
1619440341,11,22
1619526827,22,529
1619613262,529,32
1619699706,32,22
1619786168,22,2055
1619872622,2055,545
1619959088,545,296
1620045572,296,401
1620132002,401,8464
1620218467,8464,280
1620304935,280,220
1620391431,220,74
1620477854,74,36
1620564303,36,33
1620650764,33,1857
1620737222,1855,748
1620823699,750,8
1620910150,8,57
1620996602,57,794
1621083073,794,813
1621169523,813,269
1621255992,269,57
1621342459,57,50
1621428903,50,22
1621515372,22,41
1621601824,41,26
1621688282,26,339
1621774745,339,389
1621861202,389,17
1621947665,17,282
1622034125,282,415
1622120602,415,843
1622207045,843,15
1622293502,15,19
1622379965,18,5116
1622466427,5117,817
1622552956,817,187
1622639407,187,400
1622725863,400,15767
1622812327,15766,277
1622898787,277,16396
1622985264,16397,17
1623071702,17,9
1623158162,9,400
1623244627,400,60
1623331097,60,48
1623417572,48,275
1623504003,275,785
1623590468,785,85
1623676947,85,1559
1623763401,1559,32
1623849852,32,795
1623936303,795,2613
1624022769,2613,44
1624109225,44,871
1624195685,871,8211
1624282163,8211,795
1624368603,795,4022
1624455079,4022,239
1624541539,239,27
1624628000,27,1861
1624714450,1861,789
1624800902,789,28
1624887367,28,74
1624973840,74,282
1625060299,282,2070
1625146749,2070,32
1625233203,32,8267
1625319663,8266,2076
1625406127,2077,278
1625492584,278,70
1625579061,70,807
1625665503,807,283
1625751981,283,11
1625838435,11,264
1625924886,264,174
1626011354,174,172
1626097804,172,79
1626184267,78,146
1626270722,147,794
1626357186,793,50
1626443648,51,278
1626530110,278,568
1626616569,568,1358
1626703021,1358,104
1626789488,104,17
1626875948,17,527
1626962403,527,3522
1627048866,3522,1135
1627135386,1135,845
1627221842,845,547
1627308302,547,14
1627394762,14,289
1627481223,288,18
1627567682,19,303
1627654142,303,269
1627740603,269,17
1627827071,17,548
1627913539,548,263
1627999992,263,181
1628086466,181,16
1628172901,16,2295
1628259368,2294,272
1628345829,273,8201
1628432284,8201,18
1628518751,18,36
1628605257,36,282
1628691667,282,100
1628778122,100,290
1628864582,290,321
1628951042,321,112
1629037502,112,1038
1629123962,1037,1226
1629210422,1227,8201
