DateTime,Entries,UniqueIPs
1598743688,48,50
1598832293,48,50
1598917209,87,90
1599002167,90,93
1599091215,50,50
1599175927,97,98
1599260889,98,99
1599349449,50,50
1599434409,95,98
1599522967,50,50
1599607928,96,97
1599696251,50,50
1599780972,98,100
1599865694,92,96
1599954487,49,50
1600039690,92,96
1600128250,46,50
1600213208,93,98
1600297933,95,96
1600386730,48,50
1600471929,91,96
1600556890,88,96
1600645686,50,50
1600730651,98,100
1600819448,49,50
1600903928,87,94
1600989127,82,95
1601077687,44,50
1601165045,46,50
1601309287,44,50
1601336165,77,87
1601420891,80,92
1601507765,46,50
1601596817,42,50
1601682255,80,90
1601766966,79,88
1601855285,47,50
1601940251,86,95
1602028816,45,50
1602113768,82,92
1602198491,81,90
1602287049,48,50
1602371529,86,96
1602460324,45,50
1602545048,80,89
1602633363,48,50
1602717848,83,91
1602806420,46,50
1602891130,79,89
1602975849,78,89
1603064169,43,50
1603148890,82,94
1603237687,46,50
1603322649,81,90
1603411211,48,50
1603496167,88,93
1603580900,90,95
1603669451,44,50
1603753928,84,95
1603842247,46,50
1603926731,82,93
1604015049,48,50
1604099525,93,97
1604187847,48,50
1604272325,86,96
1604360885,47,50
1604445366,84,93
1604533686,46,50
1604618166,85,92
1604706486,47,50
1604790967,87,95
1604879284,45,50
1604963765,89,95
1605050405,49,50
1605138966,48,50
1605223448,96,99
1605312018,47,50
1605396727,91,97
1605481446,93,97
1605570247,49,50
1605654966,98,99
1605743532,50,50
1605828247,96,96
1605916822,50,50
1606001286,99,99
1606089615,50,50
1606174084,96,96
1606262420,49,49
1606347130,97,98
1606435448,47,50
1606519931,92,97
1606608248,45,49
1606692967,92,97
1606777685,96,97
1606866245,47,50
1606950964,95,99
1607039526,50,50
1607124004,97,98
1607212326,47,50
1607297051,91,99
1607382248,93,98
1607470566,49,50
1607555529,94,96
1607644091,47,50
1607728567,95,99
1607817127,48,50
1607901610,94,97
1607990430,45,50
1608075368,94,100
1608160086,98,100
1608248411,47,50
1608333369,91,98
1608421927,47,50
1608506650,86,94
1608595217,47,50
1608679929,86,93
1608768250,45,50
1608852732,84,90
1608937450,86,93
1609025767,48,50
1609110249,87,93
1609199051,47,50
1609283766,86,92
1609372568,48,50
1609457532,95,97
1609480568,50,50
1609545854,92,95
1609630566,50,53
1609715288,49,52
1609803608,48,50
1609888568,54,56
1609977129,49,50
1610062087,54,55
1610150423,50,50
1610235369,55,55
1610320088,53,53
1610408409,50,50
1610492889,51,51
1610581207,50,50
1610665928,53,53
1610754487,50,50
1610839208,52,52
1610927767,50,50
1611012489,52,52
1611101050,50,50
1611185769,51,51
1611270491,51,51
1611358807,50,50
1611444252,51,51
1611532888,50,50
1611617773,51,51
1611702488,52,52
1611790806,50,50
1611877686,50,50
1611962652,54,54
1612048093,52,52
1612136408,50,50
1612221126,55,55
1612309686,50,50
1612394648,55,55
1612482968,50,50
1612568168,52,52
1612653128,53,53
1612741685,50,50
1612825928,53,53
1612912088,50,50
1613000647,50,50
1613085125,51,51
1613173928,50,50
1613258647,51,51
1613346967,50,50
1613431448,97,99
1613516647,98,100
1613606168,45,50
1613691371,79,89
1613775847,77,89
1613864697,41,50
1613949367,73,89
1614038428,41,50
1614123612,71,87
1614208331,71,86
1614296887,44,50
1614381852,82,94
1614470428,41,50
1614554888,82,92
1614643448,49,50
1614728411,85,93
1614813130,73,88
1614901929,44,50
1614986413,79,95
1615075224,42,50
1615161626,46,50
1615247286,76,88
1615332006,87,99
1615421166,47,50
1615506005,91,95
1615592408,45,50
1615677127,78,90
1615765450,38,50
1615849926,72,87
1615938487,42,50
1616023209,75,91
1616111768,49,50
1616196486,90,98
1616285047,38,50
1616369768,74,91
1616454491,83,94
1616542809,37,50
1616628246,72,85
1616716817,40,50
1617360118,41,50
1618099688,43,50
1618186566,42,50
1618271052,68,92
1618528089,65,86
1618616887,41,50
1618704487,43,50
1618789688,69,88
1618874650,66,87
1618963688,38,50
1619049370,68,83
1619134327,69,88
1619219766,68,84
1619308817,38,50
1619393770,62,85
1619480887,45,50
1619566328,70,87
1619655130,45,50
1619740086,67,92
1619825046,62,86
1619913850,39,50
1619998327,70,86
1620083767,70,87
1620172818,40,50
1620258247,69,87
1620342726,59,82
1620431288,43,50
1620516725,68,89
1620601933,62,89
1620690731,38,50
1620776408,66,81
1620861847,68,89
1620950648,41,50
1621036326,74,86
1621121288,68,91
1621209682,41,50
1621294806,72,88
1621382166,42,50
1621467846,72,87
1621554011,71,85
1621640891,41,50
1621727532,45,50
1621812009,83,91
1621897931,74,94
1621985527,43,50
1622070488,78,91
1622160033,44,50
1622245688,80,90
1622331473,78,90
1622417531,72,90
1622503214,84,97
1622592018,45,50
1622679851,50,50
1622761695,96,98
1622848808,49,50
1622935687,49,50
1623022814,50,50
1623109686,50,50
1623195851,99,99
1623282250,99,100
1623369371,50,50
1623456493,41,50
1623542419,87,98
1623629293,48,50
1623715692,97,99
1623802088,96,99
1623887287,94,98
1623973932,49,50
1624060570,50,50
1624146249,97,99
1624231446,89,100
1624320249,49,50
1624405448,96,98
1624490890,89,99
1624579688,48,50
1624664648,96,100
1624750087,84,100
1624836250,84,98
1624921931,96,98
1625011448,41,50
1625096408,88,99
1625182330,92,97
1625267771,87,99
1625353690,88,99
1625442488,50,50
1625528170,93,98
1625613131,81,89
1625702891,47,50
1625788328,84,92
1625873529,88,96
1625958492,88,94
1626047053,38,50
1626132253,84,96
1626221532,47,50
1626306967,85,100
1626392408,86,100
1626477608,90,95
1626566649,46,50
1626651849,90,97
1626738008,93,97
1626823939,82,96
1626909848,82,97
1626995767,95,98
1627082169,50,50
1627170968,49,50
1627256888,92,95
1627343286,93,96
1627429208,94,98
1627516328,48,50
1627601773,86,99
1627687689,86,99
1627773369,94,99
1627859528,89,98
1627949048,50,50
1628034247,98,98
1628119927,94,100
1628205368,91,99
1628294166,48,50
1628380087,92,96
1628465050,95,99
1628550971,94,99
1628640011,48,49
1628725451,96,99
1628811372,96,98
1628897048,98,99
1628985847,50,50
1629071525,98,100
1629156968,95,96
1629242406,97,97
1629331926,49,50
1629417127,94,99
1629502329,89,99
1629588006,89,98
1629676566,49,50
1629761768,95,98
1629847206,96,97
1629932885,93,100
1630022165,46,50
1630106648,93,98
1630193046,84,99
1630278972,79,96
1630368254,49,50
1630451290,93,99
1630537689,93,99
1630626726,49,50
1630711691,88,96
1630797367,92,98
1630887131,47,50
1630983368,48,50
1631057768,97,100
1631143206,96,97
1631229367,98,99
1631315524,92,96
1631404324,49,50
1631489769,92,96
1631577125,47,50
1631662804,95,98
1631748486,100,100
1631833932,98,99
1631923221,47,50
1632007927,91,98
1632093127,85,98
1632180250,50,50
1632268568,40,50
1632354248,89,100
1632440172,98,99
1632525607,96,98
1632614648,49,50
1632699369,93,98
1632784569,92,100
1632873126,49,50
1632959054,96,98
1633044007,87,100
1633132822,49,50
1633218010,95,97
1633303684,83,97
1633389369,87,100
1633477928,48,50
1633564087,86,100
1633649049,85,100
1633734966,95,99
1633824015,39,50
1633909928,85,100
1633995126,96,100
1634080804,87,100
1634170086,49,50
1634256247,96,100
1634341923,90,99
1634427124,78,90
1634512803,90,100
1634601848,48,50
1634687528,90,100
1634773447,91,99
1634860087,46,50
1634946250,95,100
1635032888,49,50
1635118570,86,100
1635203766,79,96
1635290169,47,50
1635376571,49,50
1635462726,89,98
1635549606,48,50
1635635532,94,98
1635721925,86,98
1635808327,48,50
1635895207,49,50
1635981132,96,99
1636068009,44,50
1636154889,48,50
1636240806,94,99
1636328166,49,50
1636414084,96,97
1636500247,91,95
1636586647,93,98
1636672568,94,99
1636762084,50,50
1636848251,94,97
1636934168,93,98
1637019609,94,98
1637104808,87,96
1637190971,84,99
1637276888,90,100
1637366889,50,50
1637452810,95,99
1637538731,93,99
1637624892,95,99
1637691134,96,99
1637710572,140,144
1637796248,93,98
1637881931,91,97
1637968329,80,92
1638057367,47,50
1638142809,85,100
1638228249,86,98
1638313932,93,96
1638403452,49,50
1638488651,92,98
1638573848,91,99
1638663129,48,50
1638746886,95,100
1638835686,50,50
1638921130,93,98
1639007047,86,97
1639092489,85,96
1639178166,95,99
1639267209,50,50
1639353367,92,99
1639439049,91,96
1639524489,91,96
1639610170,88,96
1639696326,92,96
1639785130,48,50
1639870086,91,95
1639956249,95,99
1640041685,94,98
1640130967,49,50
1640216647,96,100
1640303049,39,50
1640388971,78,92
1640475372,47,50
1640560807,77,92
1640650327,47,50
1640735769,84,92
1640821691,89,96
1640907131,87,97
1640992808,88,98
1641015852,43,50
1641082087,88,100
1641168017,87,97
1641253686,85,95
1641337689,92,96
1641426967,49,50
1641512409,94,98
1641599049,50,50
1641684009,94,96
1641769690,89,95
1641858728,50,50
1641944172,92,98
1642030327,90,99
1642116247,92,96
1642205288,47,49
1642291233,92,96
1642376171,90,97
1642461605,87,94
1642550888,50,50
1642636567,89,97
1642721770,87,99
1642806969,95,98
1642893126,86,100
1642982167,41,50
