DateTime,AddedIPs,RemovedIPs
1597899365,9,19
1597987685,13,19
1598072165,16,0
1598160488,8,30
1598244965,6,0
1598333284,12,23
1598418250,14,18
1598503216,13,0
1598591530,19,34
1598678407,11,18
1598763126,10,18
1598851446,17,9
1598936414,16,13
1599021364,13,0
1599110405,17,26
1599195126,19,0
1599280326,14,31
1599368650,9,15
1599453847,5,8
1599542166,13,14
1599627203,16,0
1599715687,14,31
1599800165,18,0
1599888727,11,47
1599973929,5,0
1600058886,3,14
1600147688,10,21
1600232652,8,0
1600317369,16,22
1600406166,15,8
1600491125,12,10
1600579927,7,34
1600664650,26,11
1600750329,14,0
1600838646,13,14
1600923128,14,0
1601012165,7,22
1601096887,12,24
1601182327,14,0
1601307129,5,15
1601357523,19,18
1601442968,10,0
1601528412,7,20
1601616963,4,26
1601701924,34,0
1601790484,30,31
1601874967,31,12
1601959925,26,0
1602048246,12,20
1602132965,6,0
1602221525,11,37
1602306246,10,0
1602394565,6,34
1602481204,19,6
1602565688,12,0
1602654249,15,8
1602739203,9,0
1602824164,15,10
1602912725,3,28
1602997447,8,0
1603085769,8,15
1603170489,12,0
1603259052,13,43
1603343765,14,14
1603428499,16,0
1603517525,12,23
1603602012,11,0
1603690568,7,20
1603775288,10,9
1603863607,13,0
1603948326,6,14
1604036644,10,17
1604121366,17,4
1604209684,3,22
1604294164,5,22
1604380565,20,0
1604468884,13,67
1604553366,22,19
1604641742,16,11
1604726164,7,16
1604814485,7,12
1604899204,7,8
1604987524,11,18
1605072008,8,0
1605160327,4,27
1605244805,4,0
1605333365,10,29
1605418085,4,3
1605504485,4,0
1605589450,15,17
1605678006,9,11
1605762724,6,11
1605851285,11,14
1605936005,6,25
1606024326,3,13
1606108804,1,0
1606196977,10,20
1606281603,5,0
1606370167,12,18
1606454647,13,0
1606542965,5,22
1606627448,5,0
1606716006,3,21
1606800724,2,0
1606885446,1,8
1606974248,2,31
1607058725,3,0
1607147056,3,37
1607231527,3,0
1607320084,2,12
1607405285,4,0
1607493606,4,16
1607578805,10,0
1607663287,8,14
1607751364,0,5
1607836325,5,3
1607924884,5,9
1608009846,2,6
1608098405,4,14
1608183130,4,10
1608271449,6,6
1608356647,2,13
1608441126,1,0
1608529926,6,11
1608614406,5,0
1608702965,4,12
1608787449,8,0
1608875767,1,19
1608960486,3,0
1609048807,3,15
1609133527,19,0
1609222333,6,8
1609307052,2,0
1609391766,1,5
1609480565,9,7
1609565048,1,0
1609653607,0,6
1609738326,1,0
1609826886,1,4
1609911609,1,0
1609996327,1,4
1610085126,0,5
1610169848,2,7
1610258406,2,10
1610343125,1,0
1610431447,0,7
1610515928,2,0
1610604248,0,8
1610777524,1,9
1610862248,1,0
1610947205,1,4
1611035527,2,8
1611208817,0,10
1611378732,0,8
1611467285,0,1
1611552247,1,3
1611640888,5,18
1611725531,2,9
1611816007,1,5
1611900966,1,1
1611985926,0,9
1612159688,1,0
1612244166,1,0
1612332965,0,4
1612502166,1,1
1612591220,1,2
1612676165,1,0
1612764729,1,4
1612850164,1,0
1612935126,5,1
1613023685,0,2
1613196964,14,0
1613281685,0,1
1613455258,30,2
1613540167,10,1
1613625716,16,0
1613714416,14,0
1613798884,15,0
1613887725,4,0
1613972652,13,0
1614057849,14,0
1614146646,16,5
1614231364,14,0
1614320164,13,2
1614404884,14,0
1614489607,18,1
1614577924,19,0
1614662647,13,0
1614751450,17,0
1614836404,7,0
1614924727,15,0
1615009243,20,0
1615095126,9,1
1615181289,15,0
1615270325,20,2
1615355290,13,0
1615440484,12,1
1615528884,17,5
1615613529,12,0
1615700166,12,14
1615788486,9,0
1615872968,12,0
1615961764,18,33
1616046248,15,0
1616134804,15,14
1616219525,12,10
1616308329,18,11
1616392817,16,4
1616477525,9,0
1616566325,17,25
1616651285,17,15
1616739847,24,15
1617360115,32,99
1618122724,58,123
1618205767,12,13
1618294087,15,6
1618551125,48,31
1618640166,14,37
1618723927,13,0
1618812725,12,27
1618898165,13,0
1618983368,15,18
1619072647,20,25
1619157614,20,0
1619242804,16,17
1619332326,11,51
1619417046,11,0
1619503925,12,0
1619589366,24,0
1619678406,14,0
1619763131,14,0
1619848329,10,0
1619936885,5,0
1620021366,5,27
1620106810,10,0
1620196326,6,0
1620281287,11,0
1620369604,21,0
1620454564,15,0
1620540014,18,0
1620625208,15,12
1620713525,10,17
1620799687,22,27
1620884886,13,0
1620974165,16,37
1621059365,16,17
1621144325,11,11
1621232886,10,11
1621317681,27,8
1621406647,22,12
1621492568,24,15
1621577773,16,22
1621664409,21,0
1621750807,13,33
1621835527,15,8
1621925047,33,14
1622008565,19,0
1622097847,26,30
1622183287,23,17
1622268726,15,0
1622355133,12,26
1622441053,16,9
1622530085,12,10
1622615291,17,10
1622699528,22,6
1622788811,21,7
1622872333,15,0
1622959287,22,23
1623046810,15,34
1623132731,13,12
1623219365,19,9
1623305533,19,21
1623392650,14,14
1623480013,18,12
1623565929,10,0
1623653050,14,25
1623738970,12,11
1623825125,18,22
1623910329,14,26
1623997932,17,0
1624083854,10,16
1624169526,12,13
1624258328,10,40
1624343524,15,11
1624428730,17,22
1624514168,20,0
1624602726,15,53
1624688168,16,0
1624773852,10,21
1624859764,18,29
1624949052,17,25
1625034727,14,15
1625119686,19,0
1625205364,17,21
1625294884,20,40
1625380806,15,0
1625466006,13,31
1625551218,16,0
1625640489,20,28
1625726411,20,16
1625811608,19,23
1625900484,21,14
1625985367,11,13
1626070086,20,0
1626159367,21,26
1626244809,20,0
1626330249,16,13
1626415447,13,22
1626504730,17,27
1626589926,15,0
1626675366,12,9
1626761530,25,21
1626847284,17,0
1626936727,14,29
1627023620,19,18
1627109047,36,15
1627194247,7,0
1627280168,15,13
1627366567,17,22
1627452245,13,22
1627539609,18,0
1627625052,7,15
1627715047,22,30
1627800968,14,22
1627886646,6,0
1627972326,18,9
1628057528,14,16
1628143450,14,34
1628232488,20,0
1628317683,13,19
1628403368,14,20
1628492415,10,17
1628577846,11,33
1628663284,20,23
1628748726,10,0
1628834646,17,25
1628923924,11,32
1629009367,8,13
1629094808,12,0
1629180248,13,14
1629269288,16,33
1629354969,19,19
1629440405,21,12
1629525844,18,0
1629615848,5,43
1629701529,12,12
1629787683,19,22
1629873126,21,17
1629959047,9,15
1630045209,13,18
1630131125,17,0
1630220425,7,36
1630306088,11,0
1630391772,19,20
1630478886,23,23
1630564808,17,20
1630649768,22,15
1630739050,14,14
1630824489,13,18
1630910650,11,12
1630995129,24,0
1631084409,29,14
1631169848,39,31
1631255525,30,15
1631341211,18,17
1631429527,13,10
1631515447,17,0
1631601606,13,16
1631686332,18,0
1631775607,18,28
1631861285,10,0
1631948414,15,41
1632034084,12,17
1632119768,4,6
1632207128,8,0
1632291846,7,12
1632377527,16,19
1632464647,21,25
1632552247,9,22
1632637925,12,12
1632726255,8,9
1632811687,11,0
1632896405,19,14
1632986170,17,40
1633071130,9,21
1633156085,7,0
1633245129,8,39
1633328886,7,0
1633414565,8,8
1633504325,14,34
1633589285,11,28
1633674967,13,0
1633759925,13,30
1633849449,9,59
1633934886,9,16
1634020803,14,0
1634106483,4,17
1634192403,10,14
1634281923,12,42
1634367365,10,0
1634452085,6,15
1634537764,9,15
1634627051,11,17
1634711768,13,0
1634797204,23,12
1634883845,18,10
1634969765,14,27
1635056409,8,0
1635145690,12,24
1635230884,18,10
1635317765,18,0
1635403925,13,33
1635490329,22,17
1635576725,13,0
1635662887,5,8
1635749047,16,11
1635835925,21,0
1635922325,11,14
1636008486,29,10
1636095124,15,0
1636182013,23,21
1636268166,23,15
1636354815,14,10
1636440966,18,0
1636526646,23,8
1636611847,16,15
1636701125,21,14
1636786086,23,11
1636872011,16,0
1636957211,16,12
1637046485,16,15
1637131924,23,11
1637218567,18,0
1637304247,28,40
1637390412,29,13
1637476327,21,15
1637562007,15,8
1637648410,18,14
1637691130,11,0
1637737684,16,0
1637823368,24,28
1637909050,7,0
1637995449,18,13
1638080648,20,23
1638170405,10,22
1638255371,17,15
1638340806,21,0
1638426485,24,18
1638515767,16,43
1638602647,17,14
1638688092,14,23
1638773049,15,0
1638858726,17,18
1638946330,19,12
1639034168,18,44
1639118403,15,0
1639204087,12,35
1639293367,4,20
1639379053,8,19
1639464964,23,12
1639550883,43,15
1639636565,31,0
1639725604,15,42
1639811285,12,21
1639896723,34,25
1639981924,17,0
1640071448,33,44
1640157126,33,16
1640242814,15,0
1640328723,12,22
1640414884,18,30
1640501288,7,34
1640586968,13,0
1640676484,15,28
1640762403,21,0
1640848324,24,38
1640934252,10,22
1641019930,14,21
1641105847,12,0
1641191531,5,19
1641278885,16,10
1641364808,28,13
1641454084,18,36
1641539535,17,15
1641626406,10,12
1641711366,11,11
1641797046,12,5
1641885847,31,13
1641971525,17,20
1642057927,15,26
1642143367,30,28
1642228809,18,17
1642349047,15,15
1642430647,15,26
1642515847,21,22
1642605124,11,31
1642691047,26,34
1642776246,17,19
1642861449,8,17
1642950965,11,19
