DateTime,AddedIPs,RemovedIPs
1598755204,36,0
1598839926,39,44
1598928724,44,82
1599013685,40,0
1599098887,40,42
1599187448,40,75
1599272648,35,0
1599360965,36,80
1599446170,46,37
1599530646,36,0
1599619454,42,77
1599704166,42,42
1599792487,39,41
1599877204,32,0
1599966015,35,75
1600051207,42,42
1600135926,38,33
1600224966,42,44
1600309446,34,40
1600394652,39,0
1600483447,42,74
1600568405,43,0
1600656976,45,82
1600742406,42,39
1600827125,42,0
1600915452,40,79
1601000646,39,42
1601089210,37,44
1601174713,38,45
1601307130,40,46
1601346005,41,0
1601434805,38,83
1601520004,35,0
1601605444,35,37
1601694252,37,77
1601778967,34,0
1601863454,42,39
1601952247,37,79
1602036726,38,0
1602125285,36,74
1602210006,39,0
1602298566,40,32
1602383051,35,34
1602469926,36,77
1602554655,42,0
1602642964,38,75
1602728168,39,0
1602816485,34,76
1602901206,35,0
1602989765,29,74
1603074250,42,0
1603162807,41,76
1603247529,37,0
1603332249,40,36
1603420806,40,40
1603506006,40,34
1603594325,41,38
1603679050,43,33
1603767617,37,83
1603852085,39,0
1603940651,40,80
1604025126,44,0
1604109848,40,40
1604198166,43,41
1604282648,37,44
1604370967,40,42
1604457369,45,75
1604541849,35,0
1604630167,38,84
1604714652,38,41
1604802964,43,0
1604887686,46,80
1604976007,47,40
1605062406,46,47
1605146885,43,35
1605235206,44,42
1605319927,40,42
1605408248,41,48
1605494647,43,45
1605579365,42,0
1605667924,39,85
1605752405,40,40
1605840965,36,42
1605925451,41,40
1606013765,35,39
1606098486,40,0
1606187117,42,85
1606271767,40,0
1606356246,41,42
1606444566,37,40
1606529047,37,39
1606617366,43,36
1606702185,41,38
1606790404,41,36
1606875364,46,38
1606963690,41,78
1607048163,45,0
1607136723,42,80
1607221205,44,0
1607309528,42,88
1607394004,45,0
1607482324,41,86
1607567286,44,0
1607655641,42,80
1607739846,43,0
1607828646,38,86
1607913123,44,0
1607998086,44,39
1608086886,36,45
1608171605,44,35
1608259927,42,46
1608345127,39,88
1608433448,36,43
1608518164,38,42
1608602888,33,41
1608691452,35,0
1608775926,36,38
1608864249,37,38
1608948965,29,42
1609037285,33,38
1609121767,27,39
1609210565,35,64
1609295286,32,0
1609380247,33,34
1609469048,33,34
1609480566,0,40
1609553527,45,0
1609642086,1,62
1609726807,3,33
1609815125,4,0
1609900089,7,74
1609988648,6,39
1610073608,5,0
1610158327,1,50
1610246885,3,1
1610331606,2,3
1610419927,1,11
1610504407,2,0
1610592731,9,6
1610677689,3,5
1610766023,2,4
1610850725,2,0
1610935447,1,2
1611024029,6,1
1611108725,5,2
1611197284,2,9
1611282006,1,3
1611370567,4,2
1611455767,4,3
1611540729,6,6
1611629287,1,5
1611714006,5,2
1611802327,3,1
1611889218,6,4
1611974166,3,0
1612059608,2,4
1612148164,3,6
1612232648,4,0
1612321215,1,8
1612406166,6,0
1612490646,3,6
1612579685,5,6
1612664645,4,3
1612753219,4,4
1612837931,5,1
1612923604,3,0
1613012165,3,9
1613096646,5,5
1613185446,1,4
1613270167,2,4
1613354649,3,0
1613443688,50,8
1613528403,49,0
1613613901,48,3
1613702884,45,5
1613787367,39,0
1613876200,31,6
1613961132,32,49
1614046327,31,0
1614135126,34,90
1614219847,28,28
1614308415,36,37
1614393367,41,28
1614478086,26,0
1614566408,41,69
1614651129,46,34
1614739928,35,33
1614824888,36,27
1614913216,42,37
1614997976,31,0
1615083124,35,78
1615169410,41,0
1615258815,34,83
1615343524,49,0
1615428964,44,35
1615517526,35,40
1615601766,39,43
1615688647,33,71
1615776967,36,42
1615861446,38,0
1615950017,37,85
1616034730,34,38
1616119447,40,0
1616208005,35,69
1616292724,22,0
1616381286,41,35
1616466006,38,35
1616554916,37,74
1616639767,29,34
1616724486,33,32
1617360116,47,273
1618107366,115,35
1618194248,27,0
1618282567,27,0
1618539606,107,0
1618628485,32,58
1618712406,31,37
1618801217,34,23
1618886649,21,0
1618971608,30,25
1619057048,32,33
1619146088,27,70
1619231286,27,0
1619316488,31,26
1619405529,36,32
1619492416,26,67
1619577847,32,30
1619663050,35,33
1619751621,30,28
