DateTime,AddedIPs,RemovedIPs
1598670731,46,46
1598755204,48,48
1598839926,47,47
1598928724,47,47
1599013685,49,49
1599098887,48,48
1599187448,49,49
1599272648,48,48
1599360965,45,45
1599446170,50,50
1599530646,49,49
1599619454,48,48
1599704166,50,50
1599792487,48,48
1599877204,45,45
1599966015,46,46
1600051207,47,47
1600135926,50,50
1600224966,48,48
1600309446,44,44
1600394652,47,47
1600483447,50,50
1600568405,50,50
1600656976,50,50
1600742406,49,49
1600827125,47,47
1600915452,50,50
1601000646,47,47
1601089210,47,47
1601174713,45,45
1601307130,44,44
1601346005,48,48
1601434805,47,47
1601520004,45,45
1601605444,44,44
1601694252,44,44
1601778967,44,44
1601863454,47,47
1601952247,49,49
1602036726,47,47
1602125285,49,49
1602210006,47,47
1602298566,47,47
1602383051,46,46
1602469926,45,45
1602554655,47,47
1602642964,46,46
1602728168,47,47
1602816485,47,47
1602901206,42,42
1602989765,44,44
1603074250,45,45
1603162807,48,48
1603247529,46,46
1603332249,46,46
1603420806,46,46
1603506006,46,46
1603594325,48,48
1603679050,49,49
1603767617,48,48
1603852085,45,45
1603940651,45,45
1604025126,46,46
1604109848,49,49
1604198166,45,45
1604282648,47,47
1604370967,44,44
1604457369,49,49
1604541849,47,47
1604630167,41,41
1604714652,45,45
1604802964,43,43
1604887686,49,49
1604976007,50,50
1605062406,48,48
1605146885,46,46
1605235206,49,49
1605319927,48,48
1605408248,49,49
1605494647,45,45
1605579365,48,48
1605667924,46,47
1605752405,47,46
1605840965,42,42
1605925451,45,45
1606013765,39,41
1606098486,43,42
1606187117,44,43
1606271767,43,44
1606356246,46,45
1606444566,45,45
1606529047,44,44
1606617366,45,45
1606702185,46,47
1606790404,49,48
1606875364,50,50
1606963690,46,46
1607048163,49,49
1607136723,48,48
1607221205,49,49
1607309528,48,48
1607394004,50,50
1607482324,50,50
1607567286,49,49
1607655641,50,50
1607739846,48,48
1607828646,48,48
1607913123,50,50
1607998086,49,49
1608086886,46,46
1608171605,48,48
1608259927,48,48
1608345127,48,48
1608433448,42,42
1608518164,45,45
1608602888,43,43
1608691452,44,44
1608775926,46,46
1608864249,42,42
1608948965,43,43
1609037285,37,37
1609121767,41,41
1609210565,39,39
1609295286,41,41
1609380247,39,39
1609469048,40,40
1609553527,50,50
1609642086,1,1
1609726807,3,3
1609815125,4,4
1609900089,7,7
1609988648,6,6
1610073608,5,5
1610158327,1,1
1610246885,3,3
1610331606,2,2
1610419927,1,1
1610504407,2,2
1610592731,9,9
1610677689,3,3
1610766023,2,2
1610850725,2,2
1610935447,1,1
1611024029,6,6
1611108725,5,5
1611197284,2,2
1611282006,1,1
1611370567,4,4
1611455767,4,4
1611540729,6,6
1611629287,1,1
1611714006,5,5
1611802327,3,3
1611889218,6,6
1611974166,4,4
1612059608,2,2
1612148164,3,3
1612232648,4,4
1612321215,1,1
1612406166,6,6
1612490646,3,3
1612579685,5,5
1612664645,4,4
1612753219,4,4
1612837931,5,5
1612923604,3,3
1613012165,3,3
1613096646,5,5
1613185446,1,1
1613270167,3,3
1613354649,3,3
1613443688,50,50
1613528403,50,50
1613613901,50,50
1613702884,46,46
1613787367,46,46
1613876200,42,42
1613961132,40,40
1614046327,37,37
1614135126,42,42
1614219847,43,43
1614308415,46,46
1614393367,48,48
1614478086,47,47
1614566408,47,47
1614651129,48,48
1614739928,48,48
1614824888,45,45
1614913216,50,50
1614997976,44,44
1615083124,39,39
1615169410,44,44
1615258815,46,46
1615343524,50,50
1615428964,45,45
1615517526,43,43
1615601766,42,43
1615688647,43,42
1615776967,43,43
1615861446,46,46
1615950017,44,44
1616034730,40,41
1616119447,46,45
1616208005,45,45
1616292724,39,39
1616381286,43,43
1616466006,43,43
1616554916,42,42
1616639767,39,39
1616724486,37,37
1617360116,48,49
1618107366,42,41
1618194248,43,43
1618282567,32,32
1618539606,41,41
1618628485,39,40
1618712406,38,37
1618801217,41,41
1618886649,42,42
1618971608,37,37
1619057048,37,37
1619146088,39,39
1619231286,34,34
1619316488,34,34
1619405529,41,41
1619492416,38,38
1619577847,38,38
1619663050,44,44
1619751621,39,39
1619836570,37,37
1619921525,35,35
1620009846,37,37
1620095286,40,40
1620180485,38,38
1620269768,35,35
1620354246,37,37
1620443049,35,35
1620528245,35,36
1620613685,43,42
1620702081,39,39
1620787924,35,35
1620873368,41,41
1620958566,46,46
1621047685,47,47
1621132808,38,38
1621217529,41,41
1621306325,45,45
1621391047,46,46
1621476734,37,37
1621566247,38,38
1621652653,41,41
1621739047,46,46
1621823770,43,43
1621909684,36,36
1621997047,37,37
1622082248,38,38
1622167689,39,39
1622257225,38,38
1622342890,43,43
1622429050,38,38
1622514727,47,47
1622599689,47,47
1622687769,49,49
1622773209,49,49
1622860570,48,48
1622947451,49,49
1623034820,45,45
1623121218,46,46
1623207625,47,47
1623293770,49,49
1623380892,49,49
1623464407,49,49
1623550334,45,45
1623637209,47,47
1623723610,47,48
1623809773,46,45
1623898883,48,48
1623985929,47,47
1624072327,48,48
1624157765,49,49
1624242970,49,49
1624327928,49,49
1624416965,47,47
1624502405,45,45
1624587365,44,44
1624676420,47,47
1624761846,46,47
1624848250,49,48
1624933447,47,47
1625019366,43,45
1625108166,50,48
1625193846,48,48
1625279288,46,46
1625365446,47,47
1625454249,49,49
1625539685,48,48
1625625131,47,48
1625710571,49,48
1625799847,45,45
1625885048,46,46
1625970009,45,45
1626058569,48,48
1626144005,50,50
1626229207,44,44
1626318491,48,48
1626403926,49,49
1626489369,47,47
1626574331,46,46
1626663367,47,47
1626749525,45,45
1626835453,46,47
1626921368,49,48
1627007771,49,49
1627093687,46,46
1627182731,48,49
1627268652,48,47
1627354823,49,49
1627440729,45,46
1627527852,47,46
1627613527,47,47
1627699449,50,50
1627785371,48,48
1627871289,48,48
1627956729,49,50
1628045767,48,47
1628131451,49,49
1628216888,50,50
1628305926,49,49
