DateTime,Entries,UniqueIPs
1642674724,6042,6203
1642675325,6027,6187
1642675924,6040,6200
1642676524,5948,6098
1642677125,5967,6119
1642677724,5991,6145
1642678324,5991,6151
1642678924,5974,6132
1642680124,5987,6145
1642680724,6006,6167
1642681324,6043,6205
1642681924,6058,6224
1642682525,6081,6249
1642683124,6085,6255
1642683724,6096,6267
1642684924,6075,6245
1642685525,6088,6259
1642686125,6110,6283
1642686724,6126,6298
1642687324,6149,6324
1642687925,6138,6314
1642688524,6150,6326
1642689124,6132,6308
1642689725,6132,6308
1642690324,6134,6311
1642690924,6151,6328
1642691525,6133,6309
1642692124,6146,6323
1642692725,6115,6292
1642693924,6127,6305
1642694524,6137,6318
1642695724,6136,6317
1642696925,6152,6334
1642697524,6167,6353
1642698124,6165,6348
1642699324,6186,6372
1642699924,6195,6381
1642700524,6213,6401
1642701724,6217,6405
1642702325,6231,6421
1642702923,6222,6412
1642704125,6232,6422
1642705924,6233,6422
1642706524,6233,6419
1642707124,6221,6404
1642707724,6240,6424
1642708324,6258,6442
1642708923,6257,6442
1642709524,6261,6447
1642710124,6274,6459
1642710724,6275,6458
1642711324,6277,6459
1642712524,6273,6454
1642713125,6280,6461
1642713724,6281,6463
1642714925,6297,6481
1642716124,6284,6467
1642716724,6286,6470
1642717323,6289,6473
1642718525,6277,6462
1642719124,6269,6454
1642719724,6260,6443
1642720325,6263,6446
1642720924,6271,6454
1642721524,6267,6448
1642722125,6289,6470
1642723324,6306,6487
1642723925,6327,6510
1642724524,6341,6523
1642725725,6322,6497
1642726323,6333,6508
1642726923,6339,6514
1642728124,6330,6508
1642728724,6327,6508
1642729324,6338,6521
1642729924,6344,6526
1642730524,6311,6491
1642731724,6330,6510
1642732324,6318,6498
1642732925,6327,6511
1642733524,6342,6527
1642734124,6349,6534
1642734726,6351,6537
1642735324,6362,6551
1642735925,6354,6541
1642736524,6338,6526
1642737724,6354,6547
1642738324,6361,6556
1642738924,6355,6552
1642739525,6341,6537
1642740124,6336,6533
1642740724,6336,6533
1642741324,6346,6544
1642742524,6365,6563
1642743125,6355,6553
1642743725,6365,6565
1642744324,6364,6565
1642744924,6376,6579
1642745524,6369,6571
1642746124,6355,6551
1642746724,6361,6557
1642747324,6361,6557
1642748524,6366,6562
1642749724,6355,6553
1642750324,6358,6557
1642750925,6370,6571
1642752124,6378,6577
1642753325,6363,6556
1642754525,6365,6561
1642755724,6326,6518
1642756325,6349,6543
1642756924,6347,6541
1642757524,6367,6559
1642758125,6377,6571
1642758725,6383,6577
1642759325,6391,6585
1642759925,6381,6576
1642760524,6469,6667
1642761725,6482,6679
1642762924,6469,6667
1642764124,6438,6634
1642764724,6438,6635
1642765324,6455,6654
1642765924,6475,6674
1642766524,6450,6646
1642767125,6488,6686
1642767724,6485,6683
1642768324,6443,6640
1642768925,6435,6630
1642770124,6443,6634
1642770725,6457,6648
1642771325,6468,6660
1642771924,6426,6614
1642772525,6448,6640
1642773724,6422,6614
1642774325,6449,6643
1642774924,6482,6674
1642775525,6499,6691
1642776124,6505,6698
1642776724,6463,6656
1642777324,6461,6654
1642778523,6459,6652
1642779725,6475,6667
1642780924,6463,6656
1642781524,6456,6647
1642782124,6480,6674
1642783326,6482,6676
1642783924,6483,6676
1642784524,6487,6679
1642785125,6505,6697
1642785724,6502,6692
1642786325,6515,6705
1642786924,6519,6709
1642787524,6520,6709
1642788124,6516,6705
1642788725,6518,6707
1642789324,6519,6706
1642790525,6534,6721
1642791724,6533,6719
1642792326,6531,6718
1642792924,6541,6728
1642793524,6560,6746
1642794125,6558,6744
1642794724,6576,6765
1642795324,6590,6781
1642795925,6594,6785
1642796524,6614,6805
1642797725,6606,6796
1642798324,6601,6792
1642798924,6603,6795
1642799524,6626,6819
1642800124,6613,6807
1642800724,6615,6809
1642801325,6642,6839
1642801924,6633,6832
1642802525,6639,6839
1642803125,6652,6853
1642803724,6671,6873
1642804324,6580,6780
1642804925,6592,6792
1642805524,6567,6765
1642806124,6588,6789
1642806724,6595,6799
1642807325,6603,6803
1642807925,6621,6821
1642808526,6603,6806
1642809124,6616,6820
1642809724,6611,6817
1642810326,6632,6842
1642810924,6598,6809
1642811525,6604,6818
1642812125,6616,6831
1642812724,6615,6828
1642813325,6600,6812
1642813925,6608,6821
1642814525,6608,6822
