DateTime,AddedIPs,RemovedIPs
1642666925,3,0
1642667525,11,19
1642668125,3,8
1642668725,4,3
1642669925,3,3
1642670524,9,5
1642671124,3,1
1642671725,1,1
1642672325,4,13
1642672924,7,16
1642673525,1,0
1642674724,2,5
1642675325,1,8
1642675924,2,7
1642676524,1,2
1642677125,8,0
1642677724,2,9
1642678324,5,2
1642678924,3,0
1642680124,4,6
1642680724,4,3
1642681324,17,4
1642681924,15,0
1642682525,7,6
1642683124,6,1
1642683724,7,2
1642684924,14,1
1642685525,12,13
1642686125,20,6
1642686724,13,0
1642687324,15,0
1642687925,4,2
1642688524,8,0
1642689124,6,8
1642689725,3,0
1642690324,14,0
1642690924,3,12
1642692124,7,0
1642692725,5,2
1642693924,6,5
1642694524,7,2
1642695724,5,0
1642696925,10,6
1642697524,9,0
1642698124,4,1
1642699324,4,0
1642699924,2,0
1642700524,7,0
1642701724,7,4
1642702325,6,5
1642702923,4,0
1642704125,30,4
1642705924,11,1
1642706524,2,11
1642707124,1,0
1642707724,6,3
1642708324,9,0
1642708923,4,8
1642709524,3,0
1642710124,13,10
1642710724,5,0
1642711324,7,0
1642712524,4,1
1642713125,5,1
1642713724,4,2
1642714925,13,6
1642716124,9,10
1642716724,7,8
1642718525,3,1
1642719124,3,1
1642719724,4,2
1642720325,4,0
1642720924,1,0
1642721524,1,0
1642722125,10,6
1642723324,1,2
1642723925,9,4
1642724524,9,0
1642725725,5,12
1642726323,18,2
1642726923,5,6
1642728124,5,5
1642728724,7,0
1642729324,7,0
1642729924,4,5
1642730524,6,5
1642731724,4,3
1642732324,4,2
1642732925,3,10
1642733524,2,4
1642734124,3,12
1642734726,2,0
1642735324,5,0
1642735925,1,23
1642736524,4,5
1642737724,7,0
1642738324,4,10
1642738924,1,5
1642739525,2,2
1642740124,0,3
1642740724,6,0
1642741324,3,0
1642742524,1,13
1642743125,1,0
1642743725,7,5
1642744324,2,0
1642744924,2,0
1642745524,0,5
1642746124,4,9
1642746724,1,0
1642747324,0,5
1642748524,4,12
1642749724,3,5
1642750324,3,0
1642750925,1,0
1642752124,8,17
1642753325,7,36
1642754525,2,4
1642755724,0,4
1642756325,6,23
1642756924,7,1
1642757524,6,0
1642758125,5,1
1642758725,4,0
1642759325,5,19
1642759925,11,1
1642760524,34,0
1642761725,12,4
1642762924,4,4
1642764124,24,2
1642764724,5,12
1642765324,8,0
1642765924,15,12
1642766524,3,8
1642767125,28,0
1642767724,4,2
1642768324,6,23
1642768925,8,7
1642770124,7,0
1642770725,7,8
1642771325,5,0
1642771924,3,2
1642772525,9,1
1642773724,3,7
1642774325,10,0
1642774924,24,0
1642775525,8,9
1642776124,5,0
1642776724,1,4
1642777324,4,4
1642778523,1,10
1642779725,10,3
1642780924,9,5
1642781524,7,0
1642782124,8,0
1642783326,5,9
1642783924,9,36
1642784524,4,1
1642785125,4,0
1642785724,6,0
1642786325,1,2
1642786924,6,0
1642787524,9,4
1642788124,8,0
1642788725,5,8
1642789324,1,0
1642790525,4,11
1642791724,7,9
1642792326,1,0
1642792924,5,19
1642793524,7,2
1642794125,3,1
1642794724,9,0
1642795324,10,2
1642795925,2,0
1642796524,7,0
1642797725,8,3
1642798324,2,19
1642798924,2,2
1642799524,13,0
1642800124,7,3
1642800724,1,0
1642801325,5,0
1642801924,2,5
1642802525,3,3
1642803125,4,3
1642803724,6,20
1642804324,5,0
1642804925,5,1
1642805524,1,6
1642806124,5,0
1642806724,5,5
1642807325,1,3
1642807925,6,0
1642808526,3,0
1642809124,2,0
1642809724,4,0
1642810326,3,5
1642810924,1,5
1642811525,0,2
1642812125,2,0
1642812724,1,4
1642813325,1,35
1642814525,3,8
1642815725,4,2
1642816324,5,1
1642816924,2,4
1642818124,5,1
1642819325,5,6
1642819925,0,2
1642820525,2,0
1642821126,3,3
1642822925,1,7
1642823525,5,0
1642824124,5,2
1642824725,1,1
1642825324,3,0
1642826526,1,38
1642827125,7,2
1642827724,0,5
1642828325,2,0
1642828924,2,0
1642830125,3,14
1642830724,6,0
1642831324,1,0
1642832524,3,6
1642833125,3,2
1642833725,2,13
1642834925,3,13
1642835525,3,0
1642836124,4,5
1642837325,4,2
1642837924,2,14
1642838524,4,1
1642839725,3,2
1642840325,5,0
1642840925,1,16
1642841524,1,0
1642842124,1,6
1642843325,2,3
1642843924,1,3
1642844525,0,1
1642845724,7,12
1642846325,7,0
1642846924,6,6
1642847525,5,2
1642848125,0,8
1642848725,2,0
1642849324,1,9
1642849925,3,1
1642850524,4,0
1642851125,1,0
1642851725,4,2
1642852324,10,1
1642852924,9,1
1642853525,3,7
1642854124,5,0
1642855326,2,10
1642855924,7,9
1642856524,9,1
1642857125,7,0
1642857724,6,5
1642858325,2,0
1642858925,0,3
1642859524,0,4
1642860124,1,0
1642860725,2,2
1642861324,1,28
1642861925,1,0
1642862525,1,2
1642863124,2,0
1642863725,3,11
1642864325,3,5
1642864924,3,0
1642865525,4,3
1642866125,6,0
1642867324,4,6
1642868525,4,0
1642869125,2,1
1642869726,1,0
1642870328,2,0
1642870924,1,3
1642871525,1,6
1642872725,11,2
1642873326,2,0
1642874524,7,4
1642875125,5,8
1642875724,2,2
1642876325,3,0
1642876925,6,3
1642877524,4,0
1642878124,3,14
1642879324,3,32
1642879925,3,1
1642881124,0,1
1642881724,0,1
1642882324,3,0
1642882924,4,1
1642884125,1,0
1642884724,5,6
1642885324,1,0
1642886523,1,2
1642887725,3,5
1642888324,9,8
1642888924,5,0
1642890124,2,19
1642890724,1,6
1642891325,3,0
1642891925,2,2
1642892524,2,5
1642893125,2,0
1642893724,3,8
1642894325,4,0
1642894924,4,0
1642895525,1,0
1642896124,16,5
1642896726,19,0
1642897325,8,2
1642897925,6,1
1642898525,2,5
1642899124,2,1
1642899725,1,0
1642900325,1,2
1642900925,28,0
1642901525,4,3
1642902125,10,1
1642902725,5,4
1642903324,7,0
1642903926,12,0
1642904524,11,0
1642905726,32,8
1642906324,8,1
1642906924,0,2
1642907525,6,0
1642908124,5,15
1642909325,0,6
1642909925,3,1
1642910525,6,2
1642911125,3,16
1642911724,15,3
1642912925,11,0
1642913525,11,1
1642914124,5,2
1642915324,9,2
1642915925,10,0
1642916525,23,7
1642917124,10,2
1642917725,17,4
1642918925,8,3
1642919525,4,5
1642920125,3,0
1642921324,19,20
1642922524,9,24
1642923125,7,1
1642923725,6,3
1642924325,4,0
1642924925,2,1
1642925526,4,4
1642926125,2,1
1642926726,5,0
1642927326,4,9
1642927925,6,4
1642928524,13,0
1642929724,8,14
1642930927,8,1
1642931524,12,4
1642932126,5,0
1642932728,3,0
1642933324,6,3
1642933925,8,3
1642934526,3,17
1642935125,15,3
1642936326,10,11
1642936924,0,2
1642937525,3,0
1642938126,2,5
1642938725,3,0
1642939325,10,1
1642939926,27,0
1642941726,2,9
1642942324,2,4
1642942925,3,4
1642943526,5,0
1642944125,2,0
1642945326,1,10
1642945925,32,7
1642946524,1,7
1642947725,8,0
1642948926,11,4
1642949524,5,22
1642950125,1,5
1642950726,1,1
1642951324,1,1
1642951925,1,0
1642952526,3,10
1642953124,22,6
1642953724,10,5
1642954326,6,0
1642954924,3,0
1642955525,9,3
1642956724,5,6
1642957324,9,2
1642958524,5,2
1642959726,1,0
1642960325,6,8
1642960924,1,3
1642962125,2,13
1642962725,2,0
1642963327,4,14
1642963925,3,0
1642964526,2,1
1642965127,3,0
1642965725,1,3
1642966325,3,4
1642966926,2,0
1642967525,4,7
1642968124,4,0
1642968726,2,0
1642969325,11,3
1642970526,4,2
1642971124,11,1
1642971726,2,15
1642972327,4,0
1642972924,11,0
1642973526,6,2
1642974127,33,0
1642974725,10,6
1642975324,13,1
1642975926,3,0
1642976524,9,3
1642977727,2,5
1642978326,18,6
1642978925,24,7
1642980125,9,0
1642980725,10,3
1642981326,8,2
1642981924,27,0
1642982526,10,3
1642983126,11,0
1642983725,5,0
1642984324,7,15
1642984926,7,4
1642985524,3,2
1642986125,9,0
1642986726,2,2
1642987324,6,14
1642987925,6,0
1642988527,5,2
1642989125,6,2
1642989724,1,3
1642990925,12,0
1642991525,5,10
1642992128,12,6
1642992725,4,0
1642993325,13,11
1642993927,7,0
1642994525,8,8
1642995726,8,0
1642996324,6,5
1642996925,15,5
1642997527,17,5
1642998726,16,5
1642999327,16,0
1642999925,11,22
1643000524,11,0
1643001126,1,2
1643001724,9,2
1643002325,2,0
1643002926,4,3
1643003524,2,3
1643004125,0,2
1643004727,2,0
1643005325,5,6
1643005925,5,1
1643006527,5,3
1643007124,6,0
1643007725,3,11
1643008327,5,10
1643008925,0,1
1643009526,2,0
1643010126,1,5
1643010724,3,0
1643012524,2,9
1643013126,3,0
1643013726,3,0
1643014325,5,0
1643014925,1,9
1643015526,2,0
1643016124,7,1
1643016727,5,0
1643017328,2,2
1643017925,2,21
1643018525,7,1
1643019724,6,3
1643020325,13,0
1643020927,5,0
1643021525,5,11
1643022124,3,0
1643022726,5,3
1643023324,2,0
