DateTime,AddedIPs,RemovedIPs
1642602124,5,1
1642603325,0,3
1642604524,2,3
1642605124,6,0
1642606324,11,3
1642606924,4,0
1642607523,7,9
1642608124,0,2
1642608725,1,1
1642609924,3,15
1642611124,1,0
1642611724,4,0
1642612325,7,1
1642612924,2,1
1642614125,6,4
1642615325,8,2
1642616524,4,4
1642617124,4,1
1642617724,1,0
1642618324,4,1
1642618924,8,0
1642619525,2,7
1642620124,1,0
1642621325,9,8
1642621924,10,8
1642622524,1,1
1642623124,4,1
1642623724,10,0
1642624924,7,7
1642625524,8,0
1642626124,4,4
1642626725,2,2
1642628524,6,6
1642629124,3,4
1642630924,1,3
1642631524,4,0
1642632124,10,7
1642632723,0,1
1642633924,9,2
1642634524,7,2
1642635124,4,13
1642635725,4,0
1642636924,5,11
1642637524,3,8
1642638124,2,1
1642639324,3,2
1642639924,0,8
1642640524,1,0
1642641124,4,3
1642641724,4,0
1642642324,6,5
1642643524,3,1
1642644124,3,0
1642645323,8,7
1642646525,3,6
1642647123,2,2
1642648924,13,9
1642650125,12,7
1642650724,5,0
1642651324,5,5
1642651925,6,0
1642652524,1,3
1642653125,1,0
1642653725,1,4
1642654324,8,2
1642654924,1,4
1642656124,6,15
1642656724,3,0
1642657324,2,0
1642657924,0,7
1642659724,10,10
1642660924,7,4
1642661524,4,3
1642662124,1,3
1642662725,2,0
1642663324,2,3
1642664525,1,8
1642665725,11,8
1642666325,6,2
1642666925,2,0
1642668125,14,2
1642668725,8,8
1642670524,7,8
1642671124,3,0
1642671725,0,4
1642672324,3,4
1642673525,5,0
1642674724,0,1
1642675325,2,7
1642675924,1,0
1642676524,4,8
1642678324,7,4
1642679524,1,3
1642680724,4,2
1642681324,3,3
1642681924,6,2
1642683124,6,1
1642683724,2,0
1642684325,0,5
1642685525,1,0
1642686125,1,0
1642686724,4,0
1642687324,2,0
1642687925,1,1
1642689124,2,0
1642689725,1,0
1642690324,0,3
1642690924,2,0
1642691525,0,13
1642693324,42,12
1642693924,1,0
1642694524,0,3
1642695723,1,0
1642696925,2,0
1642697524,2,0
1642698724,2,6
1642699324,0,1
1642699924,1,7
1642700524,2,0
1642701124,0,9
1642702324,0,10
1642702923,1,0
1642703525,2,4
1642704125,2,0
1642705924,0,8
1642706523,0,3
1642707124,26,6
1642708923,12,8
1642709524,0,3
1642710124,0,7
1642711324,1,9
1642712524,2,5
1642713125,1,10
1642713724,3,0
1642714925,4,0
1642716124,11,13
1642717323,2,1
1642717924,5,0
1642719124,5,19
1642720324,1,7
1642721524,1,19
1642722125,0,8
1642722724,5,0
1642723324,5,0
1642723925,9,6
1642724524,1,8
1642725725,4,1
1642726323,0,2
1642726923,3,0
1642728124,8,12
1642728724,1,0
1642729324,1,2
1642729924,5,1
1642730524,0,17
1642731125,1,0
1642732324,3,3
1642734124,5,6
1642734726,3,0
1642735925,0,15
1642737124,4,22
1642737724,3,9
1642738324,2,0
1642738924,11,1
1642739525,1,0
1642740124,4,1
1642740724,8,8
1642741925,10,4
1642742524,8,12
1642743724,4,1
1642744324,2,9
1642744924,2,0
1642746124,5,10
1642746724,1,0
1642747324,2,1
1642748523,10,2
1642749125,3,4
1642750324,0,5
1642751524,6,16
1642752124,2,0
1642753325,11,27
1642754525,5,0
1642755724,12,19
1642756324,8,0
1642757524,2,1
1642758125,0,3
1642758725,0,1
1642759325,3,5
1642760524,5,2
1642761125,3,2
1642762324,4,1
1642763525,9,17
1642764724,0,1
1642765324,1,0
1642765924,5,3
1642767125,5,2
1642768925,8,9
1642770124,1,4
1642771325,3,0
1642771924,0,12
1642772525,4,0
1642773724,6,11
1642774325,2,0
1642774924,1,3
1642775525,4,0
1642776124,2,2
1642777324,3,1
1642777925,1,0
1642779124,9,10
1642779725,2,0
1642780324,7,12
1642781524,10,11
1642782124,6,1
1642783326,5,14
1642783924,0,3
1642785124,4,0
1642786324,2,0
1642786924,1,3
1642788124,5,0
1642788724,2,1
1642789324,0,1
1642789924,1,2
1642791124,3,0
1642791724,2,0
1642792325,3,1
1642793524,5,2
1642794724,11,34
1642795324,3,4
1642795925,1,0
