DateTime,Entries,UniqueIPs
1642448525,6460,6687
1642449124,6459,6686
1642450325,6460,6687
1642451524,6464,6691
1642452724,6462,6689
1642453324,6461,6688
1642454523,6462,6689
1642455124,6461,6688
1642455725,6462,6689
1642456324,6463,6690
1642458124,6463,6691
1642458724,6464,6692
1642459325,6466,6691
1642460524,6466,6691
1642461724,6467,6692
1642462324,6466,6692
1642462925,6467,6693
1642466525,6468,6694
1642467724,6470,6696
1642468325,6471,6697
1642468924,6470,6696
1642470125,6469,6694
1642470724,6467,6692
1642471324,6468,6693
1642471925,6470,6695
1642472524,6469,6694
1642473126,6470,6695
1642474924,6469,6693
1642476124,6467,6691
1642477324,6468,6692
1642479125,6470,6694
1642479724,6471,6695
1642480924,6473,6697
1642483324,6469,6693
1642485124,6468,6692
1642485724,6469,6693
1642486924,6428,6650
1642489324,6426,6648
1642491725,6428,6650
1642492324,6430,6652
1642494124,6428,6650
1642495325,6430,6652
1642497125,6431,6651
1642498325,6432,6652
1642498925,6430,6648
1642500124,6428,6646
1642500725,6429,6647
1642501924,6427,6646
1642502525,6428,6647
1642503724,6424,6643
1642505525,6419,6638
1642507924,6413,6632
1642509125,6410,6629
1642509725,6412,6631
1642510924,6413,6632
1642512725,6411,6630
1642513924,6409,6628
1642514524,6408,6627
1642515724,6406,6625
1642516924,6397,6616
1642518725,6398,6617
1642519324,6400,6619
1642519925,6403,6622
1642521125,6404,6623
1642521725,6403,6622
1642522325,6401,6620
1642522924,6402,6621
1642524125,6400,6619
1642525325,6398,6617
1642525925,6399,6618
1642526525,6399,6618
1642528924,6398,6617
1642529526,6397,6616
1642530725,6397,6616
1642531925,6397,6616
1642533724,6399,6618
1642535525,6400,6619
1642536124,6398,6617
1642537925,6397,6616
1642539124,6398,6617
1642539724,6395,6614
1642540924,6395,6614
1642542125,6391,6610
1642542724,6389,6608
1642543925,6389,6608
1642545124,6390,6609
1642545725,6388,6607
1642546925,6384,6603
1642548725,6382,6600
1642549325,6381,6599
1642550525,6378,6596
1642551724,6379,6597
1642552325,6376,6594
1642552926,6372,6590
1642554725,6370,6588
1642555324,6368,6586
1642556524,6365,6583
1642558325,6359,6577
1642558924,6360,6578
1642560724,6361,6579
1642561324,6362,6579
1642562524,6363,6580
1642563124,6361,6578
1642564323,6358,6575
1642565525,6357,6574
1642566723,6356,6573
1642567324,6354,6571
1642568523,6352,6569
1642569724,6351,6568
1642570925,6344,6561
1642572124,6343,6560
1642572725,6342,6559
1642573324,6342,6560
1642573925,6341,6559
1642574524,6341,6559
1642576325,6343,6562
1642576924,6344,6563
1642577525,6348,6567
1642579323,6348,6567
1642579924,6349,6568
1642580523,6350,6569
1642581724,6351,6570
1642582324,6349,6568
1642583524,6348,6567
1642584123,6349,6568
1642584724,6349,6568
1642585924,6350,6569
1642587124,6347,6566
1642588325,6345,6564
1642589524,6343,6562
1642591324,6341,6559
1642593724,6340,6558
1642594924,6339,6557
1642595524,6341,6559
1642596125,6339,6557
1642597324,6340,6558
1642597924,6344,6562
1642599124,6345,6563
1642599724,6347,6565
1642600324,6346,6564
1642602124,6343,6561
1642604524,6340,6558
1642605124,6339,6557
1642606324,6340,6558
1642608725,6337,6555
1642609924,6333,6551
1642611724,6332,6550
1642612325,6333,6551
1642612924,6332,6550
1642614125,6333,6551
1642615325,6332,6551
1642616524,6325,6544
1642619525,6324,6543
1642621325,6326,6545
1642621924,6327,6546
1642622524,6326,6544
1642623724,6327,6545
1642624924,6327,6545
1642625524,6328,6546
1642626124,6324,6542
1642626725,6322,6540
1642628524,6321,6539
1642629124,6320,6538
1642631524,6321,6540
1642632124,6322,6541
1642633924,6322,6540
1642634524,6319,6537
1642635725,6318,6535
1642636924,6317,6534
1642637524,6315,6532
1642638124,6314,6531
1642639324,6305,6522
1642641124,6300,6516
1642642324,6300,6516
1642642924,6297,6513
1642643524,6295,6511
1642645323,6295,6511
1642646525,6291,6507
1642648924,6285,6501
1642650125,6292,6509
1642650724,6293,6510
1642652524,6292,6509
1642653125,6293,6510
1642653725,6290,6507
1642654324,6293,6510
