DateTime,AddedIPs,RemovedIPs
1642623124,28,28
1642623724,38,38
1642624924,40,40
1642625524,27,27
1642626124,28,28
1642626725,44,44
1642628524,74,74
1642629124,53,53
1642630924,37,37
1642631524,26,26
1642632124,48,48
1642632723,19,19
1642633924,86,86
1642634524,53,53
1642635124,54,54
1642635725,55,55
1642636924,50,50
1642637524,27,27
1642638124,42,42
1642639324,20,20
1642639924,8,8
1642640524,14,14
1642641124,35,35
1642641724,35,35
1642642324,41,41
1642642924,12,12
1642643524,11,11
1642644124,38,38
1642645323,68,68
1642646525,19,19
1642647123,13,13
1642648924,81,81
1642650125,79,79
1642650724,47,47
1642651324,36,36
1642651925,45,45
1642652524,18,18
1642653125,12,12
1642653725,10,10
1642654324,38,38
1642654924,25,25
1642656124,42,42
1642656724,53,53
1642657324,41,41
1642657924,13,13
1642659724,78,78
1642660924,74,74
1642661524,32,32
1642662124,21,21
1642662725,26,26
1642663324,12,12
1642664525,24,24
1642665725,74,74
1642666325,33,33
1642666925,32,32
1642668125,82,82
1642668725,52,52
1642669324,30,30
1642670524,45,45
1642671124,15,15
1642671725,5,5
1642672324,22,22
1642673525,37,37
1642674124,16,16
1642674724,21,21
1642675325,24,24
1642675924,10,10
1642676524,37,37
1642678324,71,71
1642679524,19,19
1642680724,33,33
1642681324,27,27
1642681924,37,37
1642683124,47,47
1642683724,39,39
1642684325,10,10
1642685525,44,44
1642686125,8,8
1642686724,31,32
1642687324,26,26
1642687925,20,20
1642689124,34,34
1642689725,9,9
1642690324,11,10
1642690924,15,15
1642691525,6,6
1642693324,73,73
1642693924,18,18
1642694524,30,30
1642695723,19,19
1642696925,20,20
1642697524,23,23
1642698724,34,34
1642699324,8,8
1642699924,10,10
1642700524,26,26
1642701124,7,7
1642701724,10,10
1642702324,5,5
1642702923,27,27
1642703525,29,29
1642704125,18,18
1642705924,13,13
1642706523,15,15
1642707124,47,47
1642708923,79,79
1642709524,32,32
1642710124,13,13
1642711324,15,15
1642712524,58,58
1642713125,16,16
1642713724,23,23
1642714325,10,10
1642714925,25,25
1642716124,68,68
1642717323,42,42
1642717924,12,12
1642719124,16,16
1642720324,34,34
1642720924,18,18
1642721524,13,13
1642722125,13,13
1642722724,35,35
1642723324,33,33
1642723925,51,51
1642724524,29,29
1642725725,40,40
1642726323,13,13
1642726923,30,30
1642728124,51,51
1642728724,26,26
1642729324,11,11
1642729924,24,24
1642730524,15,15
1642731125,17,17
1642732324,25,25
1642732925,8,8
1642734124,36,36
1642734726,17,17
1642735925,32,32
1642737124,56,56
1642737724,25,25
1642738324,26,26
1642738924,63,63
1642739525,18,18
1642740124,24,24
1642740724,34,34
1642741925,68,68
1642742524,44,44
1642743724,47,47
1642744324,10,10
1642744924,12,12
1642746124,42,42
1642746724,15,15
1642747324,18,18
1642748523,48,48
1642749125,30,30
1642750324,17,17
1642751524,42,42
1642752124,45,45
1642753325,76,76
1642754525,57,57
1642755724,86,86
1642756324,55,55
1642756924,12,12
1642757524,24,24
1642758125,11,11
1642758725,12,12
1642759325,25,25
1642760524,38,38
1642761125,12,12
1642761724,7,7
1642762324,16,16
1642763525,36,36
1642764724,26,26
1642765324,3,3
1642765924,27,27
1642766524,10,10
1642767125,19,19
1642768925,65,65
1642770124,39,39
1642770724,17,17
1642771325,12,12
1642771924,11,11
1642772525,17,17
1642773724,26,26
1642774325,30,30
1642774924,10,10
1642775525,14,14
1642776124,15,15
1642777324,28,28
1642777925,6,6
1642779124,49,49
1642779725,15,15
1642780324,41,41
1642781524,82,82
1642782124,41,41
1642783326,42,42
1642783924,11,11
1642784524,15,15
1642785124,38,38
1642786324,20,20
1642786924,38,38
1642788124,46,46
1642788724,22,22
1642789324,12,12
1642789924,17,17
1642791124,49,49
1642791724,15,15
1642792325,49,49
1642793524,63,63
1642794724,60,60
1642795324,35,35
1642795925,44,44
1642796524,43,43
1642797725,44,44
1642798324,10,10
1642798924,23,23
1642799524,6,6
1642800124,23,23
1642800724,31,31
1642801325,15,15
1642802525,40,40
1642803125,25,25
1642803724,25,25
1642804324,8,8
1642804925,27,27
1642806124,53,53
1642806724,26,26
1642807925,18,18
1642808526,29,29
1642809124,48,48
1642809724,24,24
1642810326,26,26
1642810924,54,54
1642811525,38,38
1642812125,20,20
1642813925,77,77
1642814525,57,57
1642815125,40,40
1642816324,85,85
1642816924,37,37
1642818124,46,46
1642819325,60,60
1642819925,34,34
1642820524,43,43
1642821126,11,11
1642821724,48,49
1642822925,73,72
1642823525,39,39
1642824124,16,16
1642824725,24,24
1642825324,39,39
1642826526,72,72
1642827124,36,36
1642827724,50,50
1642828325,45,45
1642828924,20,20
1642830125,60,60
1642830724,26,26
1642831324,30,30
1642832524,30,30
1642833125,14,14
1642833725,15,15
1642834924,62,62
1642835525,17,17
1642836725,61,61
1642837924,26,26
1642838524,33,33
1642839725,20,20
1642840925,32,32
1642841524,37,38
1642842124,27,27
1642842725,22,22
1642843325,33,32
1642843924,43,43
1642844525,23,23
1642845125,36,36
1642845724,9,9
1642846325,43,43
1642846924,25,25
1642848725,58,59
1642849324,35,34
1642850524,50,50
1642851725,52,52
1642852924,50,50
1642853525,38,38
1642854124,21,21
1642854725,32,32
1642855326,20,20
1642855924,33,33
1642856524,9,9
1642857724,65,65
1642858325,30,30
1642858925,42,42
1642859524,24,24
1642860124,27,27
1642860725,21,21
1642861324,17,17
1642861925,8,8
1642862525,43,43
1642863724,53,53
1642864924,35,35
1642865525,78,78
1642866725,59,59
1642867324,37,37
1642868525,68,68
1642869125,24,24
1642869726,43,44
1642870924,59,58
1642871525,41,41
1642872124,9,9
1642873325,70,70
1642874524,52,52
1642875125,47,47
1642875724,42,42
1642876325,29,29
1642876925,14,14
1642877524,28,28
1642878124,57,57
1642879324,39,39
1642879925,9,9
1642881124,72,72
1642881724,22,22
1642882324,70,70
1642882924,52,52
1642884125,81,81
1642884724,20,20
1642885324,42,42
1642885925,35,35
1642886523,13,13
1642887124,36,36
1642887725,44,44
1642888924,57,57
1642890124,82,82
1642890724,49,49
1642891325,44,44
1642891924,36,36
1642893125,92,92
1642893724,27,27
1642894325,38,38
1642894924,41,41
1642896124,86,86
1642897325,93,93
1642899124,82,82
1642899725,65,65
1642900325,46,46
1642900925,26,26
1642901525,24,24
1642902724,79,79
1642903324,53,53
1642903926,63,63
1642904524,38,38
1642905124,13,13
1642905726,27,27
1642906324,54,54
1642906924,10,10
1642907525,40,40
1642908124,28,28
1642909325,72,72
1642910525,88,88
1642911125,42,42
1642911724,27,27
1642912325,23,23
1642913525,59,59
1642914124,32,32
1642915324,87,87
1642915925,31,31
1642917124,43,43
1642917724,48,48
1642918925,60,60
1642920125,45,45
1642920724,12,12
1642921324,36,36
1642922524,76,76
1642923125,46,46
1642923725,31,31
1642924325,19,19
1642924925,23,23
1642925526,45,45
1642926125,25,25
1642927326,55,55
1642927925,41,41
1642929128,29,29
1642929724,42,42
1642930927,81,81
1642931524,42,42
1642932728,66,66
1642933925,84,84
1642934526,20,20
1642935125,28,28
1642936924,70,70
1642937525,15,15
1642938126,27,27
1642938725,27,27
1642939926,30,30
1642940525,36,36
1642941726,26,26
1642942324,10,10
1642942925,13,14
1642943526,26,26
1642944125,4,4
1642944725,12,12
1642945925,29,29
1642947126,10,10
1642947725,23,22
1642948326,12,12
1642949524,32,32
1642950726,28,28
1642951925,85,85
1642952526,41,41
1642953124,41,41
1642954924,71,71
1642955525,61,61
1642956127,39,39
1642956724,36,36
1642957324,31,31
1642957926,35,35
1642958524,11,11
1642959726,28,28
1642960924,46,46
1642962125,44,44
1642963327,68,68
1642963925,33,33
1642964526,9,9
1642965127,20,20
1642966325,52,52
1642966926,30,30
1642967525,32,32
1642968124,31,31
1642969325,64,64
1642969926,42,42
1642971124,79,79
1642971726,22,22
1642972924,30,30
1642973526,16,16
1642974127,37,37
1642974725,14,14
1642975324,41,41
1642975926,24,24
1642976524,22,22
1642977727,51,51
1642978325,14,14
1642978925,29,29
1642980125,44,44
1642981326,76,76
1642981924,27,27
1642982526,47,47
1642983126,45,46
1642983725,30,30
1642984926,88,87
1642985524,51,51
1642986125,26,26
1642987324,56,56
1642987925,26,27
1642988527,15,15
1642989125,15,15
1642989724,32,32
1642990328,19,18
1642990925,30,30
1642992127,47,47
1642992725,11,11
1642993325,17,17
1642993927,19,19
1642994525,13,13
1642995726,45,45
1642996324,29,29
1642996925,13,13
1642997527,27,27
1642998124,10,10
1642999327,42,42
1642999925,36,36
1643000524,30,30
1643001724,54,54
1643002926,46,46
1643003524,29,29
1643004125,45,45
1643005325,47,47
1643005925,29,29
1643006527,16,16
1643007124,29,29
1643008327,15,15
1643009526,10,10
1643010126,11,11
1643010724,7,7
1643011325,11,11
1643011926,19,19
1643013126,24,24
1643014925,60,60
1643015526,25,25
1643016124,31,31
1643016727,33,33
1643017328,24,24
1643018525,53,53
1643019724,45,45
1643020325,13,13
1643020927,23,23
1643022124,27,27
1643022726,13,13
1643023324,32,32
