DateTime,AddedIPs,RemovedIPs
1598727617,1113,957
1598810417,882,1059
1598896819,1135,1620
1598983218,1340,3906
1599069620,1327,1752
1599156018,3714,1191
1599242417,2317,1055
1599328819,1867,978
1599415219,2045,1315
1599501619,1518,1380
1599584419,1386,1371
1599670818,1491,1455
1599753619,1144,1164
1599840016,1227,1114
1599926418,1093,954
1600009219,822,1198
1600092018,1141,1076
1600178418,1283,1222
1600261218,1199,1369
1600344020,1222,1264
1600426819,1202,978
1600513217,1298,816
1600599618,1317,1172
1600686019,1154,1172
1600772419,1380,1131
1600858819,1204,1296
1600945217,1220,1105
1601031620,1169,1036
1601118018,1081,867
1601204419,943,1022
1601287217,1073,1388
1601373617,1333,1269
1601460019,1317,1278
1601546416,1307,1126
1601632818,1400,1153
1601719218,1355,1142
1601805619,1028,1112
1601888417,1038,1151
1602018017,2074,1815
1602100818,1184,1110
1602183618,1228,948
1602266418,1396,914
1602352819,1317,804
1602435618,1184,1048
1602518419,1563,1097
1602601217,1626,1117
1602684019,1568,1118
1602766820,1678,1255
1602853220,1679,1360
1602939620,1352,1049
1603022419,1297,1322
1603105217,1538,1276
1603191618,1616,1193
1603278021,1857,1660
1603364421,1938,1282
1603450818,1630,4816
1603537217,1481,1698
1603623618,1135,1016
1603710018,1260,1190
1603796417,1621,1218
1603882820,1739,1332
1603969218,1718,1211
1604055617,1726,1063
1604142019,1547,838
1604228419,1324,1045
1604314817,1409,1237
1604401220,1554,1223
1604487620,1764,1240
1604574020,1605,1312
1604660420,1739,1242
1604746820,1525,963
1604833220,1337,974
1604916017,1354,1274
1605002418,1653,1391
1605088819,1662,1313
1605175220,2509,1515
1605261619,1615,1606
1605348017,1409,1117
1605430819,1128,1238
1605513619,1272,1227
1605596421,1655,1503
1605682820,2456,1538
1605769221,1934,1423
1605852020,1745,1314
1605934818,1497,1040
1606021219,1129,998
1606107617,1027,1253
1606194018,1318,1377
1606280419,1775,1200
1606363217,1478,1247
1606449620,2655,1290
1606536019,1825,1012
1606622419,1452,972
1606705217,1135,1234
1606791620,1670,1226
1606878020,1587,1359
1606960819,1479,3319
1607047217,1551,2062
1607133616,1378,1946
1607220018,1360,2733
1607302819,1295,1841
1607389221,1763,1736
1607472021,1667,1448
1607554820,1611,1146
1607637621,1603,1152
1607724020,1681,1014
1607806819,1319,847
1607889619,1009,1262
1607972421,1355,1292
1608058821,1807,1317
1608145219,1717,1481
1608228019,1786,1250
1608314424,1707,1209
1608397219,1716,965
1608480018,1427,1259
1608566418,1600,1428
1608652818,1803,1150
1608735619,1462,1080
1608822017,1679,1103
1608908419,1303,1007
1608994818,1385,1037
1609081220,1278,1384
1609167617,1493,1123
1609250418,1564,1282
1609336819,1536,1337
1609423218,1578,1349
1609509619,1095,1172
1609596019,1325,942
1609682419,1178,1226
1609768818,1552,1319
1609855220,1964,1234
1609938022,1720,1107
1610020820,1495,1273
1610103620,1522,1412
1610190022,1732,1192
1610276422,1245,1398
1610359221,1232,1735
1610445619,1587,1652
1610528419,1407,1700
1610611222,1664,1497
1610694021,1721,1462
1610776820,1546,1429
1610859624,1285,1253
1610946019,1471,1664
1611028816,1684,1623
1611111619,1778,1743
1611194419,1778,1643
1611277220,1683,1451
1611360019,2506,1326
1611446420,1313,960
1611529220,1607,1430
1611615618,2332,1603
1611698418,1798,1528
1611784822,2037,1541
1611871218,1967,1509
1611957617,2235,1372
1612044019,1545,1431
1612126819,1435,1412
1612213217,1831,1354
1612299618,1691,1549
1612386019,1576,1450
1612472420,2075,1469
1612558818,1909,1208
1612645222,1642,1169
1612728021,1571,1503
1612814419,1782,1528
1612897222,1780,1667
1612983617,1722,2421
1613070019,1857,1466
1613156418,1769,1160
1613239218,1489,1054
1613325619,1231,1439
1613408418,1501,2277
1613494818,1913,2494
1613577620,1893,2099
1613664019,2018,1573
1613746819,1875,1210
1613829620,1699,964
1613916020,1523,1274
1614002420,1661,1361
1614088819,1653,1695
1614171619,1587,1416
1614258020,1784,2525
1614344420,1692,2394
1614430821,1545,1288
1614513620,1291,1231
1614600021,1615,1661
1614682819,2356,1613
1614765621,2130,1450
1614852016,2099,1487
1614934820,2034,1216
1615021221,1827,1161
1615107619,1404,1459
1615237221,2903,2601
1615320019,1731,1579
1615406419,2005,1701
1615492821,1725,1611
1615579217,1878,1344
1615662020,1369,1057
1615748419,1191,1404
1615831218,1616,1529
1615914020,1718,1656
1616000420,1798,1876
1616086819,1823,1824
1616173221,1761,1366
1616256021,1584,1190
1616342420,1390,1517
1616425218,1666,1599
1616508019,1833,1383
1616590820,2059,1584
1616673619,2153,1348
1616756419,1875,1295
1617357619,12473,9850
1618077621,15699,12853
1618592420,9883,9739
1618678818,1584,1340
1618761618,1788,1754
1618848020,1512,2053
1618930817,1799,1509
1619017219,1786,1634
1619103618,1575,2358
1619190021,1655,1763
1619276421,1278,1414
1619359218,978,2103
1619442018,1276,2098
1619524819,1604,1814
1619611219,1602,2061
1619697623,1430,2215
1619784019,1538,2086
1619866820,1297,1491
1619953217,1292,1645
1620039620,1271,1877
1620122420,1451,1586
1620205220,1524,1630
1620291618,1709,2254
1620378017,1973,1726
1620464416,1701,1550
1620550818,1367,1674
1620637221,1572,1835
