DateTime,AddedIPs,RemovedIPs
1628598966,43,0
1628628246,47,0
1628657535,27,0
1628686822,42,8
1628716339,67,0
1628745845,59,0
1628775437,44,0
1628805138,37,3
1628834415,24,0
1628863683,47,0
1628892984,46,0
1628922497,14,0
1628951768,23,0
1628981058,38,0
1629010567,27,0
1629039855,26,0
1629069378,33,0
1629099128,46,0
1629128646,31,0
1629157935,45,1
1629187217,26,0
1629216497,38,0
1629246008,40,1
1629275295,44,0
1629289925,37,0
1629333845,55,0
1629348729,31,0
1629378016,37,6
1629407528,39,1
1629437061,30,0
1629466568,35,0
1629495856,45,0
1629525137,34,0
1629554408,24,0
1629583685,28,0
1629620404,22,0
1629649927,31,0
1629679215,44,0
1629693860,134,0
1629723366,52,0
1629752659,45,7
1629781937,27,0
1629811455,32,5
1629840980,52,1
1629870507,31,0
1629900030,51,0
1629929286,60,0
1629959049,47,0
1629988568,35,1
1630018097,48,1
1630047615,37,0
1630076894,48,0
1630098730,27,2
1630143139,36,0
1630157779,18,0
1630187297,33,0
1630216573,59,0
1630245849,51,0
1630275621,37,0
1630304895,30,0
1630334167,47,0
1630363445,42,9
1630392730,30,0
1630429458,120,1
1630458729,169,1
1630473376,45,0
1630502667,55,0
1630546815,28,0
1630561445,28,0
1630591217,46,0
1630628177,19,2
1630657940,50,0
1630687446,30,6
1630716734,43,1
1630746251,21,0
1630775769,51,0
1630805301,70,0
1630834814,45,0
1630864084,27,0
1630878729,35,0
1630922653,30,0
1630937288,27,0
1630966575,40,0
1631003287,26,0
1631032580,29,2
1631062097,39,1
1631091366,15,0
1631120646,44,1
1631149936,38,0
1631179203,29,0
1631208485,42,4
1631238016,32,0
1631267288,17,0
1631296568,38,2
1631311234,30,0
1631355366,41,0
1631384659,40,0
1631399297,23,0
1631428810,18,0
1631458098,21,0
1631487615,31,0
1631516896,663,0
1631546175,703,2
1631583142,78,0
1631612647,15,0
1631641924,29,6
1631671225,26,3
1631700729,36,0
1631730008,35,1
1631759297,30,1
1631773924,18,0
1631817846,25,1
1631832484,34,0
1631862026,21,2
1631891529,27,8
1631920807,20,0
1631950083,28,0
1631979383,24,0
1632008647,38,0
1632038164,11,0
1632067448,17,0
1632096982,27,0
1632126504,21,1
1632156265,34,1
1632185765,26,7
1632215065,15,0
1632244343,32,1
1632273849,35,8
1632303368,30,0
1632332662,28,1
1632361949,24,0
1632391235,22,0
1632420731,24,3
1632450020,28,0
1632479306,20,0
1632508584,25,0
1632552732,25,0
1632567368,20,0
1632582253,23,2
1632611531,28,0
1632655455,25,0
1632670153,28,0
1632699846,31,0
1632729123,36,0
1632758436,40,6
1632787941,28,1
1632817473,50,0
1632846971,69,0
1632876245,45,0
1632905768,33,0
1632935064,53,0
1632964588,45,0
1632993850,28,0
1633023129,46,0
1633052407,44,0
1633081686,35,0
1633110963,27,0
1633140035,28,0
1633169284,22,0
1633198565,20,0
1633227846,29,0
1633257389,12,0
1633286666,52,0
1633316165,36,0
1633345447,19,0
1633374966,65,0
1633404727,98,1
1633434007,43,0
1633463285,32,1
1633492563,28,0
1633507229,31,0
1633536748,29,0
1633566248,22,0
1633595523,21,0
1633625045,29,0
1633654567,21,0
1633683864,22,0
1633713125,48,5
1633742404,54,1
1633771947,21,0
1633801468,32,0
1633830746,27,0
1633860159,20,0
1633889544,15,0
1633918804,25,0
1633948348,16,0
1633977644,23,0
1634007130,23,6
1634036440,23,1
1634065926,51,0
1634095446,23,0
1634124967,15,0
1634154728,15,3
1634184050,28,0
1634213286,20,0
1634242570,25,1
1634271866,23,0
1634301147,19,0
1634330426,28,1
1634359936,23,0
1634374565,106,0
1634418726,20,0
1634433387,25,0
1634462883,33,0
1634492167,35,0
1634521446,27,0
1634550747,35,0
1634580018,32,2
1634609527,15,1
1634638804,38,0
1634668325,25,4
1634698088,23,0
1634727396,21,0
1634756908,23,0
1634786406,26,0
1634815708,16,0
1634844991,22,1
1634874245,24,0
1634903770,18,0
1634933071,29,0
1634962324,18,1
1634991847,10,0
1635021128,14,1
1635050647,11,0
1635079947,11,0
1635109472,15,0
1635138725,11,0
1635153391,18,0
1635197792,19,0
1635212426,11,2
1635241954,9,0
1635271471,22,0
1635300988,24,0
1635330267,17,0
1635359791,24,0
1635389529,20,1
1635419049,26,0
1635448352,41,0
1635477604,27,0
1635506886,37,0
1635536190,63,0
1635565688,43,0
1635594966,35,0
1635624246,37,0
1635653525,29,0
1635682804,23,0
1635712114,22,0
1635741372,22,0
1635770670,42,0
1635800168,42,0
1635829447,43,0
1635858991,30,0
1635888245,48,0
1635917556,65,0
1635947046,114,0
1635961745,146,0
1636005846,167,0
1636020724,124,0
1636050289,245,1
1636079774,158,1
1636109284,53,0
1636138866,67,0
1636168323,46,0
1636197608,25,0
1636227125,36,0
1636256654,12,0
1636285948,16,0
1636322649,20,0
1636337305,14,0
1636367046,22,0
1636410989,44,0
1636425847,44,0
1636455145,52,0
1636484705,38,1
1636514134,27,0
1636543468,38,0
1636573013,38,0
1636602267,23,1
1636632033,18,0
1636661549,28,0
1636690804,46,0
1636720105,33,0
1636749368,24,1
1636778645,23,0
1636807928,23,0
1636837214,17,0
1636866723,20,0
1636896003,17,0
1636925525,19,0
1636955058,14,1
1636984565,16,2
1637013868,23,0
1637043366,40,0
1637072646,17,0
1637101924,52,0
1637131469,50,0
1637160748,20,0
1637190055,19,0
1637219547,27,0
1637249047,13,0
1637278807,24,1
1637293446,21,0
1637322728,19,0
1637352040,43,0
1637381524,24,0
1637410805,12,0
1637440107,20,0
1637469373,24,0
1637498645,15,0
1637527948,13,0
1637557208,20,0
1637586730,20,0
1637616005,18,0
1637645284,21,0
1637674563,16,0
1637704323,21,0
1637733854,18,1
1637763367,13,0
1637792886,93,0
1637822670,35,26065
1637852167,195,3
1637881471,118,0
1637910986,137,0
1637940273,81,0
1637969790,87,2
1637999044,80,0
1638028348,56,0
1638057614,109,2
1638087127,44,0
1638102007,44,0
1638131306,45,0
1638160808,31,0
1638190344,58,1
1638219848,46,3
1638249147,32,0
1638278649,38,0
1638307929,40,1
1638337469,23,0
1638366723,28,0
1638396191,24,0
1638425529,51,0
1638454805,22,0
1638484345,35,0
1638513848,32,0
1638543366,27,0
1638572668,28,0
1638601923,27,4
1638631447,32,0
1638660724,36,0
1638690026,27,1
1638719530,30,0
1638748805,17,0
1638763468,37,0
1638807364,22,0
1638822026,39,1
1638865924,23,0
1638880589,22,1
1638910107,24,2
1638939676,18,1
1638969604,25,0
1638999188,63,0
1639028405,51,0
1639057928,45,0
1639087205,73,2
1639116726,27,2
1639146026,36,0
1639175533,34,0
1639205047,114,0
1639234805,101,0
1639264570,21,0
1639293845,21,0
1639323364,21,0
1639352668,16,0
1639381928,29,0
1639411451,23,0
1639440727,29,1
1639470248,13,0
1639499766,21,0
1639514669,31,1
1639558566,28,0
1639573448,16,0
1639602723,37,0
1639647146,31,0
1639661764,20,0
1639691530,23,1
1639720835,12,0
1639750085,28,0
1639779385,20,1
1639808649,26,0
1639837945,5,0
1639867227,18,0
