DateTime,AddedIPs,RemovedIPs
1641101582,13,15
1641105181,14,12
1641108781,8,13
1641112383,11,14
1641115981,14,12
1641119582,13,12
1641123181,16,15
1641126784,12,7
1641130381,16,19
1641133984,12,13
1641137581,9,13
1641141182,16,8
1641144783,15,20
1641148381,13,15
1641151983,13,11
1641155583,12,13
1641159184,9,7
1641162782,15,21
1641166384,16,10
1641169981,14,16
1641173583,19,10
1641177182,9,18
1641180781,20,13
1641184381,11,19
1641187982,13,10
1641191583,17,13
1641195183,14,19
1641199046,10,10
1641202646,13,11
1641206555,17,17
1641210217,10,14
1641214044,11,9
1641217645,11,17
1641221005,15,8
1641224844,16,12
1641228166,11,15
1641232046,13,14
1641235372,15,14
1641238974,12,13
1641242588,14,13
1641246162,10,11
1641249764,11,10
1641253354,16,13
1641256982,14,16
1641260553,11,12
1641264446,14,13
1641268045,11,14
1641270782,20,14
1641274382,11,15
1641277981,11,13
1641281582,13,13
1641285181,14,9
1641288782,12,14
1641292384,13,15
1641295981,11,10
1641299583,6,11
1641303182,12,12
1641306784,4,7
1641310381,18,10
1641313983,14,10
1641317581,12,15
1641321182,7,14
1641324784,14,13
1641328382,14,12
1641331983,17,11
1641335584,17,15
1641339181,13,10
1641342783,11,26
1641346381,24,11
1641349982,10,15
1641353584,21,19
1641357181,25,13
1641360782,16,32
1641364382,9,10
1641367982,10,9
1641371583,14,9
1641375181,13,16
1641379050,12,13
1641382652,13,11
1641385981,8,11
1641389846,8,13
1641393181,16,10
1641396784,15,13
1641400382,13,15
1641403981,8,13
1641407584,11,9
1641411181,17,9
1641414782,7,12
1641418383,16,17
1641421981,21,16
1641425581,13,16
1641429444,11,12
1641432783,16,15
1641436646,17,11
1641439981,14,15
1641443583,7,10
1641447182,10,11
1641450782,14,8
1641454381,11,16
1641457981,17,15
1641461583,12,15
1641465183,10,14
1641468781,17,11
1641472381,19,13
1641475982,13,22
1641479583,9,13
1641483184,9,10
1641486781,12,11
1641490381,13,12
1641493983,12,10
1641497583,14,13
1641501181,9,14
1641504782,10,10
1641508383,14,5
1641511981,10,16
1641515583,17,16
1641519182,15,15
1641523085,12,12
1641526381,10,12
1641529981,17,12
1641533844,11,12
1641660447,14,18
1641663750,11,13
1641667352,15,14
1641670950,14,12
1641674552,18,12
1641678151,12,19
1641681748,15,11
1641685356,13,9
1641688645,13,15
1641692251,13,12
1641695582,18,16
1641699181,9,19
1641702781,11,10
1641706646,12,10
1641709982,15,12
1641713582,10,9
1641717451,12,15
1641720781,8,15
1641724381,10,5
1641727981,20,10
1641731581,12,20
1641735181,17,14
1641738781,10,18
1641742384,19,12
1641745981,10,9
1641749583,11,18
1641753183,11,10
1641756783,10,11
1641760382,16,14
1641764253,13,17
1641767849,12,10
1641771446,18,12
1641774783,12,13
1641778382,17,12
1641781981,18,20
1641785582,17,13
1641789181,17,19
1641792781,15,18
1641796382,15,18
1641799983,14,12
1641803581,15,18
1641807181,13,15
1641810782,13,13
1641814382,21,13
1641817981,17,18
1641821582,13,19
1641825182,6,12
1641828781,15,9
1641832381,11,12
1641835982,10,14
1641839584,10,8
1641843182,12,8
1641846781,11,15
1641850382,12,6
1641853983,14,13
1641857582,14,16
1641861182,13,13
1641864781,13,15
1641868382,17,18
1641871981,24,15
1641875583,17,17
1641879181,13,19
1641882782,17,16
1641886381,19,16
1641889982,20,19
1641893582,13,13
1641897181,15,16
1641900782,13,14
1641904647,15,17
1641907981,14,15
1641911582,7,11
1641915183,14,13
1641918784,12,12
1641922381,15,11
1641925981,10,12
1641929582,5,12
1641933183,12,7
1641936784,10,10
1641940382,10,10
1641943983,13,12
1641947584,16,12
1641951182,11,12
1641955045,10,11
1641958381,15,14
1641961983,15,16
1641965583,12,10
1641969182,13,10
1641972782,12,18
1641976381,11,10
1641979983,7,11
1641983584,10,11
1641987181,4,7
1641990782,16,9
1641994647,14,11
1641997984,13,16
1642001583,14,14
1642005181,17,15
1642008782,13,17
1642012381,14,13
1642015981,12,10
1642019581,9,13
1642023182,12,10
1642026781,11,11
1642030647,19,12
1642033981,11,13
1642037581,11,17
1642041181,15,8
1642044781,16,19
1642048381,16,15
1642051981,18,15
1642055581,14,12
1642059181,12,19
1642062781,14,14
1642066382,10,6
1642069981,16,19
1642073581,15,16
1642077181,9,12
1642080781,13,7
1642084381,15,21
1642087981,12,16
1642091581,10,8
1642095182,20,12
1642099044,12,14
1642102382,18,11
1642105983,7,14
1642109581,12,13
1642113181,12,10
1642116782,19,12
1642120382,14,21
1642123981,13,15
1642127583,7,9
1642131181,12,12
1642134782,15,13
1642138381,17,16
1642141983,12,14
1642145581,14,15
1642149182,13,10
1642152782,16,15
1642156383,8,9
1642159984,15,12
1642163581,10,15
1642167182,9,10
1642170783,10,11
1642174381,13,11
1642177981,19,14
1642181582,10,15
1642185183,8,7
1642188781,18,16
1642192381,13,13
1642195982,11,16
1642199582,11,9
1642203181,23,16
1642206781,15,19
1642210384,15,13
1642213981,11,19
1642217582,15,10
1642221183,21,18
1642224781,7,14
1642228382,12,12
1642231981,17,13
1642235582,16,16
1642239183,19,18
1642242783,14,20
1642246382,11,9
1642249983,17,15
1642253582,11,13
1642257181,7,14
1642260783,13,9
1642264382,12,12
1642267983,12,10
1642271582,10,10
1642275181,9,8
1642278781,16,14
1642282381,10,15
1642285981,9,5
1642289582,15,13
1642293184,20,17
1642296781,11,15
1642300381,14,15
1642303983,17,13
1642307581,15,12
1642311183,12,14
1642314782,18,14
1642318383,17,22
1642321984,14,14
1642325583,19,17
1642329181,6,13
1642332784,14,15
1642336382,9,8
1642339982,18,15
1642343581,10,13
1642347182,7,8
1642350783,14,14
1642354381,15,18
1642357982,10,7
1642361585,12,10
1642365182,10,9
1642368781,14,19
1642372381,10,10
1642375983,9,5
1642379581,7,12
1642383181,9,6
1642386781,10,8
1642390381,14,11
1642393984,12,17
1642397581,15,12
1642401182,21,16
1642404784,11,17
1642408382,16,13
1642411983,16,21
1642415582,6,5
1642419182,19,12
1642422782,18,17
1642426382,7,9
1642429981,12,18
1642433584,7,12
1642437183,11,6
1642440781,11,11
1642444382,5,6
1642447982,14,14
1642451583,19,15
1642455182,10,14
1642458782,12,7
1642462381,12,14
1642465983,13,4
1642469582,15,20
1642473181,20,16
